Director(s),Fans' Rank,Overall Rank,Title,Year
David Fincher,442,1491,The Game,1997
Richard Attenborough,267,251,Gandhi,1982
Andrew Niccol,505,950,Gattaca,1997
Clyde Bruckman and Buster Keaton,175,45,The General,1926
Jerry Zucker,486,416,Ghost,1990
Terry Zwigoff,432,815,Ghost World,2001
Ivan Reitman,180,314,Ghostbusters,1984
Ridley Scott,72,113,Gladiator,2000
James Foley,317,612,Glengarry Glen Ross,1992
Edward Zwick,156,395,Glory,1989
Francis Ford Coppola,1,1,The Godfather,1972
Francis Ford Coppola,4,14,The Godfather: Part II,1974
Francis Ford Coppola,256,432,The Godfather: Part III,1990
Charles Chaplin,216,97,The Gold Rush,1925
Guy Hamilton,240,186,Goldfinger,1964
Victor Fleming,46,17,Gone with the Wind,1939
Gus Van Sant,133,387,Good Will Hunting,1997
Sergio Leone,55,118,"The Good, the Bad and the Ugly",1966
Martin Scorsese,6,26,Goodfellas,1990
Richard Donner,352,1036,The Goonies,1985
Mike Nichols,43,39,The Graduate,1967
Jean Renoir,201,90,The Grand Illusion,1937
John Ford,160,102,The Grapes of Wrath,1940
Isao Takahata,437,771,Grave of the Fireflies,1988
Randal Kleiser,299,187,Grease,1978
Charles Chaplin,335,369,The Great Dictator,1940
John Sturges,127,166,The Great Escape,1963
Erich von Stroheim,464,209,Greed,1924
Frank Darabont,174,560,The Green Mile,1999
George Armitage,512,745,Grosse Pointe Blank,1997
Harold Ramis,102,130,Groundhog Day,1993
John Carpenter,179,131,Halloween,1978
Woody Allen,293,354,Hannah and Her Sisters,1986
Todd Solondz,443,763,Happiness,1998
Dennis Dugan,492,1493,Happy Gilmore,1996
John Woo,482,693,Hard Boiled,1992
Richard Lester,270,157,A Hard Day's Night,1964
Hal Ashby,351,256,Harold and Maude,1971
Henry Koster,380,633,Harvey,1950
Michael Mann,85,150,Heat,1995
Michael Lehmann,445,717,Heathers,1988
Peter Jackson,339,710,Heavenly Creatures,1994
Stephen Frears,324,687,High Fidelity,2000
Fred Zinnemann,125,58,High Noon,1952
Howard Hawks,206,72,His Girl Friday,1940
Joel Coen,431,1435,The Hudsucker Proxy,1994
John McTiernan,458,1468,The Hunt for Red October,1990
Robert Rossen,236,222,The Hustler,1961
Ang Lee,461,1072,The Ice Storm,1997
Akira Kurosawa,263,331,Ikiru,1952
Norman Jewison,378,343,In the Heat of the Night,1967
Kar Wai Wong,473,271,In the Mood for Love,2000
Roland Emmerich,318,431,Independence Day,1996
Steven Spielberg,128,450,Indiana Jones and the Last Crusade,1989
Steven Spielberg,295,676,Indiana Jones and the Temple of Doom,1984
Michael Mann,296,647,The Insider,1999
Neil Jordan,412,1412,Interview with the Vampire: The Vampire Chronicles,1994
D.W. Griffith,420,181,Intolerance,1916
Don Siegel,306,180,Invasion of the Body Snatchers,1956
Brad Bird,491,463,The Iron Giant,1999
Frank Capra,153,69,It Happened One Night,1934
Frank Capra,27,16,It's a Wonderful Life,1946
Quentin Tarantino,252,927,Jackie Brown,1997
Steven Spielberg,20,24,Jaws,1975
Cameron Crowe,294,304,Jerry Maguire,1996
Oliver Stone,95,423,JFK,1991
Fran?ois Truffaut,303,168,Jules and Jim,1962
Steven Spielberg,94,149,Jurassic Park,1993
Quentin Tarantino,181,351,Kill Bill: Vol. 1,2003
Quentin Tarantino,224,701,Kill Bill: Vol. 2,2004
John Woo,327,398,The Killer,1989
Roland Joff?,439,620,The Killing Fields,1984
Stanley Kubrick,349,542,The Killing,1956
Robert Hamer,453,170,Kind Hearts and Coronets,1949
Merian C. Cooper and Ernest B. Schoedsack,137,47,King Kong,1933
Martin Scorsese,407,475,The King of Comedy,1982
Robert Benton,494,535,Kramer vs. Kramer,1979
Curtis Hanson,52,82,L.A. Confidential,1997
Preston Sturges,466,138,The Lady Eve,1941
Alfred Hitchcock,480,376,The Lady Vanishes,1938
Bernardo Bertolucci,400,546,The Last Emperor,1987
Michael Mann,363,468,The Last of the Mohicans,1992
Peter Bogdanovich,246,325,The Last Picture Show,1971
Bernardo Bertolucci,487,397,Last Tango in Paris,1972
Martin Scorsese,315,865,The Last Temptation of Christ,1988
Alain Resnais,501,439,Last Year at Marienbad,1961
Otto Preminger,456,259,Laura,1944
David Lean,35,9,Lawrence of Arabia,1962
Mike Figgis,311,793,Leaving Las Vegas,1995
Richard Donner,308,794,Lethal Weapon,1987
Roberto Benigni,142,238,Life Is Beautiful,1997
Terry Jones,178,147,Life of Brian,1979
Roger Allers and Rob Minkoff,220,270,The Lion King,1994
Guy Ritchie,257,740,"Lock, Stock and Two Smoking Barrels",1998
Stanley Kubrick,389,806,Lolita,1962
Peter Jackson,44,60,The Lord of the Rings: The Fellowship of the Ring,2001
Peter Jackson,78,96,The Lord of the Rings: The Return of the King,2003
Peter Jackson,74,123,The Lord of the Rings: The Two Towers,2002
David Lynch,495,1322,Lost Highway,1997
Sofia Coppola,281,254,Lost in Translation,2003
