,Developer,LW,Label,Publisher,TW,Title
,CRYPTIC STUDIOS,-,ATARI,NAMCO BANDAI GAMES,1,STAR TREK ONLINE
,SPORTS INTERACTIVE,2,SEGA,SEGA,2,FOOTBALL MANAGER 2010
,BIOWARE,1,EA GAMES,ELECTRONIC ARTS,3,MASS EFFECT 2
,GSC GAME WORLD,-,BITCOMPOSER,KOCH MEDIA,4,S.T.A.L.K.E.R. CALL OF PRIPYAT
,THE SIMS STUDIO,3,EA GAMES,ELECTRONIC ARTS,5,THE SIMS 3
,THE SIMS STUDIO,5,EA GAMES,ELECTRONIC ARTS,6,THE SIMS 3: WORLD ADVENTURES
,INFINITY WARD,4,ACTIVISION,ACTIVISION BLIZZARD,7,CALL OF DUTY: MODERN WARFARE 2
,BLIZZARD ENTERTAINMENT,7,BLIZZARD,ACTIVISION BLIZZARD,8,WORLD OF WARCRAFT: WRATH OF LICH KING
,BIOWARE,8,EA GAMES,ELECTRONIC ARTS,9,DRAGON AGE: ORIGINS
,CREATIVE ASSEMBLY,6,SEGA,SEGA,10,EMPIRE: TOTAL WAR
,ROCKSTEADY STUDIOS,17,EIDOS,SQUARE ENIX EUROPE,11,BATMAN: ARKHAM ASYLUM
,BETHESDA,10,BETHESDA SOFTWORKS,BETHESDA SOFTWORKS,12,FALLOUT 3: GAME OF THE YEAR EDITION
,ROCKSTAR TORONTO,9,ROCKSTAR,TAKE 2,13,GRAND THEFT AUTO IV
,VALVE,11,EA GAMES,ELECTRONIC ARTS,14,LEFT 4 DEAD 2
,GEARBOX SOFTWARE,12,2K GAMES,TAKE 2,15,BORDERLANDS
,MAXIS,14,EA GAMES,ELECTRONIC ARTS,16,SPORE
,ACES STUDIO,15,MICROSOFT,MICROSOFT,17,MICROSOFT FLIGHT SIMULATOR X GOLD
,UBISOFT (MONTREAL),13,UBISOFT,UBISOFT,18,JAMES CAMERON'S AVATAR: THE GAME
,CYANIDE,18,FOCUS HOME INTERACTIVE,THQ,19,BLOOD BOWL
,RELIC,16,THQ,THQ,20,"WARHAMMER 40,000: DAWN OF WAR II"
