Cost,Europe,Japan,North America,Publisher,Size,Title
"?2,940JP",,"2010-06-08June 8, 2010",,5pb.,4.78 GB,11eyes CrossOver
$59.99US,"2011-05-17May 17, 2011",,"2011-05-17May 17, 2011",THQ,6.36 GB,50 Cent: Blood on the Sand
"?3,990JP",,"2009-12-16December 16, 2009",,Artdink,567.28 MB,A-Train HX
"?2,940JP",,"2009-12-22December 22, 2009",,Idea Factory,2.13 GB,Absolute: Blazing Infinity
$39.99US,,,"2011-08-09August 9, 2011",Konami,3.29 GB,Adrenalin Misfits
"?2,940JP",,"2011-06-28June 28, 2011",,CyberFront Corporation,832.21 MB,Akatsuki no Amaneka to Aoi Kyojin
$29.99US,"2010-11-23November 23, 2010",,"2010-11-23November 23, 2010",Microsoft Game Studios,6.23 GB,Alan Wake
$39.99US,"2011-12-13December 13, 2011",,"2011-12-13December 13, 2011",Electronic Arts,5.41 GB,Alice: Madness Returns
$19.99US,"2011-02-22February 22, 2011",,"2011-02-22February 22, 2011",Atari,6.46 GB,Alone in the Dark
$49.99US,"2011-11-29November 29, 2011",,"2011-11-29November 29, 2011",Activision,1.4 GB,Apache: Air Assault
"?2,940JP",,"2010-01-26January 26, 2010",,Idea Factory,4.12 GB,Apocalypse: Desire Next
"?2,600JP",,"2009-09-08September 8, 2009",,From Software,6.04 GB,Armored Core 4
"?2,600JP",,"2009-10-13October 13, 2009",,From Software,5.88 GB,Armored Core: For Answer
$19.99US,"2009-10-20October 20, 2009","2010-03-02March 2, 2010","2009-10-20October 20, 2009",Electronic Arts,5.01 GB,Army of Two
$19.99US,"2010-12-07December 7, 2010",,"2010-12-07December 7, 2010",Electronic Arts,6.05 GB,Army of Two: The 40th Day
?17.99UK,"2011-07-26July 26, 2011",,,Codemasters,2 GB,Ashes Cricket 2009
$19.99US,"2009-08-06August 6, 2009",,"2009-08-06August 6, 2009",Ubisoft,6.56 GB,Assassin's Creed
$19.99US,"2010-09-28September 28, 2010",,"2010-09-28September 28, 2010",Ubisoft,5.19 GB,Assassin's Creed II
