1,"Anglican (rejected Trinitarianism, i.e., Athanasianism; believed in the Arianism of the Primitive Church)",Isaac Newton,the Newtonian Revolution
2,Jewish,Albert Einstein,Twentieth-Century Science
3,Jewish Lutheran,Neils Bohr,the Atom
4,Anglican (nominal); Unitarian,Charles Darwin,Evolution
5,Catholic,Louis Pasteur,the Germ Theory of Disease
6,Jewish; Atheist; Freudian psychoanalysis (Freudianism),Sigmund Freud,Psychology of the Unconscious
7,Catholic,Galileo Galilei,the New Science
8,Catholic,Antoine Laurent Lavoisier,the Revolution in Chemistry
9,Lutheran,Johannes Kepler,Motion of the Planets
10,Catholic (priest),Nicolaus Copernicus,the Heliocentric Universe
11,Sandemanian,Michael Faraday,the Classical Field Theory
12,Presbyterian; Anglican; Baptist,James Clerk Maxwell,the Electromagnetic Field
13,,Claude Bernard,the Founding of Modern Physiology
14,Jewish,Franz Boas,Modern Anthropology
15,Lutheran,Werner Heisenberg,Quantum Theory
16,Lutheran,Linus Pauling,Twentieth-Century Chemistry
17,,Rudolf Virchow,the Cell Doctrine
18,Catholic,Erwin Schrodinger,Wave Mechanics
19,,Ernest Rutherford,the Structure of the Atom
20,,Paul Dirac,Quantum Electrodynamics
21,Catholic,Andreas Vesalius,the New Anatomy
22,Lutheran,Tycho Brahe,the New Astronomy
23,,Comte de Buffon,l'Histoire Naturelle
24,,Ludwig Boltzmann,Thermodynamics
25,Protestant,Max Planck,the Quanta
26,Catholic (lapsed),Marie Curie,Radioactivity
27,Jewish,William Herschel,the Discovery of the Heavens
28,,Charles Lyell,Modern Geology
29,atheist,Pierre Simon de Laplace,Newtonian Mechanics
30,,Edwin Hubble,the Modern Telescope
31,,Joseph J. Thomson,the Discovery of the Electron
32,Jewish Lutheran,Max Born,Quantum Mechanics
33,atheist,Francis Crick,Molecular Biology
34,Catholic,Enrico Fermi,Atomic Physics
35,Calvinist,Leonard Euler,Eighteenth-Century Mathematics
36,,Justus Liebig,Nineteenth-Century Chemistry
37,Quaker,Arthur Eddington,Modern Astronomy
38,Anglican (nominal),William Harvey,Circulation of the Blood
39,Catholic,Marcello Malpighi,Microscopic Anatomy
40,Calvinist,Christiaan Huygens,the Wave Theory of Light
41,Lutheran,Carl Gauss (Karl Friedrich Gauss),Mathematical Genius
42,,Albrecht von Haller,Eighteenth-Century Medicine
43,,August Kekule,Chemical Structure
44,,Robert Koch,Bacteriology
45,Jewish,Murray Gell-Mann,the Eightfold Way
46,,Emil Fischer,Organic Chemistry
47,,Dmitri Mendeleev,the Periodic Table of Elements
48,Jewish,Sheldon Glashow,the Discovery of Charm
49,atheist,James Watson,the Structure of DNA
50,,John Bardeen,Superconductivity
51,Jewish Catholic,John von Neumann,the Modern Computer
52,Jewish,Richard Feynman,Quantum Electrodynamics
53,,Alfred Wegener,Continental Drift
54,atheist,Stephen Hawking,Quantum Cosmology
55,Dutch Reformed,Anton van Leeuwenhoek,the Simple Microscope
56,,Max von Laue,X-ray Crystallography
57,,Gustav Kirchhoff,Spectroscopy
58,Jewish,Hans Bethe,the Energy of the Sun
59,Platonism / Greek philosophy,Euclid,the Foundations of Mathematics
60,Catholic (Augustinian monk),Gregor Mendel,the Laws of Inheritance
61,,Heike Kamerlingh Onnes,Superconductivity
62,,Thomas Hunt Morgan,the Chromosomal Theory of Heredity
63,,Hermann von Helmholtz,the Rise of German Science
64,Jewish,Paul Ehrlich,Chemotherapy
65,atheist,Ernst Mayr,Evolutionary Theory
66,,Charles Sherrington,Neurophysiology
67,Russian Orthodox,Theodosius Dobzhansky,the Modern Synthesis
68,,Max Delbruck,the Bacteriophage
69,,Jean Baptiste Lamarck,the Foundations of Biology
70,,William Bayliss,Modern Physiology
71,Jewish atheist,Noam Chomsky,Twentieth-Century Linguistics
72,,Frederick Sanger,the Genetic Code
73,Epicurean; atheist,Lucretius,Scientific Thinking
74,Quaker,John Dalton,the Theory of the Atom
75,,Louis Victor de Broglie,Wave/Particle Duality
76,Christianity,Carl Linnaeus,the Binomial Nomenclature
77,,Jean Piaget,Child Development
78,,George Gaylord Simpson,the Tempo of Evolution
79,Jewish,Claude Levi-Strauss,Structural Anthropology
80,Jewish,Lynn Margulis,Symbiosis Theory
81,Jewish,Karl Landsteiner,the Blood Groups
82,,Konrad Lorenz,Ethology
83,,Edward O. Wilson,Sociobiology
84,,Frederick Gowland Hopkins,Vitamins
85,,Gertrude Belle Elion,Pharmacology
86,,Hans Selye,the Stress Concept
87,Jewish,J. Robert Oppenheimer,the Atomic Era
88,Jewish,Edward Teller,the Bomb
89,,Willard Libby,Radioactive Dating
90,,Ernst Haeckel,the Biogenetic Principle
91,Jewish,Jonas Salk,Vaccination
92,,Emil Kraepelin,Twentieth-Century Psychiatry
93,Russian Orthodox; Communist,Trofim Lysenko,Soviet Genetics
94,,Francis Galton,Eugenics
95,,Alfred Binet,the I.Q. Test
96,atheist,Alfred Kinsey,Human Sexuality
97,Catholic,Alexander Fleming,Penicillin
98,atheist,B. F. Skinner,Behaviorism
99,atheist,Wilhelm Wundt,the Founding of Psychology
100,Greek philosophy,Archimedes,the Beginning of Science
