Conscription[54],Country,GDP nominal (US$M)[50],Government[53],Land area (km2) [49],Per capita GDP (US$)[51],Population[52]
No (abolished in 2010[55]),Albania,"$11,800",Parliamentary Democracy,"27,398","$2,949.57","2,994,667"
Yes,Algeria,"$159,000",Republic,"2,381,740","$3,948.01","34,994,937"
Yes,Angola,"$85,810",Republic; Multiparty Presidential Regime,"1,246,700","$5,003.43","13,338,541"
No. Voluntary; conscription may be ordered for specified reasons; per Public Law No.24.429 promulgated on 5 January 1995.,Argentina,"$351,000",Republic,"2,736,690","$8,662.99[56]","41,769,726"
No (abolished by parliament in 1972[57]),Australia,"$1,220,000",Federal Parliamentary Democracy,"7,617,930","$44,474.51","21,766,711"
Yes (Alternative service available)[58],Austria,"$366,300",Federal Republic,"82,444","$45,598.77","8,217,280"
No,Bahamas,"$7,538",Constitutional Monarchy with a parliamentary system of government,"10,070","$21,547.17","313,312"
No,Bangladesh,"$100,100",Parliamentary Democracy,"133,910",$481.36,"158,570,535"
Conscription was abolished as of 1 January 1994 under the so-called Delacroix Bill of 6 July 1993[59]) Suspended (conscription suspended as of 1 January 1994)[citation needed],Belgium,"$461,300",Federal Parliamentary Democracy under Constitutional Monarchy,"30,278","$43,648.01","10,431,477"
No. Military service is voluntary.,Belize,"$1,431",Parliamentary Democracy,"22,806","$4,327.67","321,115"
No[60],Bhutan,"$1,397",Constitutional Monarchy,"47,000",$561.89,"708,427"
Yes (when annual number of volunteers falls short of goal[61]),Bolivia,"$19,180",Republic,"1,084,390","$1,446.41","10,118,683"
"No (Abolished on January 1, 2006.[62])",Bosnia and Herzegovina,"$16,320",Emerging Federal Democratic Republic,"51,197","$3,246.78","4,622,163"
Yes,Brazil,"$2,024,000",Federal Republic,"8,456,510","$6,915.40","203,429,773"
"No (abolished by law on January 1, 2008[63])",Bulgaria,"$44,840",Parliamentary Democracy,"110,550","$5,409.09","7,093,635"
sources differ Yes but not enforced as of January 2011[update].[64][65][66][67][68] No (FWCC[69]),Burma,"$35,650",Military Junta,"657,740",$285.60,"53,999,804"
No,Canada,"$1,334,140",Federal Parliamentary Democracy,"9,984,670","$40,457","34,733,000"
Yes,Chile,"$199,200",republic,"748,800","$10,058.50","16,888,760"
"No, Legal under Constitution but has not yet been practiced in history","China, People's Republic of","$5,745,000",Communist State,"9,326,410","$2,459.43","1,336,718,015"
No (abolished by law in 2008[70]),Croatia,"$59,920",presidential/parliamentary democracy,"56,414","$11,430.32","4,483,804"
Yes,Cuba,"$57,490",Communist state,"110,860","$4,000.34","11,087,330?"
Yes (Alternative service available[72][73][74]),Cyprus,"$22,750",republic[71],"9,240","$27,014.79","1,120,489"
Yes (Alternative service available[72][73][75]),Denmark,"$311,900",constitutional monarchy,"42,394","$57,039.71","5,529,888"
No,Djibouti,"$1,139",republic,"22,980","$1,694.29","757,074"
Yes,Ecuador,"$56,500",republic,"276,840","$3,211.76","15,007,343"
Yes,Egypt,"$127,900",republic,"995,450","$1,592.08","81,713,520"
"No. Legal, not practiced.",El Salvador,"$21,800",republic,"20,720","$2,931.75","6,071,774"
Yes (Alternative service available),Finland,"$238,000",republic,"304,473","$46,769.47","5,259,250"
No (suspended in 2001[77]),France,"$2,555,000",republic,"640,053[76]","$35,240.62","65,102,719"
No,"Gambia, The","$1,040",republic,"10,000",$386.77,"1,797,860"
No (abolished for peacetime by federal legislature effective from 1 July 2011[78]),Germany,"$3,306,000",federal parliamentary republic,"349,223","$40,315.05","81,471,834"
Yes,Greece,"$302,000",parliamentary republic,"130,800","$29,384.60","10,760,136"
No (no military service),Grenada,$645,parliamentary democracy,344,"$6,557.67","108,419"
No (Peacetime conscription abolished in 2004[79]),Hungary,"$132,300",parliamentary democracy,"92,340","$13,901.01","9,976,062"
No,India,"$1,099,000",federal republic,"2,973,190",$972.68,"1,147,995,904"
"sources differ Yes, selective conscription (FWCC[69]) No[80][81][82]",Indonesia,"$695,100",republic,"1,826,440","$1,844.53","245,613,043"
Yes,Iran,"$337,900",theocratic republic,"1,636,000","$4,497.11","77,891,220"
Yes,Israel,"$201,300",parliamentary democracy,"20,330","$25,191.86","7,473,052"
No,Jamaica,"$13,740",constitutional parliamentary democracy,"10,831","$4,032.18","2,868,380"
No,Japan,"$5,391,000",constitutional monarchy with a parliamentary government,"374,744","$34,402.26","126,475,664"
"sources differ Yes. The government decided in 2007 to reintroduce conscription, which had been suspended in 1999.[83] No. Suspended indefinitely in 1992 and all members of the armed forces are regular volunteers.[54] No. Conscription at age 18 was suspended in 1999, although all males under age 37 are required to register.[84]",Jordan,"$27,130",constitutional monarchy,"91,971","$2,644.89","6,508,271"
Yes[85][86],"Korea, North","$28,000[85]",Communist state one-man dictatorship[85],"120,538[85]","$1,800.00[85]","24,457,492[85]"
Yes,"Korea, South","$986,300",republic,"98,190","$19,514.81","48,754,657"
Yes,Kuwait,"$117,300",constitutional emirate,"17,820","$44,421.22","2,595,628"
