Days on Chart,Game,Peak,Rank,System,Was
418,The Elder Scrolls V: Skyrim,1,1,Xbox 360,1
235,Final Fantasy XIII-2,2,2,PlayStation 3,2
183,The Elder Scrolls V: Skyrim,2,3,PC,3
36,SoulCalibur V,4,4,PlayStation 3,4
107,The Elder Scrolls V: Skyrim,3,5,PlayStation 3,5
189,Star Wars: The Old Republic,3,6,PC,6
1214,Final Fantasy XIII,1,7,PlayStation 3,7
172,Dark Souls,1,8,PlayStation 3,8
11,SoulCalibur V,9,9,Xbox 360,9
622,League of Legends,1,10,PC,11
608,The Legend of Zelda: Skyward Sword,4,11,Wii,10
711,Pokemon Black Version,1,12,DS,12
15,Final Fantasy XIII-2,13,13,Xbox 360,14
2611,World of Warcraft,1,14,PC,15
246,Call of Duty: Modern Warfare 3,1,15,Xbox 360,13
18,Kingdoms of Amalur: Reckoning,13,16,Xbox 360,16
21,Resident Evil: Revelations,12,17,3DS,17
221,DC Universe Online,2,18,PlayStation 3,18
119,Batman: Arkham City,2,19,Xbox 360,19
189,Mass Effect 3,7,20,Xbox 360,23
198,Ultimate Marvel vs. Capcom 3,4,21,PlayStation 3,21
195,Battlefield 3,2,22,Xbox 360,22
108,WWE '12,7,23,Xbox 360,20
798,Mass Effect 2,1,24,Xbox 360,26
4865,Final Fantasy VII,1,25,PlayStation,24
121,Batman: Arkham City,3,26,PlayStation 3,25
723,Final Fantasy XIII,2,27,Xbox 360,28
500,Minecraft,2,28,PC,27
98,Call of Duty: Modern Warfare 3,4,29,PlayStation 3,30
25,Katawa Shoujo,11,30,PC,29
511,Fallout: New Vegas,1,31,Xbox 360,32
227,Gears of War 3,1,32,Xbox 360,34
133,Dark Souls,2,33,Xbox 360,31
2108,Final Fantasy XII,1,34,PlayStation 2,35
79,WWE '12,10,35,PlayStation 3,33
17,Kingdoms of Amalur: Reckoning,25,36,PlayStation 3,47
1301,Team Fortress 2,2,37,PC,42
82,Assassin's Creed: Revelations,7,38,PlayStation 3,36
724,Starcraft II: Wings of Liberty,1,39,PC,37
3843,Final Fantasy X,2,40,PlayStation 2,38
4,Twisted Metal,41,41,PlayStation 3,48
92,Naruto Shippuden: Ultimate Ninja Storm Generations,41,42,PlayStation 3,41
3799,Diablo II: Lord of Destruction,3,43,PC,44
2813,Pokemon FireRed Version,2,44,Game Boy Advance,43
102,Saints Row: The Third,4,45,Xbox 360,40
151,Battlefield 3,1,46,PC,39
3779,Final Fantasy VIII,18,47,PlayStation,45
460,Gran Turismo 5,1,48,PlayStation 3,46
129,Battlefield 3,7,49,PlayStation 3,49
2823,Final Fantasy IX,18,50,PlayStation,50
2537,Pokemon Emerald Version,1,51,Game Boy Advance,51
84,Tales of Graces f,11,52,PlayStation 3,52
2585,MapleStory,2,53,PC,58
844,Dragon Age: Origins,1,54,PC,56
999,Pokemon HeartGold Version,1,55,DS,57
1217,Monster Hunter Freedom Unite,1,56,PSP,54
1236,Shin Megami Tensei: Persona 4,4,57,PlayStation 2,55
44,Street Fighter X Tekken,23,58,PlayStation 3,53
87,Mario Kart 7,7,59,3DS,59
222,Xenoblade Chronicles,2,60,Wii,60
4392,The Legend of Zelda: Ocarina of Time,5,61,Nintendo 64,64
1313,Pokemon Platinum Version,1,62,DS,61
605,Dragon Quest IX: Sentinels of the Starry Skies,1,63,DS,62
721,Monster Hunter Tri,2,64,Wii,63
1224,Fallout 3,1,65,Xbox 360,65
512,Dissidia 012: Duodecim Final Fantasy,2,66,PSP,70
81,Saints Row: The Third,13,67,PlayStation 3,68
345,Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,19,68,DS,66
125,Kingdom Hearts 3D: Dream Drop Distance,16,69,3DS,83
346,Pokemon White Version,2,70,DS,67
2652,Grand Theft Auto: San Andreas,1,71,PlayStation 2,73
153,Uncharted 3: Drake's Deception,3,72,PlayStation 3,85
468,Mass Effect 2,2,73,PC,77
66,NBA 2K12,16,74,Xbox 360,72
265,The Witcher 2: Assassins of Kings,1,75,PC,76
120,Super Smash Bros. Wii U,5,76,Wii U,71
479,Fallout: New Vegas,2,77,PC,78
672,Red Dead Redemption,1,78,Xbox 360,75
71,NBA 2K12,32,79,PlayStation 3,79
620,Shin Megami Tensei: Persona 3 Portable,3,80,PSP,74
307,Metal Gear Solid: Peace Walker,4,81,PSP,89
405,The Legend of Zelda: Ocarina of Time 3D,1,82,3DS,84
80,Assassin's Creed: Revelations,10,83,Xbox 360,82
999,Plants vs. Zombies,7,84,PC,94
131,White Knight Chronicles II,11,85,PlayStation 3,88
1182,Kingdom Hearts: Birth by Sleep,1,86,PSP,87
177,Disgaea 4: A Promise Unforgotten,3,87,PlayStation 3,81
556,Call of Duty: Black Ops,1,88,Xbox 360,93
841,Dragon Age: Origins,1,89,Xbox 360,86
1144,Shin Megami Tensei: Persona 3 FES,7,90,PlayStation 2,80
452,Monster Hunter Portable 3rd,11,91,PSP,90
960,The Sims 3,1,92,PC,92
306,Tactics Ogre: Let Us Cling Together,5,93,PSP,91
1882,Pokemon Diamond Version,1,94,DS,95
6,Kingdoms of Amalur: Reckoning,72,95,PC,99
812,Mass Effect,1,96,Xbox 360,96
1123,Tales of Vesperia,1,97,Xbox 360,97
595,Pokemon SoulSilver Version,3,98,DS,Ret
229,Final Fantasy Type-0,12,99,PSP,Ret
787,Grand Theft Auto: San Andreas,2,100,PC,Ret
