,% of Ballots,Inducted As,Voted By,Votes,Year
Roberto Alomar,90.0%,Player,BBWAA,523.0,2011
Bert Blyleven,79.7%,Player,BBWAA,463.0,2011
Pat Gillick,,Executive,Veterans,,2011
Andre Dawson,77.9%,Player,BBWAA,420.0,2010
Doug Harvey,,Umpire,Veterans,,2010
Whitey Herzog,,Manager,Veterans,,2010
Joe Gordon,,Player,Veterans,,2009
Rickey Henderson,94.8%,Player,BBWAA,511.0,2009
Jim Rice,76.4%,Player,BBWAA,412.0,2009
Barney Dreyfuss,,Pioneer/Executive,Veterans,,2008
Rich Gossage,85.8%,Player,BBWAA,466.0,2008
Bowie Kuhn,,Pioneer/Executive,Veterans,,2008
Walter O'Malley,,Pioneer/Executive,Veterans,,2008
Billy Southworth,,Manager,Veterans,,2008
Dick Williams,,Manager,Veterans,,2008
Tony Gwynn,97.6%,Player,BBWAA,532.0,2007
Cal Ripken,98.5%,Player,BBWAA,537.0,2007
Raymond Brown,,Player,Negro League,,2006
Willard Brown,,Player,Negro League,,2006
Andy Cooper,,Player,Negro League,,2006
Frank Grant,,Player,Negro League,,2006
Pete Hill,,Player,Negro League,,2006
Biz Mackey,,Player,Negro League,,2006
Effa Manley,,Pioneer/Executive,Negro League,,2006
Jose Mendez,,Player,Negro League,,2006
Alex Pompez,,Pioneer/Executive,Negro League,,2006
Cum Posey,,Pioneer/Executive,Negro League,,2006
Louis Santop,,Player,Negro League,,2006
Bruce Sutter,76.9%,Player,BBWAA,400.0,2006
Mule Suttles,,Player,Negro League,,2006
Ben Taylor,,Player,Negro League,,2006
Cristobal Torriente,,Player,Negro League,,2006
Sol White,,Pioneer/Executive,Negro League,,2006
J. L. Wilkinson,,Pioneer/Executive,Negro League,,2006
Jud Wilson,,Player,Negro League,,2006
Wade Boggs,91.9%,Player,BBWAA,474.0,2005
Ryne Sandberg,76.2%,Player,BBWAA,393.0,2005
Dennis Eckersley,83.2%,Player,BBWAA,421.0,2004
Paul Molitor,85.2%,Player,BBWAA,431.0,2004
Gary Carter,78.0%,Player,BBWAA,387.0,2003
Eddie Murray,85.3%,Player,BBWAA,423.0,2003
Ozzie Smith,91.7%,Player,BBWAA,433.0,2002
Bill Mazeroski,,Player,Veterans,,2001
Kirby Puckett,82.1%,Player,BBWAA,423.0,2001
Hilton Smith,,Player,Veterans,,2001
Dave Winfield,84.5%,Player,BBWAA,435.0,2001
Sparky Anderson,,Manager,Veterans,,2000
Carlton Fisk,79.6%,Player,BBWAA,397.0,2000
Bid McPhee,,Player,Veterans,,2000
Tony Perez,77.2%,Player,BBWAA,385.0,2000
Turkey Stearnes,,Player,Veterans,,2000
George Brett,98.2%,Player,BBWAA,488.0,1999
Orlando Cepeda,,Player,Veterans,,1999
Nestor Chylak,,Umpire,Veterans,,1999
Nolan Ryan,98.8%,Player,BBWAA,491.0,1999
Frank Selee,,Manager,Veterans,,1999
Smokey Joe Williams,,Player,Veterans,,1999
Robin Yount,77.5%,Player,BBWAA,385.0,1999
George Davis,,Player,Veterans,,1998
Larry Doby,,Player,Veterans,,1998
Lee MacPhail,,Pioneer/Executive,Veterans,,1998
Bullet Rogan,,Player,Veterans,,1998
Don Sutton,81.6%,Player,BBWAA,386.0,1998
Nellie Fox,,Player,Veterans,,1997
Tom Lasorda,,Manager,Veterans,,1997
Phil Niekro,80.3%,Player,BBWAA,380.0,1997
Willie Wells,,Player,Veterans,,1997
Jim Bunning,,Player,Veterans,,1996
Bill Foster,,Player,Veterans,,1996
Ned Hanlon,,Manager,Veterans,,1996
Earl Weaver,,Manager,Veterans,,1996
Richie Ashburn,,Player,Veterans,,1995
Leon Day,,Player,Veterans,,1995
William Hulbert,,Pioneer/Executive,Veterans,,1995
Mike Schmidt,96.5%,Player,BBWAA,444.0,1995
Vic Willis,,Player,Veterans,,1995
Steve Carlton,95.6%,Player,BBWAA,436.0,1994
Leo Durocher,,Manager,Veterans,,1994
Phil Rizzuto,,Player,Veterans,,1994
Reggie Jackson,93.6%,Player,BBWAA,396.0,1993
Rollie Fingers,81.2%,Player,BBWAA,349.0,1992
Bill McGowan,,Umpire,Veterans,,1992
Hal Newhouser,,Player,Veterans,,1992
Tom Seaver,98.8%,Player,BBWAA,425.0,1992
Rod Carew,90.5%,Player,BBWAA,401.0,1991
Fergie Jenkins,75.4%,Player,BBWAA,334.0,1991
Tony Lazzeri,,Player,Veterans,,1991
Gaylord Perry,77.2%,Player,BBWAA,342.0,1991
Bill Veeck,,Pioneer/Executive,Veterans,,1991
Joe Morgan,81.8%,Player,BBWAA,363.0,1990
Jim Palmer,92.6%,Player,BBWAA,411.0,1990
Al Barlick,,Umpire,Veterans,,1989
Johnny Bench,96.4%,Player,BBWAA,431.0,1989
Red Schoendienst,,Player,Veterans,,1989
Carl Yastrzemski,94.6%,Player,BBWAA,423.0,1989
Willie Stargell,82.4%,Player,BBWAA,352.0,1988
Ray Dandridge,,Player,Veterans,,1987
Catfish Hunter,76.3%,Player,BBWAA,315.0,1987
Billy Williams,85.7%,Player,BBWAA,354.0,1987
Bobby Doerr,,Player,Veterans,,1986
Ernie Lombardi,,Player,Veterans,,1986
Willie McCovey,81.4%,Player,BBWAA,346.0,1986
Lou Brock,79.7%,Player,BBWAA,315.0,1985
Enos Slaughter,,Player,Veterans,,1985
Arky Vaughan,,Player,Veterans,,1985
Hoyt Wilhelm,83.8%,Player,BBWAA,331.0,1985
Luis Aparicio,84.6%,Player,BBWAA,341.0,1984
Don Drysdale,78.4%,Player,BBWAA,316.0,1984
Rick Ferrell,,Player,Veterans,,1984
Harmon Killebrew,83.1%,Player,BBWAA,335.0,1984
Pee Wee Reese,,Player,Veterans,,1984
Walter Alston,,Manager,Veterans,,1983
George Kell,,Player,Veterans,,1983
Juan Marichal,83.7%,Player,BBWAA,313.0,1983
Brooks Robinson,92.0%,Player,BBWAA,344.0,1983
Hank Aaron,97.8%,Player,BBWAA,406.0,1982
Happy Chandler,,Pioneer/Executive,Veterans,,1982
Travis Jackson,,Player,Veterans,,1982
Frank Robinson,89.2%,Player,BBWAA,370.0,1982
Rube Foster,,Manager,Veterans,,1981
Bob Gibson,84.0%,Player,BBWAA,337.0,1981
Johnny Mize,,Player,Veterans,,1981
Al Kaline,88.3%,Player,BBWAA,340.0,1980
Chuck Klein,,Player,Veterans,,1980
Duke Snider,86.5%,Player,BBWAA,333.0,1980
Tom Yawkey,,Pioneer/Executive,Veterans,,1980
Warren Giles,,Pioneer/Executive,Veterans,,1979
Willie Mays,94.7%,Player,BBWAA,409.0,1979
Hack Wilson,,Player,Veterans,,1979
Addie Joss,,Player,Veterans,,1978
Larry MacPhail,,Pioneer/Executive,Veterans,,1978
Eddie Mathews,79.4%,Player,BBWAA,301.0,1978
Ernie Banks,83.8%,Player,BBWAA,321.0,1977
Martin Dihigo,,Player,Negro League,,1977
Pop Lloyd,,Player,Negro League,,1977
Al Lopez,,Manager,Veterans,,1977
Amos Rusie,,Player,Veterans,,1977
Joe Sewell,,Player,Veterans,,1977
Oscar Charleston,,Player,Negro League,,1976
Roger Connor,,Player,Veterans,,1976
Cal Hubbard,,Umpire,Veterans,,1976
Bob Lemon,78.6%,Player,BBWAA,305.0,1976
Freddie Lindstrom,,Player,Veterans,,1976
Robin Roberts,86.9%,Player,BBWAA,337.0,1976
Earl Averill,,Player,Veterans,,1975
Bucky Harris,,Manager,Veterans,,1975
Billy Herman,,Player,Veterans,,1975
Judy Johnson,,Player,Negro League,,1975
Ralph Kiner,75.4%,Player,BBWAA,273.0,1975
Cool Papa Bell,,Player,Negro League,,1974
Jim Bottomley,,Player,Veterans,,1974
Jocko Conlan,,Umpire,Veterans,,1974
Whitey Ford,77.8%,Player,BBWAA,284.0,1974
Mickey Mantle,88.2%,Player,BBWAA,322.0,1974
Sam Thompson,,Player,Veterans,,1974
Roberto Clemente,,Player,Special Election,,1973
Billy Evans,,Umpire,Veterans,,1973
Monte Irvin,,Player,Negro League,,1973
