,Country,Members,Pop/Mem Ratio,Population
,Afghanistan,3,"10,913","32,738"
,"Iran, Islamic Republic of",29,"2,490","72,212"
,Morocco,14,"2,227","31,177"
,Turkey,80,935,"74,766"
,Algeria,40,867,"34,694"
,Mauritania,7,458,"3,204"
,Tunisia,28,369,"10,337"
,Iraq,173,170,"29,492"
,Egypt,753,100,"74,946"
,Libyan Arab Jamahiriya,72,87,"6,283"
,Oman,38,72,"2,719"
,Niger,227,65,"14,731"
,Turkmenistan,91,57,"5,180"
,Jordan,188,31,"5,849"
,"Korea, Democratic People's Republic of",866,27,"23,479"
,Senegal,485,26,"12,688"
,Uzbekistan,1220,22,"27,199"
,Greece,509,22,"11,242"
,Bahrain,39,20,780
,Ireland,253,18,"4,475"
,Kuwait,167,16,"2,669"
,Malta,27,15,412
,Cyprus,72,15,"1,060"
,United Arab Emirates,309,15,"4,486"
,Pakistan,12433,14,"172,800"
,Qatar,71,13,928
,Azerbaijan,701,12,"8,679"
,Georgia,380,12,"4,639"
,Tajikistan,631,12,"7,285"
,Albania,322,10,"3,241"
,Lebanon,389,10,"3,981"
,Eritrea,521,10,"5,006"
,Viet Nam,9471,9,"86,185"
,Guinea,1287,8,"10,302"
,Andorra,10,9,85
,Israel,883,8,"7,482"
,Japan,15299,8,"127,720"
,Mali,1452,9,"12,716"
,Italy,8648,7,"59,865"
,Luxembourg,77,6,488
,Congo,636,6,"3,847"
,Poland,5748,7,"38,110"
,Thailand,12551,5,"66,148"
,Bosnia and Herzegovina,695,6,"3,843"
,Bangladesh,29193,5,"147,285"
,Belgium,1900,6,"10,695"
,Sri Lanka,3681,6,"20,296"
,Kazakhstan,3278,5,"15,651"
,Kyrgyzstan,1096,5,"5,242"
,Burkina Faso,3480,4,"15,213"
,Gibraltar,7,4,29
,France,12649,5,"62,046"
,Taiwan (China),5548,4,"23,002"
,Timor-Leste,306,4,"1,081"
,Slovenia,558,4,"2,034"
,Netherlands,4843,3,"16,433"
,"Macedonia, The Former Yugoslav Republic of",587,3,"2,049"
,Sweden,2789,3,"9,214"
,Spain,14608,3,"46,501"
,Armenia,900,3,"3,084"
,China,370317,4,"1,324,708"
,Lao People's Democratic Republic,1865,3,"5,850"
,Lithuania,876,4,"3,357"
,Nepal,6846,4,"26,997"
,Macao Special Administrative Region (China),210,3,551
,Montenegro,256,2,627
,Cambodia,5935,2,"14,656"
,Aland Islands,10,3,27
,Hungary,4694,2,"10,034"
,Benin,4433,2,"9,309"
,Austria,3871,2,"8,352"
,Germany,35651,2,"82,170"
,Denmark,2482,2,"5,490"
,United Kingdom of Great Britain and Northern Ireland,28791,2,"61,291"
,Russian Federation,52067,3,"141,875"
,Slovakia,2347,2,"5,405"
,Chad,3393,3,"10,111"
,Sudan,15354,3,"39,445"
,Wallis and Futuna Islands,6,3,16
,Singapore,2542,2,"4,790"
,Serbia,6652,1,"9,545"
,Norway,4653,1,"4,762"
,Portugal,9332,1,"10,621"
,Gambia,1203,1,"1,559"
,Czech Republic,7514,1,"10,428"
,Finland,5064,1,"5,285"
,Bulgaria,7598,1,"7,621"
,Belarus,5115,2,"9,678"
,Switzerland,4311,2,"7,633"
,Cote d'Ivoire,11574,2,"20,677"
,Indonesia,197621,1,"239,945"
,Hong Kong Special Administrative Region (China),4401,2,"6,990"
,Croatia,2970,1,"4,433"
,Myanmar,26797,2,"49,221"
,Mongolia,1399,2,"2,655"
