Height,Weight,Wrestler
"6'9""",457 lbs.,Akeem/One Man Gang
"6'11""",520 lbs.,Andre The Giant
"6'0""",249 lbs.,Arn Anderson
Unknown,271 lbs.,Bad News Brown
"6'3""",368 lbs.,Bam Bam Bigelow
"5'10""",227 lbs.,Barry Horowitz
"6'5""",260 lbs.,Bart Gunn
"6'6""",317 lbs.,Batista
"6'6""",350 lbs.,Big Daddy
"7'1""",400 lbs.,Big Show
6'4,290 lbs.,Bill Goldberg
"6'5""",254 lbs.,Billy Gunn
--,1598(total) lbs.,Billy/Benny McGuire
"6'9""",309 lbs.,BlackJack Bradshaw
"6'5""",273 lbs.,BlackJack Wyndham
"6'1""",234 lbs.,Bob Backlund
"6'1""",231 lbs.,Bob Holly
"6'0""",234 lbs.,Bret Hart
"5'10""",230 lbs.,Brian Christopher
"6'1""",295 lbs.,Brian Nobbs
"6'0""",226 lbs.,Brian Pillman
"5'10""",253 lbs.,British Bulldog
6'4,295 lbs.,Brock Lesnar
"6'0""",231 lbs.,Brooklyn Brawler
"5'9""",212 lbs.,Bruce
"6'4""",271 lbs.,Brutus Beefcake
"6'1""",240 lbs.,Buff Bagwell
"6'0""",255 lbs.,Bushwacker Butch
"6'1""",244 lbs.,Bushwacker Luke
"5'10""",218 lbs.,Chris Benoit
"6'6""",318 lbs.,Crush
"6'3""",257 lbs.,Curt Hennig
"6'0""",223 lbs.,Dean Douglas
"5'9""",216 lbs.,Dean Malenko
"6'5""",260 lbs.,DDP
"6'0""",238 lbs.,Disco Inferno
"6'3""",270 lbs.,Don Muraco
"5'11""",243 lbs.,Doug Furnas
"6'5""",306 lbs.,Duke Droese
"6'3""",289 lbs.,Dusty Rhodes
"6'4""",462 lbs.,Earthquake
"5'8""",221 lbs.,Eddy Guerrero
"6'4""",289 lbs.,The Executioner
"6'1""",401 lbs.,Fatu
"6'3""",272 lbs.,Faarooq
"5'11""",235 lbs.,Flash Funk
"6'1""",227 lbs.,Freddie Joe Floyd
"6'4""",300 lbs.,Gene Snitsky
"6'0""",252 lbs.,The Genius
"7'7""",435 lbs.,Giant Gonzales
"6'11""",685 lbs.,Giant Haystacks
"6'6""",400 lbs.,Gorilla Monsoon
"7'3""",403 lbs.,Giant Silva
"6'0""",248 lbs.,"Greg ""The Hammer"" Valentine"
"6'3""",280 lbs.,Hacksaw Jim Duggan
"6'0""",273 lbs.,Haku
"6'0""",243 lbs.,Headbanger Mosh
"6'2""",242 lbs.,Headbanger Thrasher
"6'7""",288 lbs.,Henry O. Godwinn
6'1,275 lbs.,Hercules
"6'7""",286 lbs.,Hillbilly Jim
"6'1""",258 lbs.,Honky Tonk Man
"6'8""",303 lbs.,Hulk Hogan
"6'4""",246 lbs.,Hunter Hearst Helmsley
"6'0""",262 lbs.,Iron Shiek
"6'3""",248 lbs.,Irwin R. Sheister
"6'5""",253 lbs.,"Jake ""The Snake"" Roberts"
"5'10""",230 lbs.,Jeff Jarrett
"6'3""",290 lbs.,Jerry Saggs
"6'0""",234 lbs.,Jerry Lawler
"6'4""",240 lbs.,Jesse James
"6'4""",245 lbs.,Jesse Ventura
"6'3""",280 lbs.,Jim Duggan
5'10,166 lbs.,Jimmy Hart
"6'0""",250 lbs.,"Jimmy ""Superfly"" Snuka"
"6'1""",281 lbs.,Jim Neidhart
"6'1""",248 lbs.,John Cena
"5'9""",143 lbs.,Josh Mathews
"6'7""",345 lbs.,Kamala
"6'6""",340 lbs.,Kama Mustafaa
"6'9""",320 lbs.,Kane
6'0,235 lbs.,Ken Shamrock
"6'11""",356 lbs.,Kevin Nash
"6'4""",446 lbs.,King Kong Bundy
"5'9""",229 lbs.,Koko B. Ware
"5'10""",237 lbs.,Konnan
"6'1""",231 lbs.,Leif Cassidy
"6'5""",265 lbs.,Lex Luger
"6'10""",568 lbs.,Mabel
"6'3""",287 lbs.,Mankind
"6'1""",235 lbs.,Marc Mero
"6'6""",271 lbs.,Mark Jindrak
"5'11""",230 lbs.,Marty Jannetty
"6'0""",273 lbs.,Meng
"6'1""",285 lbs.,Mo
Unknown,249 lbs.,Mr. Fuji
"6'5""",308 lbs.,Mr. Hughes
"6'5""",271 lbs.,Nailz
"5'11""",227 lbs.,Owen Hart
"5'11""",235 lbs.,Paul Roma
"5'11""",235 lbs.,Philip LaFon
"6'7""",310 lbs.,Phinneas I. Godwinn
"6'2""",245 lbs.,Randy Savage
"6'1""",235 lbs.,Raven
"6'5""",285 lbs.,Razor Ramon (Fake)
Unknown,240 lbs.,Red Rooster
"5'3""",140 lbs.,Rey Mysterio Jr
"6'1""",243 lbs.,Ric Flair
"6'0""",234 lbs.,Rick Martel
"6'3""",251 lbs.,Rick Rude
"5'11""",248 lbs.,Rick Steiner
6'0,227 lbs.,Rob Van Dam
"6'5""",?? lbs.,"Rock, The"
Unknown,242 lbs.,Ronnie Garvin
"5'10""",256 lbs.,Savio Vega
"6'8""",290 lbs.,Scott Hall
"6'3""",340 lbs.,Scott Norton
"6'1""",235 lbs.,Scott Steiner
"6'3""",310 lbs.,Sgt. Slaughter
"6'0""",235 lbs.,Shawn Michaels
"5'8""",226 lbs.,Skip
"5'6""",155 lbs.,Spike Dudley
"6'3""",256 lbs.,Stone Cold Steve Steve Austin
"6'2""",260 lbs.,The Sultan
"6'10""",313 lbs.,Sycho Sid
"6'2""",212 lbs.,Syxx(Now known as X-Pac)
"6'1""",250 lbs.,Tatanka
"6'1""",247 lbs.,Terry Funk
"6'6""",282 lbs.,Test
"6'2""",254 lbs.,Texas Tornado
"6'1""",244 lbs.,Tito Santana
"6'1""",235 lbs.,T.L. Hopper
"6'6""",292 lbs.,Tyson Tomko
6'7,384 lbs.,Tugboat/Typhoon
"6'2""",275 lbs.,Ultimate Warrior
"7'2""",450 lbs.,Uncle Elmer
"6'10""",328 lbs.,The Undertaker
"6'6""",452 lbs.,Vader
"6'2""",250 lbs.,Vince
"6'4""",621 lbs.,Yokozuna
"6'0""",231 lbs.,Zeus
"6'6""",300 lbs.,Zip-The Bodydonnas
