Emperor,coin/ year,no.coins,reign,years
Domitian,"0,0667",1,81-96,15
Trajan,"0,1579",3,98-117,19
Hadrian,"0,1429",2+1,117-138,21
[Antonins Dynasty],,(1),,
(Faustina),,(3),,
Antoninus Pius,"0,4348",7+3,138-161,23
(Lucilla) => Lucius Verus,,(1),161-166,
Marcus Aurelius,"0,1053",1+1,161-180,19
Commodus,"0,0000",0,180-192,12
Septimius Severus,"0,2222",4,193-211,18
Caracalla,"0,1667",1,211-217,6
(Julia Pia),,4,,
Elagabalus,"1,2500",1+4,218-222,4
Julia Mamaea,,1,,
Severus Alexander,"0,6154",7+1,222-235,13
Gordian III,"1,3333",8,238-244,6
Philippus,"0,4000",2,244-249,5
Decius,"1,5000",1+2,249-251,2
Etruscilla,,(2),,
