ALPHABETIC CODE,CURRENCY,ENTITY,NUMERIC CODE
AFA,Afghani,Afghanistan,4
ALL,Lek,Albania,8
DZD,Algerian Dinar,Algeria,12
USD,US Dollar,American Samoa,840
ESP,Spanish Peseta,Andorra,724
FRF,French Franc,,250
ADP,Andorran Peseta,,20
AON,New Kwanza,Angola,24
AOR,Kwanza Reajustado,,982
XCD,East Caribbean Dollar,Anguilla,951
,No universal currency,Antarctica,
XCD,East Caribbean Dollar,Antigua and Barbuda,951
ARS,Argentine Peso,Argentina,32
AMD,Armenian Dram,Armenia,51
AWG,Aruban Guilder,Aruba,533
AUD,Australian Dollar,Australia,36
ATS,Schilling,Austria,40
AZM,Azerbaijanian Manat,Azerbaijan,31
BSD,Bahamian Dollar,Bahamas,44
BHD,Bahraini Dinar,Bahrain,48
BDT,Taka,Bangladesh,50
BBD,Barbados Dollar,Barbados,52
BYR,Belarussian Ruble,Belarus,974
BEF,Belgian Franc,Belgium,56
BZD,Belize Dollar,Belize,84
XOF,CFA Franc BCEAO,Benin,952
BMD,Bermudian Dollar,Bermuda,60
INR,Indian Rupee,Bhutan,356
BTN,Ngultrum,,64
BAM,Convertible Marks,Bosnia and Herzegovina,977
BWP,Pula,Botswana,72
NOK,Norwegian Krone,Bouvet Island,578
BRL,Brazilian Real,Brazil,986
USD,US Dollar,British Indian Ocean Territory,840
BND,Brunei Dollar,Brunei Darussalam,96
BGL,Lev,Bulgaria,100
BGN,Bulgarian LEV,,975
XOF,CFA Franc BCEAO,Burkina Faso,952
BIF,Burundi Franc,Burundi,108
KHR,Riel,Cambodia,116
XAF,CFA Franc BEAC,Cameroon,950
CAD,Canadian Dollar,Canada,124
CVE,Cape Verde Escudo,Cape Verde,132
KYD,Cayman Islands Dollar,Cayman Islands,136
XAF,CFA Franc BEAC,Central African Republic,950
XAF,CFA Franc BEAC,Chad,950
CLP,Chilean Peso,Chile,152
CLF,Unidades de fomento,,990
CNY,Yuan Renminbi,China,156
AUD,Australian Dollar,Christmas Island,36
AUD,Australian Dollar,Cocos (Keeling) Islands,36
COP,Colombian Peso,Colombia,170
KMF,Comoro Franc,Comoros,174
XAF,CFA Franc BEAC,Congo,950
CDF,Franc Congolais,"Congo, The Democratic Republic Of",976
NZD,New Zealand Dollar,Cook Islands,554
CRC,Costa Rican Colon,Costa Rica,188
XOF,CFA Franc BCEAO,Cote D'ivoire,952
HRK,Kuna,Croatia,191
CUP,Cuban Peso,Cuba,192
CYP,Cyprus Pound,Cyprus,196
CZK,Czech Koruna,Czech Republic,203
DKK,Danish Krone,Denmark,208
DJF,Djibouti Franc,Djibouti,262
XCD,East Caribbean Dollar,Dominica,951
DOP,Dominican Peso,Dominican Republic,214
TPE,Timor Escudo,East Timor,626
IDR,Rupiah,,360
ECS,Sucre,Ecuador,218
ECV,Unidad de Valor Constante (UVC),,983
EGP,Egyptian Pound,Egypt,818
SVC,El Salvador Colon,El Salvador,222
XAF,CFA Franc BEAC,Equatorial Guinea,950
EEK,Kroon,Estonia,233
ERN,Nakfa,Eritrea,232
ETB,Ethiopian Birr,Ethiopia,230
DKK,Danish Krone,Faeroe Islands,208
FKP,Pound,Falkland Islands (Malvinas),238
FJD,Fiji Dollar,Fiji,242
FIM,Markka,Finland,246
FRF,French Franc,France,250
FRF,French Franc,French Guiana,250
XPF,CFP Franc,French Polynesia,953
FRF,French Franc,French Southern Territories,250
XAF,CFA Franc BEAC,Gabon,950
GMD,Dalasi,Gambia,270
GEL,Lari,Georgia,981
DEM,Deutsche Mark,Germany,276
GHC,Cedi,Ghana,288
GIP,Gibraltar Pound,Gibraltar,292
GRD,Drachma,Greece,300
DKK,Danish Krone,Greenland,208
XCD,East Caribbean Dollar,Grenada,951
FRF,French Franc,Guadeloupe,250
USD,US Dollar,Guam,840
GTQ,Quetzal,Guatemala,320
GNF,Guinea Franc,Guinea,324
GWP,Guinea-Bissau Peso,Guinea-Bissau,624
XOF,CFA Franc BCEAO,,952
GYD,Guyana Dollar,Guyana,328
HTG,Gourde,Haiti,332
USD,US Dollar,,840
AUD,Australian Dollar,Heard and Mcdonald Islands,36
HNL,Lempira,Honduras,340
HKD,Hong Kong Dollar,Hong Kong,344
HUF,Forint,Hungary,348
ISK,Iceland Krona,Iceland,352
INR,Indian Rupee,India,356
IDR,Rupiah,Indonesia,360
XDR,SDR,International Monetary Fund (Imf),960
IRR,Iranian Rial,Iran (Islamic Republic Of),364
IQD,Iraqi Dinar,Iraq,368
IEP,Irish Pound,Ireland,372
ILS,New Israeli Sheqel,Israel,376
ITL,Italian Lira,Italy,380
JMD,Jamaican Dollar,Jamaica,388
JPY,Yen,Japan,392
JOD,Jordanian Dinar,Jordan,400
KZT,Tenge,Kazakhstan,398
KES,Kenyan Shilling,Kenya,404
AUD,Australian Dollar,Kiribati,36
KPW,North Korean Won,"Korea, Democratic People's Republic Of",408
KRW,Won,"Korea, Republic Of",410
KWD,Kuwaiti Dinar,Kuwait,414
KGS,Som,Kyrgyzstan,417
LAK,Kip,Lao People's Democratic Republic,418
LVL,Latvian Lats,Latvia,428
LBP,Lebanese Pound,Lebanon,422
ZAR,Rand,Lesotho,710
ZAL,(financial Rand),,991
LSL,Loti,,426
LRD,Liberian Dollar,Liberia,430
LYD,Libyan Dinar,Libyan Arab Jamahiriya,434
CHF,Swiss Franc,Liechtenstein,756
LTL,Lithuanian Litas,Lithuania,440
LUF,Luxembourg Franc,Luxembourg,442
MOP,Pataca,Macau,446
MKD,Denar,"Macedonia, The Former Yugoslav Republic Of",807
MGF,Malagasy Franc,Madagascar,450
MWK,Kwacha,Malawi,454
MYR,Malaysian Ringgit,Malaysia,458
MVR,Rufiyaa,Maldives,462
XOF,CFA Franc BCEAO,Mali,952
MTL,Maltese Lira,Malta,470
USD,US Dollar,Marshall Islands,840
FRF,French Franc,Martinique,250
MRO,Ouguiya,Mauritania,478
MUR,Mauritius Rupee,Mauritius,480
MXN,Mexican Peso,Mexico,484
MXV,Mexican Unidad de Inversion (UDI),,979
USD,US Dollar,Micronesia,840
MDL,Moldovan Leu,"Moldova, Republic Of",498
FRF,French Franc,Monaco,250
MNT,Tugrik,Mongolia,496
XCD,East Caribbean Dollar,Montserrat,951
MAD,Moroccan Dirham,Morocco,504
MZM,Metical,Mozambique,508
MMK,Kyat,Myanmar,104
ZAR,Rand,Namibia,710
NAD,Namibia Dollar,,516
AUD,Australian Dollar,Nauru,36
NPR,Nepalese Rupee,Nepal,524
NLG,Netherlands Guilder,Netherlands,528
ANG,Antillian Guilder,Netherlands Antilles,532
XPF,CFP Franc,New Caledonia,953
NZD,New Zealand Dollar,New Zealand,554
NIO,Cordoba Oro,Nicaragua,558
XOF,CFA Franc BCEAO,Niger,952
NGN,Naira,Nigeria,566
NZD,New Zealand Dollar,Niue,554
AUD,Australian Dollar,Norfolk Island,36
USD,US Dollar,Northern Mariana Islands,840
NOK,Norwegian Krone,Norway,578
OMR,Rial Omani,Oman,512
PKR,Pakistan Rupee,Pakistan,586
USD,US Dollar,Palau,840
PAB,Balboa,Panama,590
USD,US Dollar,,840
PGK,Kina,Papua New Guinea,598
PYG,Guarani,Paraguay,600
PEN,Nuevo Sol,Peru,604
PHP,Philippine Peso,Philippines,608
NZD,New Zealand Dollar,Pitcairn,554
PLN,Zloty,Poland,985
PTE,Portuguese Escudo,Portugal,620
USD,US Dollar,Puerto Rico,840
QAR,Qatari Rial,Qatar,634
FRF,French Franc,Reunion,250
ROL,Leu,Romania,642
RUR,Russian Ruble,Russian Federation,810
RUB,Russian Ruble,,643
RWF,Rwanda Franc,Rwanda,646
SHP,St Helena Pound,St Helena,654
XCD,East Caribbean Dollar,St Kitts - Nevis,951
XCD,East Caribbean Dollar,Saint Lucia,951
FRF,French Franc,St Pierre and Miquelon,250
XCD,East Caribbean Dollar,Saint Vincent and The Grenadines,951
WST,Tala,Samoa,882
ITL,Italian Lira,San Marino,380
STD,Dobra,Sao Tome and Principe,678
SAR,Saudi Riyal,Saudi Arabia,682
XOF,CFA Franc BCEAO,Senegal,952
SCR,Seychelles Rupee,Seychelles,690
SLL,Leone,Sierra Leone,694
SGD,Singapore Dollar,Singapore,702
SKK,Slovak Koruna,Slovakia,703
SIT,Tolar,Slovenia,705
SBD,Solomon Islands Dollar,Solomon Islands,90
SOS,Somali Shilling,Somalia,706
ZAR,Rand,South Africa,710
ESP,Spanish Peseta,Spain,724
LKR,Sri Lanka Rupee,Sri Lanka,144
SDD,Sudanese Dinar,Sudan,736
SRG,Surinam Guilder,Suriname,740
NOK,Norwegian Krone,Svalbard and Jan Mayen Islands,578
SZL,Lilangeni,Swaziland,748
SEK,Swedish Krona,Sweden,752
CHF,Swiss Franc,Switzerland,756
SYP,Syrian Pound,Syrian Arab Republic,760
TWD,New Taiwan Dollar,"Taiwan, Province Of China",901
