Developer [14][16],ESRB/ ELSPA rating [10][17][21],Genre [10][11][15][18][22][23],Number of players [10][12][13][20],Publisher [10][11][14][17][18],Regions released [10][11][12][13][19],Title(s) [10][11][12][13],Year first released [10][11][14][15]
Nintendo,E/3+,Sports/Snowboarding,4 !1?4,Nintendo,"JP, NA, PAL",1080? Snowboarding,1998
Altron,?,Card Game,1,Altron,JP,64 Hanafuda: Tenshi no Yakusoku,1999
Bottom Up,?,Sports/Wrestling/Sumo,4 !1?4,Bottom Up,JP,64 ?zum?,1997
Bottom Up,?,Sports/Wrestling/Sumo,4 !1?4,Bottom Up,JP,64 ?zum? 2,1999
Bottom Up,?,Adventure/Card Games,4 !1?4,Bottom Up,JP,64 Trump Collection: Alice no Waku Waku Trump World,1998
Paradigm Entertainment,K-A/3+,Simulation/Flight Combat,4 !1?4,Video System,"JP, NA, PAL",Aerofighters Assault ?Sonic Wings AssaultJP,1997
Pacific Coast Power & Light,E/3+,Racing/Automotive,4 !1?4,ASCII Entertainment,"JP, NA, PAL",AeroGauge,1997
I4,?,Board Game/Strategy,4 !1?4,I4,JP,AI Shogi 3,1998
H2O Interactive,T/11+,Adventure/Role Playing,1,THQ,"NA, PAL",Aidyn Chronicles: The First Mage,2001
Human Entertainment,?/3+,Sports/Stunts,4 !1?4,Human Entertainment,"JP, PAL",Air Boarder 64,1998
Acclaim,E/3+,Sports/Baseball,4 !1?4,Acclaim,"NA, PAL",All-Star Baseball 99,1998
Acclaim,E/3+,Sports/Baseball,4 !1?4,Acclaim,"NA, PAL",All-Star Baseball 2000,1999
Acclaim,E/?,Sports/Baseball,4 !1?4,Acclaim,NA,All-Star Baseball 2001,2000
Smart Dog,E/3+,Sports/Tennis,4 !1?4,Ubisoft,"NA, PAL",All Star Tennis '99 ?Yannick Noah All Star Tennis '99FRA,1999
Nintendo,?,Simulation/Living/Social,1,Nintendo,JP,Animal Crossing ?D?butsu no MoriJP,2001
Acclaim,T/11+,Action/Adventure/3D Shooter,4 !1?4,Acclaim,"NA, PAL",Armorines: Project S.W.A.R.M.,1999
3DO,T/?,Action/Adventure/3D Shooter,4 !1?4,3DO,NA,Army Men: Air Combat,2000
3DO,T/11+,Action/Adventure/3D Shooter,4 !1?4,3DO,"NA, PAL",Army Men: Sarge's Heroes,1999
3DO,T/?,Action/Adventure/3D Shooter,4 !1?4,3DO,NA,Army Men: Sarge's Heroes 2,2000
Syrox Developments,E/?,Arcade/Action/Shooter,4 !1?4,Crave Entertainment,NA,Asteroids Hyper 64,1999
Titus Software,K-A/3+,Racing/Automobile,4 !1?4,Titus Software Taito,"JP, NA, PAL",Automobili Lamborghini ?Super Speed Race 64JP,1997
Treasure,?,Action/Adventure,1,ESP,JP,Bakuretsu Muteki Bangai-?,1999
Taito,?,Board Game,4 !1?4,Taito,JP,Bakush? Jinsei 64: Mezase! Resort ?,1998
Rare,E/3+,Adventure/3D Platformer,1,Nintendo,"JP, NA, PAL",Banjo-Kazooie ?Banjo to Kazooie no DaibokenJP,1998
Rare,E/3+,Adventure/3D Platformer,4 !1?4,Nintendo,"JP, NA, PAL",Banjo-Tooie ?Banjo to Kazooie no Daiboken 2JP,2000
Gear Head Entertainment,E/3+,Sports/Fishing,1,Take-Two Interactive,"NA, PAL",Bass Hunter 64,1999
Mass Media,E/?,Sports/Fishing,4 !1?4,THQ,NA,Bass Masters 2000,1999
Visco Corporation,?,Sports/Fishing,1,Visco Corporation,JP,Bass Rush: ECOGEAR PowerWorm Championship,2000
Kemco,E/3+,Action/Adventure,1,Ubisoft,"NA, PAL",Batman Beyond: Return of the Joker ?Batman of the Future: Return of the JokerPAL,2000
3DO,T/?,Simulation/Tank Combat,4 !1?4,3DO,NA,BattleTanx,1998
3DO,T/11+,Simulation/Tank Combat,4 !1?4,3DO,"NA, PAL",BattleTanx: Global Assault,1999
Climax Entertainment,E/?,Simulation/Tank Combat,4 !1?4,Crave Entertainment,NA,Battlezone: Rise of the Black Dogs,2000
Paradigm Entertainment,E/3+,Racing/Autombile/Adventure,4 !1?4,Electronic Arts,"JP, NA, PAL",Beetle Adventure Racing! ?As Aventuras do FuscaBRZ ?HSV Adventure RacingAUS,1999
Imagineer,E/?,Snowboarding/Skiing,4 !1?4,SouthPeak Interactive Imagineer,"JP, NA",Big Mountain 2000 ?Snow SpeederJP,2000
