...Bericht,Datum,H�he,Kanton,Name,Schwierigkeit,Tourenart
,29.05.2005,4634,VS,Dufourspitze (Pointe Dufour),S+ II,Alpine Skitour
,28.05.2005,4563,VS/I,Zumsteinspitze,WS,Skitour
,26.07.2002,4545,VS,Dom,WS- II,Hochtour
,07.09.2002,4327,VS,Nadelhorn,WS II,Hochtour
,16.08.2002,4314,VS,Grand Combin de Grafeneire,WS I,Hochtour
,01.08.2011,4294,VS,Lenzspitze,S IV,Nordwand
,07.04.2007,4274,BE/VS,Finsteraarhorn,WS+ II,Alpine Skitour
,26.08.2008,4221,VS,Zinalrothorn,ZS III,Hochtour
,18.04.2003,4206,VS,Alphubel,WS,Alpine Skitour
,12.05.2008,4199,VS,Rimpfischhorn,S III,Alpine Skitour
,20.05.2009,4195,VS,Aletschhorn,WS+ II,Alpine Skitour
,15.04.2003,4190,VS,Strahlhorn,S I,Alpine Skitour
,14.09.2002,4158,BE/VS,Jungfrau,ZS II,Hochtour
,23.07.2002,4153,VS,Bishorn,WS,Hochtour
,13.09.2002,4107,BE/VS,M?nch,ZS- II,Hochtour
,12.08.2005,4049,BE/VS,Grosses Fiescherhorn,WS+ II,Hochtour
,08.08.2003,4049,GR,Piz Bernina,ZS III,Hochtour
,14.04.2003,4027,VS,Allalinhorn,WS,Alpine Skitour
,12.08.2005,4025,VS,Hinter Fiescherhorn,WS+ II,Hochtour
,18.07.2004,3993,VS,Fletschhorn,WS,Hochtour
,02.04.2011,3970,BE,Eiger,SS+,Alpine Skitour
,12.06.2005,3925,VS,Ulrichshorn,WS,Hochtour
,08.04.2007,3906,VS,Gross Wannenhorn,WS+,Alpine Skitour
,28.07.2003,3905,GR/I,Piz Pal?,ZS III,Hochtour
,17.04.2011,3900,VS/F,Aiguille d'Argenti?re,"SS+, II",Alpine Skitour
,08.04.2006,3892,BE/VS,Mittaghorn,ZS,Alpine Skitour
,07.04.2006,3860,VS,Gr?negghorn,ZS+ II,Alpine Skitour
,13.04.2004,3803,VS/I,Cima di Jazzi,WS,Skitour
,30.07.2004,3796,VS,Balfrin,WS II,Hochtour
,05.06.2005,3785,VS,Breithorn (L?tschentaler),SS IV,Nordwand
,06.07.2002,3751,GR,Piz Morteratsch,WS- I,Hochtour
,03.07.2005,3699,BE/VS,Balmhorn,ZS III,Hochtour
,08.05.2008,3692,BE,Wetterhorn,WS+,Skitour
,19.06.2005,3638,BE,Doldenhorn,ZS III,Hochtour
,13.05.2011,3630,UR/VS,Dammastock,WS+,Skitour
,14.04.2009,3629,BE,Altels,S II,Alpine Skitour
,30.07.2004,3626,VS,Grosses Bigerhorn,WS II,Hochtour
,26.06.2005,3623,BE,Morgenhorn,ZS II,Hochtour
,16.03.2003,3614,GL/GR,T?di,ZS,Alpine Skitour
,13.05.2011,3608,UR/VS,Schneestock,WS,Skitour
,13.05.2011,3589,UR/VS,Rhonestock,ZS,Skitour
,26.02.2003,3586,UR/VS,Galenstock,ZS I,Alpine Skitour
,19.07.2003,3564,VS,Pointes de Mourti,WS II,Hochtour
,22.03.2009,3553,VS/I,Monte Leone,ZS III,Alpine Skitour
,26.08.2007,3519,VS,Aiguille de la Varappe,6b,Alpine Klettertour
,08.04.2007,3517,VS,Vorder Galmihorn,WS,Alpine Skitour
,15.05.2005,3515,UR/VS,Tiefenstock,S- I,Alpine Skitour
,07.05.2009,3503,BE/UR,Sustenhorn,ZS,Skitour
,22.03.2009,3438,VS,Breithorn (Simplon),WS,Alpine Skitour
,07.05.2009,3420,BE/UR,Gw?chtenhorn,S,Skitour
,03.05.2009,3418,BE/UR,Hinter Tierberg (N-Gipfel),WS,Alpine Skitour
,26.02.2006,3418,GR,Piz Kesch,ZS- I,Alpine Skitour
,14.09.2003,3402,GR/TI,Rheinwaldhorn,WS+ II,Hochtour
,05.04.2009,3397,GR,Piz Calderas,WS,Skitour
,09.04.2009,3392,GR,Piz Platta,S II,Alpine Skitour
,06.04.2009,3378,GR,Piz d'Err,WS,Skitour
,18.06.2006,3369,BE,Fr?ndenhorn,S- IV,Hochtour
,05.04.2009,3333,GR,Piz Picuogl,WS II,Skitour
,26.03.2007,3328,GR/UR,Oberalpstock,S+,Skitour
,05.04.2009,3316,GR,Tschima da Flix,WS,Skitour
,17.02.2008,3313,UR,Stucklistock,SS+ II,Alpine Skitour
,17.02.2007,3312,GR/A,Piz Buin Grond,ZS II,Alpine Skitour
,03.05.2009,3311,BE/UR,Mittler Tierberg,WS,Alpine Skitour
,27.04.2008,3295,UR,Gross Sch?rhorn,ZS I,Skitour
,03.06.2005,3279,GR/I,Pizzo Tambo,ZS,Skitour
,10.02.2011,3274,TI/I,Bas?dino,S,Alpine Skitour
,09.03.2003,3268,GL/UR,Clariden,WS+,Skitour
,01.02.2011,3256,GR/UR,Gross D?ssi,SS,Skitour
,06.04.2009,3251,GR,Piz Jenatsch,ZS I,Skitour
,12.01.2012,3248,BE/VS,Wildhorn,ZS,Skitour
,28.09.2003,3247,GR/SG,Ringelspitz,ZS IV,Hochtour
,01.04.2007,3238,BE/OW,Titlis,SS,Alpine Skitour
,18.03.2007,3220,UR,Rorspitzli,ZS+ I,Alpine Skitour
,10.02.2008,3215,BE,Gw?chtenhorn,SS- III,Alpine Skitour
,21.08.2008,3210,UR,Gross Bielenhorn,6b+,Alpine Klettertour
,18.03.2009,3209,GR/I,Piz Timun,S I,Skitour
,05.04.2009,3205,GR,Piz d'Agnel,WS+,Skitour
,26.03.2011,3203,UR,Winterstock,"SS+, IV",Alpine Skitour
,29.01.2008,3198,UR,Gross Spannort,S II,Skitour
,04.04.2009,3197,GR,Piz Surgonda,WS,Skitour
,21.03.2009,3194,VS/I,Bortelhorn,ZS II,Skitour
,22.02.2007,3192,TI/VS,Pizzo Rotondo,S+ I,Skitour
,05.05.2011,3178,GR,Piz Sarsura,ZS,Skitour
,17.02.2007,3174,GR/A,Signalhorn,ZS,Alpine Skitour
,18.03.2009,3172,GR/I,Piz della Pal?,ZS,Skitour
,18.02.2003,3158,GR,Hausstock,S,Skitour
,04.04.2009,3152,GR,Piz Traunter Ovas,WS,Skitour
,15.09.2003,3149,GR/TI,Piz Terri,WS+ II,Hochtour
,19.02.2011,3140,UR,Chli Spannort,ZS+ II,Alpine Skitour
,26.01.2008,3138,UR,Gross Ruchen,SS II,Skitour
,29.01.2011,3133,UR,Hinter Schloss,SS+,Alpine Skitour
,05.05.2011,3131,GR,Piz Grialetsch,S,Skitour
,10.01.2008,3122,TI/VS,Pizzo Pesciora,WS+ II,Skitour
,10.02.2008,3121,BE,Steinh?shorn,SS-,Alpine Skitour
,28.04.2004,3108,UR,Kr?nten,S II,Alpine Skitour
,15.01.2010,3101,GR,Piz Tumpiv,ZS+,Skitour
,07.03.2008,3099,UR/VS,Gross Muttenhorn,S-,Skitour
,10.01.2007,3096,GR/UR,Piz Giuv,S,Skitour
,05.05.2011,3086,GR,Scalettahorn,S,Skitour
,12.04.2009,3085,GR,Fl?ela-Wisshorn,ZS-,Skitour
,29.01.2008,3080,UR,Zw?chten,S,Skitour
,19.04.2009,3079,GL/UR,Bocktschingel,S,Skitour
,16.02.2008,3079,UR,Lochberg,S+,Skitour
,03.01.2010,3078,GR,Piz Surpar?,WS+,Skitour
,16.01.2009,3073,UR,Bristen,SS I,Alpine Skitour
,27.12.2008,3072,TI,Pizzo Campo Tencia,SS+,Skitour
,22.02.2007,3070,TI/VS,Ch?ebodenhorn,ZS,Skitour
,01.05.2005,3068,UR/VS,Gross Leckihorn,WS+,Skitour
,23.01.2010,3063,GL/GR/UR,Piz Cazarauls,ZS-,Skitour
,26.01.2011,3062,UR/VS,Stotzig Muttenhorn,SS,Skitour
,15.01.2011,3061,TI/VS,Pizzo Gallina,SS,Skitour
,14.03.2009,3048,GR,Lorenzhorn,WS+,Skitour
,14.03.2009,3040,GR,Chilchalphorn,WS,Skitour
,01.05.2005,3023,UR/VS,Chli Leckihorn,WS+,Skitour
,11.04.2009,3022,GR,Rad?ner Rothorn,WS+,Skitour
,23.04.2004,3020,GR,Gletscher Ducan,ZS-,Skitour
,29.01.2008,3011,UR,B?chenstock,S I,Skitour
,31.12.2004,3007,GR,Piz Ravetsch,ZS I,Alpine Skitour
,23.04.2004,3006,GR,?lplihorn,ZS-,Skitour
,15.01.2005,2999,TI/UR,Pizzo Centrale,S I,Skitour
,04.04.2003,2998,GR,Piz Beverin,ZS-,Skitour
,30.04.2005,2988,UR,Stellibodenhorn,S-,Skitour
,24.07.2008,2981,UR,Salbitschijen,6b,Alpine Klettertour
,08.03.2003,2972,GL/UR,Gemsfairenstock,WS+,Skitour
,10.01.2009,2963,TI/UR,Pizzo Lucendro,SS,Skitour
,06.04.2003,2962,TI/I,Marchhorn,SS,Skitour
,20.01.2003,2961,UR,Gemsstock,S,Skitour
,17.03.2004,2952,UR,Brunnistock,SS,Skitour
,31.12.2004,2952,GR,Piz Borel,ZS,Alpine Skitour
,20.01.2003,2951,UR,Rotstock,WS,Skitour
,01.04.2007,2946,BE/OW/UR,Grassen,S,Alpine Skitour
,21.04.2002,2940,UR,Chli Bielenhorn,WS,Snowboardtour
,07.01.2007,2928,GR/UR,Badus,ZS,Skitour
,15.03.2008,2928,UR,Uri Rotstock,SS,Skitour
,02.01.2008,2914,GL,B?chistock,SS I,Skitour
,30.04.2005,2913,UR,Rott?llihorn,S-,Skitour
,23.02.2003,2912,TI,Cristallina,S,Skitour
,26.06.2011,2904,GL,Vrenelisg?rtli,T6 II,Bergwandern
,26.06.2011,2901,GL,Ruchen,T5 II,Bergwandern
,05.09.2004,2898,GR,Zervreilahorn,5b,Alpine Klettertour
,15.02.2011,2891,GR,Chrachenhorn,ZS,Skitour
,21.03.2009,2858,VS/I,Cima Vallaperta,ZS,Skitour
,12.04.2009,2845,GR,J?rihorn,L+,Skitour
,30.12.2008,2844,SG,Pizol,WS I,Schneeschuhtour
,22.12.2006,2837,TI/I,Helgenhorn,WS,Skitour
,07.01.2007,2836,GR/UR,Rossbodenstock,ZS,Skitour
,23.07.2005,2828,UR,Vorder Feldschijen,6a,Alpine Klettertour
,04.03.2011,2826,GR,Madrisahorn,ZS+,Skitour
,03.08.2008,2823,VS,Petit Clocher du Portalet,6c,Alpine Klettertour
,08.12.2008,2821,TI,Poncione Cavagnolo,S I,Skitour
,15.12.2002,2817,GR/A,Sulzfluh,ZS,Skitour
,20.12.2007,2814,NW/UR,Ruchstock,SS,Skitour
,17.02.2011,2808,GR,B?elenhorn,ZS,Skitour
,13.02.2003,2794,GL,K?rpf,ZS I,Skitour
,11.04.2009,2786,BE,Schwarzhorn,WS+,Skitour
,12.12.2010,2781,GR,Grosshorn,L,Skitour
,03.01.2010,2774,GR,Uf da Fl?e,WS-,Skitour
,21.01.2008,2769,GR,Piz Tarantschun,ZS-,Skitour
,24.02.2008,2767,UR,Wichelhorn,S I,Skitour
,19.01.2008,2759,UR,Stotzigen Firsten,WS,Skitour
,11.01.2009,2756,TI,Il Madone,AS-,Skitour
,07.01.2007,2740,GR/UR,Pazolastock,WS,Skitour
,16.01.2010,2721,SZ,Grisset,SS,Skitour
,03.01.2009,2717,UR,Mittler Griessstock,SS,Skitour
,03.01.2011,2717,TI,Poncione di Vespero,SS+,Skitour
,04.03.2011,2703,GR,R?tschenhorn,S,Skitour
,22.01.2010,2700,GL,Chli Ch?rpf,WS+,Skitour
,13.02.2004,2680,TI,Pizzo Lei di Cima,S+,Skitour
,08.12.2008,2660,TI,Poncione Val Piana,S,Skitour
,01.01.2012,2651,GR,Ch?rbsch Horn,WS,Skitour
,26.12.2008,2650,GL,Rad (Wintergipfel),ZS,Skitour
,10.07.2008,2628,GR/A,Drusenfluh (W-Gipfel),7b,Alpine Klettertour
,14.12.2002,2627,GR/A,Schijenflue,ZS,Skitour
,10.02.2002,2602,GR,Einshorn (Pkt. 2602m),WS,Snowboardtour
,23.08.2006,2580,BE,T?llistock,6a+,Alpine Klettertour
,25.04.2009,2573,UR,L?ged Windg?llen,S,Skitour
,16.01.2010,2573,SZ,Pfannenstock,SS,Skitour
,07.12.2008,2567,TI,Punta di Stou,ZS,Skitour
,03.12.2010,2552,GR/A,Riedchopf,ZS,Skitour
,03.12.2010,2517,GR/A,Rotspitz,WS+,Skitour
,27.03.2007,2506,UR,Hoch Fulen,ZS,Skitour
,05.03.2011,2505,UR,Glatten,ZS+,Skitour
,11.02.2008,2501,GL/SG,Spitzmeilen,WS+ II,Skitour
,22.01.2010,2501,AI/AR/SG,S?ntis,S,Skitour
,08.07.2002,2495,BE,Pfriendler,5b+,Sportklettern
,11.02.2008,2483,GL/SG,Wissmilen,WS,Skitour
,01.07.2007,2482,BE,Simelistock,6b+,Sportklettern
,27.03.2007,2463,UR,Rinderstock,ZS,Skitour
,02.01.2009,2462,SG,Rotr?fner,S,Skitour
,25.03.2007,2461,SZ/UR,Rossstock,WS+,Skitour
,18.02.2007,2448,UR,Eggenmandli,WS+,Skitour
,04.10.2004,2436,AI/SG,Altmann,4c,Alpine Klettertour
,14.12.2008,2412,GR,Hasenfl?eli,WS I,Skitour
,28.03.2004,2404,NW/UR,Brisen,S,Snowboardtour
,20.12.2007,2400,NW/UR,Chaiserstuel,WS,Skitour
,25.02.2008,2384,SG,Grosser Fulfirst,WS+,Skitour
,15.12.2007,2383,SZ/UR,Bl?emberg,S+,Skitour
,12.01.2012,2378,BE,Iffighore,WS-,Skitour
,19.11.2007,2376,GR,Vilan,ZS,Skitour
,21.03.2005,2373,SG,Wildhuser Schafberg,S,Skitour
,25.02.2008,2372,SG,Chli Fulfirst,WS+ II,Skitour
,30.12.2010,2371,GL,Fuggstock,WS I,Skitour
,23.02.2011,2363,GR,Rothorn,WS,Skitour
,18.12.2010,2361,GL,Gr?enenspitz,S-,Skitour
,02.01.2009,2357,GL/SG,Risetenhoren,S,Skitour
,03.01.2009,2345,UR,W?spen,SS,Skitour
,21.09.2007,2342,AI/SG,Moor,6c,Sportklettern
,23.01.2010,2341,SZ,Wasserbergfirst,SS+,Skitour
,13.01.2008,2319,SZ,Silberen,WS-,Skitour
,05.07.2008,2306,SG,Hinterrugg,7a,Sportklettern
,30.12.2004,2299,GL,Schilt,WS,Skitour
,28.06.2011,2295,GL/SZ,Redertenstock,T5 II,Bergwandern
,05.02.2005,2294,GL/SZ,Mutteristock,ZS+,Skitour
,05.03.2011,2290,UR,Rau St?ckli,ZS+,Skitour
,03.06.2011,2283,GL,Rautispitz,T3+,Bergwandern
,22.12.2007,2282,SZ,Druesberg,SS,Skitour
,03.06.2011,2282,GL,Wiggis,T4,Bergwandern
,30.12.2005,2279,SG,Brisi,ZS-,Skitour
,25.03.2007,2270,UR,Spilauer Stock,WS+,Skitour
,19.06.2007,2267,SG,Fr?msel,6b,Sportklettern
,05.07.2008,2262,SG,Ch?serrugg,7a,Sportklettern
,24.07.2006,2255,BE,Rosenlauistock,7a,Sportklettern
,18.09.2004,2253,SG,Girenspitz,T6,Bergwandern
,06.01.2007,2236,SG,Madchopf,L,Skitour
,09.02.2003,2235,GL,Fanenstock,WS-,Skitour
,16.09.2007,2235,SG,Zuestoll,7a,Sportklettern
,22.12.2007,2215,SZ,Forstberg,S-,Skitour
,31.12.2010,2215,SZ,H?ch Hund,S,Skitour
,01.01.2009,2208,TI,F?isc,ZS+,Schneeschuhtour
,16.03.2005,2205,SG,Selun,WS+,Skitour
,14.12.2008,2202,GR,Eggberg,L+,Skitour
,01.02.2009,2201,GL,Chamm,S,Skitour
,31.12.2010,2199,SZ,Mieserenstock,S,Skitour
,02.04.2009,2194,SG,Sch?ren,ZS,Skitour
,23.02.2011,2186,GR,H?chstelli,L,Skitour
,25.03.2007,2182,UR,Hagelstock,WS+,Skitour
,18.12.2010,2179,GL,F?rispitz,WS,Skitour
,28.06.2011,2179,GL/SZ,Ochsenchopf,T6 I,Bergwandern
,10.12.2010,2175,BE,Gantrisch,S+,Skitour
,06.01.2007,2171,SG,H?enerchopf,L,Skitour
,10.12.2010,2165,BE,B?rglen,S+,Skitour
,02.04.2009,2163,SG,N?geliberg,WS+,Skitour
