Anglican,Catholic,Ethiopian,Non-historical,Orthodox,Saint
--,--,Yes,--,--,Abraham the Syrian
--,Yes,--,--,--,Adalbert of Magdeburg
--,Yes,--,--,--,Adalbert of Prague
--,Yes,--,--,--,Adelaide of Italy
--,Yes,--,--,--,Pope Adeodatus I
--,Yes,--,--,Yes,Adrian of Nicomedia
--,Yes,--,--,--,Pope Adrian III
--,Yes,--,--,--,Pope Agapitus I
--,Yes,--,--,--,Pope Agatho
--,Yes,--,--,--,Agnes
Yes,Yes,--,--,--,Aidan of Lindisfarne
Yes,Yes,--,--,Yes,Alban
--,Yes,--,--,--,Pope Alexander I
--,Yes,--,--,--,Alphege
Yes,Yes,--,--,Yes,Ambrose of Milan
--,Yes,--,--,--,Pope Anacletus
--,Yes,--,--,--,Pope Anastasius I
Yes,Yes,Yes,--,Yes,Andrew
--,Yes,--,--,--,Pope Anicetus
Yes,Yes,--,--,--,Anselm
--,Yes,--,--,--,Pope Antheros
--,Yes,Yes,--,Yes,Anthony the Great
Yes,Yes,--,--,--,Anthony of Padua
Yes,Yes,Yes,--,Yes,Athanasius of Alexandria
Yes,Yes,--,--,--,Augustine of Hippo
Yes,Yes,--,--,--,Augustine of Canterbury
--,--,Yes,Possible,Yes,Barbara[?]
Yes,Yes,Yes,--,Yes,Barnabas
Yes,Yes,--,--,--,Bartholomew
Yes,--,--,--,Yes,Basil the Great
--,Yes,--,--,--,Benedict
--,Yes,--,--,--,Benedict of Aniane[?]
--,Yes,--,--,--,Pope Benedict II
Yes,Yes,--,--,--,Bernard of Clairvaux
--,Yes,--,--,--,Birgitta
--,Yes,--,--,--,Bride
--,Yes,--,--,--,Bride of the Isles
--,Yes,--,--,--,Bridget
--,Yes,--,--,--,BRIGID of Ireland
--,Yes,--,--,--,Brigid of Kildare
--,Yes,--,--,--,Brigit
Yes,Yes,--,--,Yes,Boniface
--,Yes,--,--,--,Pope Boniface I
--,Yes,--,--,--,Pope Boniface IV
--,Yes,--,--,--,Bruno of Querfurt
--,Yes,--,--,--,Pope Caius
--,Yes,--,--,--,Pope Callistus I
--,Yes,--,--,--,Casimir
--,Yes,--,--,--,Catherine of Alexandria
Yes,Yes,--,--,--,Catherine of Siena
--,Yes,--,--,--,Pope Celestine I
--,Yes,--,--,--,Pope Celestine V
--,Yes,--,--,--,Charlie
--,Yes,--,--,--,Christopher
--,Yes,--,--,--,Pope Clement I
Yes,Yes,--,--,--,Columba
--,Yes,--,--,--,Columbanus
--,Yes,--,--,--,Pope Cornelius
--,Yes,--,--,--,Cunigunde of Luxemburg[?]
??,??,??,--,Yes,"Cyril, Apostle to the Slavs"
Yes,Yes,Yes,--,Yes,Cyril of Alexandria
Yes,Yes,Yes,--,Yes,Cyril of Jerusalem
--,Yes,--,--,--,Pope Damasus I
Yes,--,--,--,--,David (Dewi) of Wales
--,Yes,--,--,Yes,Denis
--,Yes,--,--,Yes,Dismas
Yes,Yes,--,--,Yes,Dunstan
--,Yes,--,--,--,Pope Dionysius
--,Yes,--,--,--,Edith Stein
??,Yes,--,--,Yes,Edward the Martyr
--,Yes,--,--,--,Pope Eleutherius
--,Yes,--,--,--,Elizabeth Ann Seton[?]
--,--,--,--,Yes,Emelia[?]
--,Yes,--,--,Yes,Ephraim the Syrian
--,Yes,--,--,--,Ethelbert of Kent
--,Yes,--,--,--,Pope Eugene I
--,Yes,--,--,--,Pope Eusebius
--,Yes,--,--,--,Pope Eutychian
--,Yes,--,--,--,Pope Evaristus
--,Yes,Yes,--,Yes,Pope Fabian
--,Yes,--,--,--,Pope Felix I
--,Yes,--,--,--,Pope Felix II
--,Yes,--,--,--,Pope Felix III
--,Yes,--,--,--,Pope Felix IV
--,Yes,--,--,--,Ffraid
Yes,Yes,--,--,--,Francis of Assisi
Yes,Yes,--,--,--,Francis Xavier
--,Yes,--,--,--,Gall
--,Yes,--,--,--,Pope Gelasius I
Yes,--,--,Possible,--,George
--,Yes,--,--,Yes,Gregory the Illuminator
Yes,--,--,--,Yes,Gregory Nazianzus
--,--,--,--,Yes,Gregory of Nyssa
--,Yes,--,--,--,Pope Gregory I
