Difference last EP election,Name of party,No of seats,No of votes,Percentage
-1,The Moderate Party (M),4,458 398,"18,25%"
0,The Centre Party (C),1,157 258,"6,26%"
-1,The Liberal Party (FP),2,247 750,"9,86%"
-1,Christian Democrats (KD),1,142 704,"5,68%"
-1,Social Democrats (S),5,616 963,"24,56%"
-1,Left Party (V),2,321 344,"12,79%"
-1,The Green Party (MP),1,149 603,"5,96%"
+3,June List (JL),3,363 472,"14,47%"
--,Sweden Democrats (SD),--,28 303,"1,13%"
--,Other parties (�VR),--,26 274,"1,05%"
