,City,Museum,State
,Buffalo,Albright-Knox Art Gallery,New York
,Oberlin,Allen Memorial Art Museum,Ohio
,Fort Worth,Amon Carter Museum,Texas
,Pittsburgh,Andy Warhol Museum,Pennsylvania
,Little Rock,Arkansas Arts Center,Arkansas
,Chicago,Art Institute of Chicago,Illinois
,San Antonio,Artpace,Texas
,New York,Asia Society,New York
,Baltimore,Baltimore Museum of Art,Maryland
,Lower Merion Township,Barnes Foundation,Pennsylvania
,Miami Beach,Bass Museum,Florida
,Birmingham,Birmingham Museum of Art,Alabama
,San Antonio,Blue Star Contemporary Art Center,Texas
,Boston,Boston Museum of Fine Arts,Massachusetts
,Brunswick,Bowdoin College Museum of Art,Maine
,Chadds Ford,Brandywine River Museum,Pennsylvania
,New York,Brooklyn Museum,New York
,San Francisco,California Palace of the Legion of Honor,California
,Pittsburgh,Carnegie Museum of Art,Pennsylvania
,Norfolk,Chrysler Museum of Art,Virginia
,Cincinnati,Cincinnati Art Museum,Ohio
,Williamston,Clark Art Institute,Massachusetts
,Columbia,Columbia Museum of Art,South Carolina
,Columbus,Columbus Museum of Art,Ohio
,New York,Cooper-Hewitt Museum,New York
,"Washington, D.C.",Corcoran Gallery of Art,D.C.
,Detroit,Cranbrook Art Museum,Michigan
,Manchester,Currier Museum of Art,New Hampshire
,New York,Dahesh Museum,New York
,Dallas,Dallas Museum of Art,Texas
,Wilmington,Delaware Art Museum,Delaware
,Denver,Denver Art Museum,Colorado
,Des Moines,Des Moines Art Center,Iowa
,Memphis,Dixon Gallery and Gardens,Tennessee
,"Washington, D.C.",Dumbarton Oaks,D.C.
,Rockland,Farnsworth Art Museum,Maine
,Cooperstown,Fenimore Art Museum,New York
,New York,Frick Museum,New York
,Miami,Frost Art Museum,Florida
,Charleston,Gibbes Museum of Art,South Carolina
,Grand Rapids,Grand Rapids Art Museum,Michigan
,New York,Guggenheim Museum,New York
,Cambridge,Harvard Art Museum,Massachusetts
,Greenville,Henry Francis DuPont Winterthur Museum,Delaware
,Atlanta,High Museum of Art,Georgia
,"Washington, D.C.",Hirshhorn Museum and Sculpture Garden,D.C.
,New York,Hispanic Society of America,New York
,Honolulu,Honolulu Academy of Arts,Hawaii
,Hanover,Hood Museum of Art,New Hampshire
,Yonkers,Hudson River Museum,New York
,Glens Falls,Hyde Collection,New York
,Indianapolis,Indianapolis Museum of Art,Indiana
,Boston,Isabella Stewart Gardner Museum,Massachusetts
,Los Angeles,J. Paul Getty Museum,California
,New York,Jacques Marchais Museum of Tibetan Art,New York
,Omaha,Joslyn Art Museum,Nebraska
,Kansas City,Kemper Museum of Contemporary Art,Missouri
,Fort Worth,Kimbell Art Museum,Texas
,Los Angeles,Los Angeles County Museum of Art,California
,Miami,Lowe Art Museum,Florida
,San Francisco,M. H. de Young Memorial Museum,California
,North Adams,Massachusetts Museum of Contemporary Art,Massachusetts
,San Antonio,McNay Art Museum,Texas
,Dallas,Meadows Museum,Texas
,Memphis,Memphis Brooks Museum of Art,Tennessee
,Houston,Menil Collection,Texas
,New York,Metropolitan Museum of Art,New York
,Miami,Miami Art Museum,Florida
,Atlanta,Michael C. Carlos Museum,Georgia
,Milwaukee,Milwaukee Art Museum,Wisconsin
,Minneapolis,Minneapolis Institute of Arts,Minnesota
,Charlotte,Mint Museum of Art,North Carolina
,Montgomery,Montgomery Museum of Fine Arts,Alabama
,Chicago,Museum of Contemporary Art,Illinois
,Miami,Museum of Contemporary Art,Florida
,Jacksonville Beach,Museum of Contemporary Art Jacksonville,Florida
,Houston,"Museum of Fine Arts, Houston",Texas
,New York,Museum of Modern Art (MoMA),New York
,New York,Museum of the City of New York,New York
,Washington,National Gallery of Art,D.C.
,Jackson Hole,National Museum of Wildlife Art,Wyoming
,Washington,National Museum of Women in the Arts,D.C.
,Washington,National Portrait Gallery,D.C.
,Kansas City,Nelson-Atkins Museum of Art,Missouri
,New York,Neue Galerie,New York
,New Britain,New Britain Museum of American Art,Connecticut
,New York,New Museum of Contemporary Art,New York
,New Orleans,New Orleans Museum of Art,Louisiana
,Raleigh,North Carolina Museum of Art,North Carolina
,West Palm Beach,Norton Museum of Art,Florida
,Pasadena,Norton Simon Museum,California
,New Orleans,Ogden Museum of Southern Art,Louisiana
,Chicago,Oriental Institute,Illinois
,New York,P.S. 1 Contemporary Art Center,New York
,Salem,Peabody Essex Museum,Massachusetts
,Philadelphia,Philadelphia Museum of Art,Pennsylvania
,Washington D. C.,Phillips Collection,D.C.
,Phoenix,Phoenix Art Museum,Arizona
,Portland,Portland Art Museum,Oregon
,Princeton,Princeton University Art Museum,New Jersey
