Developer(s),Game,Genre,Platform(s),Year
Rocksteady Studios,Batman: Arkham City,"Action-Adventure: Brawler, Stealth","PlayStation 3, Xbox 360",2011
Nintendo EAD Tokyo Development Group,Super Mario Galaxy 2,Platformer,Wii,2010
Naughty Dog Software,Uncharted 2: Among Thieves,Action-Adventure: (Third-Person) Shooter,PlayStation 3,2009
Rockstar North Ltd.,Grand Theft Auto IV,Open World: (Third-Person) Shooter,"PlayStation 3, Windows, Xbox 360",2008
Nintendo EAD Tokyo Development Group,Super Mario Galaxy,Platformer,Wii,2007
Nintendo EAD Software Development Group No. 3,The Legend of Zelda: Twilight Princess,Action-adventure,"Wii, Nintendo GameCube",2006
Capcom,Resident Evil 4,Survival Horror: (Third-Person) Shooter,"GameCube, PlayStation 2, Windows, Wii",2005
Valve Corporation,Half-Life 2,(First-Person) Shooter,"Windows, Xbox 360, Xbox, PlayStation 3",2004
Nintendo EAD Software Development Group No. 3,The Legend of Zelda: The Wind Waker?,Action-Adventure,GameCube,2003
"Retro Studios, Nintendo",Metroid Prime,(First-Person) Action-Adventure,GameCube,2002
Bungie Studios,Halo: Combat Evolved,(First-Person) Shooter,"Xbox, Windows",2001
Tose,Metal Gear Solid,Stealth: Action-Adventure,Game Boy Color,2000
Namco,Soulcalibur,Fighting: Hack & Slash,"Dreamcast, Namco System 12, iOS, Xbox Live Arcade",1999
Nintendo EAD,The Legend of Zelda: Ocarina of Time,Action-Adventure: Open World,"Nintendo 64, Nintendo GameCube, iQue Player, Virtual Console, Nintendo 3DS",1998
"Rare, Nintendo",GoldenEye 007,(First-Person) Shooter,Nintendo 64,1997
Nintendo EAD,Super Mario 64,Platformer: Open World,"Nintendo 64, iQue Player, Nintendo DS, Virtual Console",1996
Squaresoft,Chrono Trigger,Role-Playing Game,"Super NES, PlayStation, Nintendo DS, Virtual Console, PlayStation Network, iOS",1995
Squaresoft,Final Fantasy VI,Role-Playing Game,"Super NES, Virtual Console",1994
Nintendo EAD,The Legend of Zelda: Link's Awakening,Action-Adventure,"Game Boy, Game Boy Color",1993
Nintendo EAD,The Legend of Zelda: A Link to the Past,Action-Adventure,"Super NES, Virtual Console",1992
Sonic Team,Sonic the Hedgehog[130],(Side-Scrolling) Platformer,"Sega Genesis / Mega Drive, Game Boy Advance, Mobile",1991
Konami,Motocross Maniacs,Racing,Game Boy,1990
Bullet Proof Software,Tetris,Puzzle,Game Boy,1989
Sega,Phantasy Star II,Role-Playing Game,"Mega Drive / Genesis, Virtual Console, Xbox Live Arcade, iOS",1988
