Number of journalists / clients positively identified using services,Number of transactions,Publication
58,952,Daily Mail
50,802,Sunday People
45,681,Daily Mirror
33,266,Mail on Sunday
19,182,News of the World
25,143,Sunday Mirror
20,134,Best Magazine
1,130,Evening Standard
4,103,The Observer
4,62,Daily Sport
7,52,Sunday Times
19,37,The People
7,36,Daily Express
4,30,Weekend Magazine (Daily Mail)
8,29,Sunday Express
4,24,The Sun
5,22,Closer Magazine
1,15,Sunday Sport
2,9,Night and Day (Mail on Sunday)
1,8,Sunday Business News
2,7,Daily Record
1,7,Saturday (Express)
1,6,Sunday Mirror Magazine
1,4,Real Magazine
2,4,Woman?s Own
2,3,Daily Mirror Magazine
1,3,Mail in Ireland
4,2,Daily Star
1,2,Marie Claire
1,1,Personal Magazine
1,1,Sunday World
