Prize,Winner1,Winner2,Winner3,Year
The Nobel Prize in Physics,Wilhelm Conrad R?ntgen,,,1901
The Nobel Prize in Physics,Hendrik A. Lorentz,Pieter Zeeman,,1902
The Nobel Prize in Physics,Henri Becquerel,Pierre Curie,Marie Curie,1903
The Nobel Prize in Physics,Lord Rayleigh,,,1904
The Nobel Prize in Physics,Philipp Lenard,,,1905
The Nobel Prize in Physics,J.J. Thomson,,,1906
The Nobel Prize in Physics,Albert A. Michelson,,,1907
The Nobel Prize in Physics,Gabriel Lippmann,,,1908
The Nobel Prize in Physics,Guglielmo Marconi,Ferdinand Braun,,1909
The Nobel Prize in Physics,Johannes Diderik van der Waals,,,1910
The Nobel Prize in Physics,Wilhelm Wien,,,1911
The Nobel Prize in Physics,Gustaf Dal?n,,,1912
The Nobel Prize in Physics,Heike Kamerlingh Onnes,,,1913
The Nobel Prize in Physics,Max von Laue,,,1914
The Nobel Prize in Physics,William Bragg,Lawrence Bragg,,1915
The Nobel Prize in Physics,n/a,,,1916
The Nobel Prize in Physics,Charles Glover Barkla,,,1917
The Nobel Prize in Physics,Max Planck,,,1918
The Nobel Prize in Physics,Johannes Stark,,,1919
The Nobel Prize in Physics,Charles Edouard Guillaume,,,1920
The Nobel Prize in Physics,Albert Einstein,,,1921
The Nobel Prize in Physics,Niels Bohr,,,1922
The Nobel Prize in Physics,Robert A. Millikan,,,1923
The Nobel Prize in Physics,Manne Siegbahn,,,1924
The Nobel Prize in Physics,James Franck,Gustav Hertz,,1925
The Nobel Prize in Physics,Jean Baptiste Perrin,,,1926
The Nobel Prize in Physics,Arthur H. Compton,C.T.R. Wilson,,1927
The Nobel Prize in Physics,Owen Willans Richardson,,,1928
The Nobel Prize in Physics,Louis de Broglie,,,1929
The Nobel Prize in Physics,Venkata Raman,,,1930
The Nobel Prize in Physics,n/a,,,1931
The Nobel Prize in Physics,Werner Heisenberg,,,1932
The Nobel Prize in Physics,Erwin Schr?dinger,Paul A.M. Dirac,,1933
The Nobel Prize in Physics,n/a,,,1934
The Nobel Prize in Physics,James Chadwick,,,1935
The Nobel Prize in Physics,Victor F. Hess,Carl D. Anderson,,1936
The Nobel Prize in Physics,Clinton Davisson,George Paget Thomson,,1937
The Nobel Prize in Physics,Enrico Fermi,,,1938
The Nobel Prize in Physics,Ernest Lawrence,,,1939
The Nobel Prize in Physics,n/a,,,1940
The Nobel Prize in Physics,n/a,,,1941
The Nobel Prize in Physics,n/a,,,1942
The Nobel Prize in Physics,Otto Stern,,,1943
The Nobel Prize in Physics,Isidor Isaac Rabi,,,1944
The Nobel Prize in Physics,Wolfgang Pauli,,,1945
The Nobel Prize in Physics,Percy W. Bridgman,,,1946
The Nobel Prize in Physics,Edward V. Appleton,,,1947
The Nobel Prize in Physics,Patrick M.S. Blackett,,,1948
The Nobel Prize in Physics,Hideki Yukawa,,,1949
The Nobel Prize in Physics,Cecil Powell,,,1950
The Nobel Prize in Physics,John Cockcroft,Ernest T.S. Walton,,1951
The Nobel Prize in Physics,Felix Bloch,E. M. Purcell,,1952
The Nobel Prize in Physics,Frits Zernike,,,1953
The Nobel Prize in Physics,Max Born,Walther Bothe,,1954
The Nobel Prize in Physics,Willis E. Lamb,Polykarp Kusch,,1955
The Nobel Prize in Physics,William B. Shockley,John Bardeen,Walter H. Brattain,1956
The Nobel Prize in Physics,Chen Ning Yang,Tsung-Dao Lee,,1957
The Nobel Prize in Physics,Pavel A. Cherenkov,Il?ja M. Frank,Igor Y. Tamm,1958
The Nobel Prize in Physics,Emilio Segr?,Owen Chamberlain,,1959
The Nobel Prize in Physics,Donald A. Glaser,,,1960
The Nobel Prize in Physics,Robert Hofstadter,Rudolf M?ssbauer,,1961
The Nobel Prize in Physics,Lev Landau,,,1962
The Nobel Prize in Physics,Eugene Wigner,Maria Goeppert-Mayer,J. Hans D. Jensen,1963
The Nobel Prize in Physics,Charles H. Townes,Nicolay G. Basov,Aleksandr M. Prokhorov,1964
The Nobel Prize in Physics,Sin-Itiro Tomonaga,Julian Schwinger,Richard P. Feynman,1965
The Nobel Prize in Physics,Alfred Kastler,,,1966
The Nobel Prize in Physics,Hans Bethe,,,1967
The Nobel Prize in Physics,Luis Alvarez,,,1968
The Nobel Prize in Physics,Murray Gell-Mann,,,1969
The Nobel Prize in Physics,Hannes Alfv?n,Louis N?el,,1970
The Nobel Prize in Physics,Dennis Gabor,,,1971
The Nobel Prize in Physics,John Bardeen,Leon N. Cooper,Robert Schrieffer,1972
The Nobel Prize in Physics,Leo Esaki,Ivar Giaever,Brian D. Josephson,1973
The Nobel Prize in Physics,Martin Ryle,Antony Hewish,,1974
The Nobel Prize in Physics,Aage N. Bohr,Ben R. Mottelson,James Rainwater,1975
The Nobel Prize in Physics,Burton Richter,Samuel C.C. Ting,,1976
The Nobel Prize in Physics,Philip W. Anderson,Sir Nevill F. Mott,John H. van Vleck,1977
