Facebook-Fans,Museum,RANG,Stadt
542187,MoMA The Museum of Modern Art,1,New York
301109,Metropolitan Museum of Art,2,New York
225498,Acropolis Museum,3,Athen
150473,Mus?e du Louvre,4,Paris
142369,Guggenheim Museum,5,New York
114937,Tate Modern,6,London
78717,Design Museum,7,London
68755,City Museum,8,St Louis
63036,Museo del Prado,9,Madrid
59343,Centre Pompidou,10,Paris
59339,Creation Museum,11,Petersburg
54598,Victoria & Albert Museum,12,London
54579,The Getty Museum,13,Los Angeles
54143,Whitney Museum of American Art,14,New York
51298,British Museum,15,London
44599,New Museum,16,New York
41260,Salvador Dali Museum,17,Saint Petersburg
29105,Natural History Museum,18,London
28897,National Museum of the American Indian,19,Washington D.C.
28788,American Museum of Natural History,20,New York
