City,Gross Patient Revenue ($000),Hospital Name,Patient Days,Staffed Beds,Total Discharges
MacDill Air Force Base,$0,6th Medical Group - MacDill Air Force Base,0,0,0
Eglin Air Force Base,$0,96th Medical Group - United States Air Force Eglin Regional Hospital,0,0,0
Aventura,"$1,474,042",Aventura Hospital and Medical Center,"94,099",407,"20,016"
Pensacola,"$954,338",Baptist Hospital,"63,883",514,"12,698"
Miami,"$3,200,363",Baptist Hospital of Miami,"187,353",658,"35,273"
Jacksonville Beach,"$412,420",Baptist Medical Center Beaches,"34,989",146,"7,663"
Jacksonville,"$2,446,002",Baptist Medical Center Downtown,"196,180",815,"35,656"
Fernandina Beach,"$170,085",Baptist Medical Center Nassau,"11,597",54,"2,920"
Jacksonville,$0,Baptist Medical Center South,0,0,0
Bartow,"$304,140",Bartow Regional Medical Center,"19,667",72,"5,205"
Miami,"$290,105",Bascom Palmer Eye Institute,512,56,129
Panama City,"$885,854",Bay Medical,"73,444",323,"16,075"
Bay Pines,$0,Bay Pines VA Healthcare System,0,0,0
Saint Petersburg,"$1,188,225",Bayfront Medical Center,"89,116",391,"16,317"
New Smyrna Beach,"$235,662",Bert Fish Medical Center,"19,325",112,"4,396"
Boynton Beach,"$1,284,760",Bethesda Memorial Hospital,"96,123",401,"18,853"
Bradenton,"$762,747",Blake Medical Center,"52,338",383,"12,066"
Boca Raton,"$1,430,147",Boca Raton Community Hospital,"78,072",369,"15,799"
Brandon,"$1,754,761",Brandon Regional Hospital,"95,134",345,"25,006"
Brooksville,"$958,293",Brooksville Regional Hospital,"54,844",244,"12,806"
Fort Lauderdale,"$1,836,106",Broward General Medical Center,"146,185",640,"26,723"
Cocoa Beach,"$402,058",Cape Canaveral Hospital,"30,065",150,"6,039"
Cape Coral,"$685,536",Cape Coral Hospital,"68,106",291,"16,839"
Tallahassee,"$740,885",Capital Regional Medical Center,"49,455",198,"11,128"
Sanford,"$632,086",Central Florida Regional Hospital,"41,716",226,"9,085"
Punta Gorda,"$569,011",Charlotte Regional Medical Center,"34,403",208,"8,223"
Inverness,"$707,057",Citrus Memorial Hospital,"44,235",198,"10,370"
Weston,"$665,190",Cleveland Clinic in Florida - Weston,"41,451",155,"10,761"
West Palm Beach,"$472,621",Columbia Hospital,"20,973",240,"5,737"
New Port Richey,"$982,022",Community Hospital,"55,582",302,"12,853"
Coral Gables,"$474,907",Coral Gables Hospital,"28,839",245,"5,824"
Coral Springs,"$617,322",Coral Springs Medical Center,"52,281",200,"12,850"
Delray Beach,"$1,508,654",Delray Medical Center,"79,175",465,"16,825"
Arcadia,"$99,416",DeSoto Memorial Hospital,"10,877",49,"2,282"
Coral Gables,"$717,301",Doctors Hospital,"41,171",281,"7,442"
Sarasota,"$539,364",Doctors Hospital of Sarasota,"27,191",168,"7,153"
Perry,"$50,874",Doctors' Memorial Hospital,"3,964",48,"1,308"
Orlando,$0,Dr. P. Phillips Hospital,0,0,0
MacClenny,"$42,858",Ed Fraser Memorial Hospital,50,92,18
Saint Petersburg,"$319,214",Edward White Hospital,"16,432",110,"3,605"
Englewood,"$274,723",Englewood Community Hospital,"14,071",100,"3,840"
Port Charlotte,"$956,591",Fawcett Memorial Hospital,"49,202",238,"10,438"
Saint Augustine,"$750,369",Flagler Hospital,"68,127",316,"13,795"
Altamonte Springs,$0,Florida Hospital Altamonte,0,0,0
Apopka,$0,Florida Hospital Apopka,0,0,0
Tampa,"$392,350",Florida Hospital Carrollwood,"17,702",109,"4,661"
Celebration,$0,Florida Hospital Celebration Health,0,0,0
DeLand,"$429,447",Florida Hospital DeLand,"32,988",156,"7,890"
Orlando,$0,Florida Hospital East Orlando,0,0,0
Orange City,"$467,956",Florida Hospital Fish Memorial,"38,819",139,"9,110"
Palm Coast,"$429,160",Florida Hospital Flagler,"25,693",99,"6,280"
Sebring,"$604,027",Florida Hospital Heartland Medical Center,"47,973",159,"11,573"
Kissimmee,$0,Florida Hospital Kissimmee,0,0,0
Lake Placid,$0,Florida Hospital Lake Placid,0,0,0
Daytona Beach,$0,Florida Hospital Memorial Medical Center,0,0,0
Ormond Beach,"$715,830",Florida Hospital Oceanside,"55,311",396,"12,833"
Orlando,"$8,014,197",Florida Hospital Orlando,"548,711","2,067","116,729"
Tampa,$0,Florida Hospital Pepin Heart Institute,0,0,0
Tampa,"$1,450,929",Florida Hospital Tampa,"104,567",475,"20,395"
Tavares,"$700,537",Florida Hospital Waterman,"55,687",204,"13,495"
Zephyrhills,"$671,308",Florida Hospital Zephyrhills,"36,178",154,"8,942"
Chattahoochee,"$72,678",Florida State Hospital,"5,007",58,122
Fort Walton Beach,"$1,174,213",Fort Walton Beach Medical Center,"52,313",257,"10,308"
West Palm Beach,"$530,112",Good Samaritan Medical Center,"38,264",333,"8,387"
Gulf Breeze,"$304,947",Gulf Breeze Hospital,"16,482",67,"4,251"
Panama City,"$929,555",Gulf Coast Medical Center,"43,939",176,"12,986"
Fort Myers,"$1,015,964",Gulf Coast Medical Center,"97,473",349,"23,019"
Tampa,"$1,427,776",H. Lee Moffitt Cancer Center & Research Institute,"53,662",206,"8,710"
Ocoee,"$547,614",Health Central,"46,728",171,"11,728"
Defuniak Springs,"$32,547",Healthmark Regional Medical Center,"4,118",50,"1,300"
Fort Myers,$0,HealthPark Medical Center,0,0,0
Davenport,"$770,180",Heart of Florida Regional Medical Center,"44,362",194,"11,910"
Tarpon Springs,"$253,459",Helen Ellis Memorial Hospital,"19,439",168,"4,831"
Hialeah,"$736,277",Hialeah Hospital,"57,944",362,"11,842"
Sebring,"$281,353",Highlands Regional Medical Center,"22,867",126,"5,498"
Melbourne,"$1,846,462",Holmes Regional Medical Center,"166,588",666,"29,033"
Fort Lauderdale,"$1,674,177",Holy Cross Hospital,"83,180",571,"17,237"
Homestead,"$732,599",Homestead Hospital,"44,792",142,"10,904"
Fort Lauderdale,"$425,742",Imperial Point Medical Center,"29,015",180,"7,318"
Vero Beach,"$473,784",Indian River Memorial Hospital,"62,337",335,"13,756"
Marianna,"$123,955",Jackson Hospital,"14,721",88,"3,342"
Miami,"$4,153,632",Jackson Memorial Hospital,"384,289","1,724","57,431"
North Miami Beach,$0,Jackson North Medical Center,0,0,0
Miami,$0,Jackson South Community Hospital,0,0,0
Tampa,$0,James A. Haley Veterans' Hospital,0,0,0
Jay,"$49,548",Jay Hospital,"5,357",55,"1,188"
Atlantis,"$2,239,441",JFK Medical Center,"115,201",448,"26,589"
Jupiter,"$778,496",Jupiter Medical Center,"46,800",163,"10,089"
Miami,"$1,383,071",Kendall Regional Medical Center,"75,778",412,"17,298"
