% Votes,Change % Votes from 2003,Change No. Seats from 2003,No. 1st Preference Votes,No. Seats,Party
30.09%,4.38%,6,"207,721",36,Democratic Unionist Party (DUP)
26.16%,2.64%,4,"180,573",28,Sinn F�in (SF)
15.22%,-1.77%,-2,"105,064",16,Social Democratic and Labour Party (SDLP)
14.94%,-7.74%,-9,"103,145",18,Ulster Unionist Party (UUP)
5.24%,1.57%,1,"36,139",7,Alliance Party of Northern Ireland (APNI)
1.74%,1.35%,1,"11,985",1,Green Party (Green)
1.53%,0.71%,-1,"10,552",0,United Kingdom Unionist Party (UKUP)
1.38%,-1.40%,0,"9,548",1,Independent (Ind)
0.81%,-,-,"5,608",0,Independent Republican (Ind Rep)
0.63%,-,-,"4,315",0,Independent Unionist (Ind U)
0.55%,-0.61%,0,"3,822",1,Progressive Unionist Party (PUP)
0.50%,0.27,-,"3,457",0,Conservative Party (Con)
0.37%,-,-,"2,522",0,Independent Republican (Ind Rep) [RSF]
0.30%,-0.05%,-,"2,045",0,Socialist Environmental Alliance (SEA)
0.18%,-,-,"1,229",0,United Kingdom Independence Party (UKIP)
0.14%,-0.06%,-,975,0,Workers' Party (WP)
0.11%,-,-,774,0,People Before Profit (PBP)
0.07%,-,-,473,0,Socialist Party (SP)
0.03%,-,-,221,0,Make Politicians History (MPH)
0.02%,-,-,123,0,Labour (Lab)
0.00%,-,-,22,0,Pro-Capitalism (ProC)
100.00%,,,"690,313",108,Total
