1040?85,Adam av Bremen,Historieskriver
1098?1179,Hildegard fra Bingen,"Abbedisse, klostergrunnlegger, visjon?r-profetisk forfatter, komponist, urtemedisiner og naturforsker"
1436?76,Johannes Regiomontanus,Astronom og matematiker
1471?1528,Albrecht D?rer,"Maler, tegner, kobberstikker, tresnittkunstner; det st?rste navn i tysk kunsthistorie"
1483?1546,Martin Luther,"Prest; opphavsmann til reformasjonen, reformerte ogs? det h?ytyske skriftspr?ket gjennom Bibel-oversettelsen"
f?r 1491?1525,Thomas M?nzer,Prest og oppr?rer; en av lederne under bondekrigen
1494?1576,Hans Sachs,"Skomaker og dikter; en av mestersangerne fra N?rnberg, ud?deliggjort i Richard Wagners opera"
1497?1543,Hans Holbein d.y.,"Maler, tegner og grafiker"
1571?1630,Johannes Kepler,Astronom og matematiker; fant lovene for planetenes bevegelser
1646?1716,Gottfried Wilhelm Leibniz,Filosof og matematiker; ledende rasjonalist
1685?1750,Johann Sebastian Bach,Komponist; barokkmusikkens store hovedfigur
1685?1759,Georg Friedrich H?ndel,Komponist; skrev bl.a. Water Music (ca. 1717)
1724?1804,Immanuel Kant,Filosof; en av filosofiens mast ruvende skikkelser
1744?1803,Johann Gottfried von Herder,Filosof og forfatter; ?vde stor innflytelse p? tysk kultur
1749?1832,Johann Wolfgang van Goethe,Forfatter og naturvitenskapsmann; ansett som tysk litteraturs st?rste dikter
1759?1805,Friedrich von Schiller,Forfatter; skrev dramaer og dikt
1767?1835,Wilhelm von Humboldt,"Filosof, spr?kforsker og politiker"
1769?1859,Alexander von Humboldt,Naturvitenskapsmann: kjent geograf og geolog
1770?1827,Ludwig van Beethoven,Komponist; et av de st?rste navn i musikkhistorien
1770?1831,Georg Wilhelm Friedrich Hegel,Filosof; ?vde store innflytelse p? 1800-tallets tenkere
1774?1840,Caspar David Friedrich,Maler; romantikkens store maler i Tyskland
1776?1822,E. T. A. Hoffmann,Forfatter; kjent for sine fantastiske fortellinger
1777?1811,Heinrich von Kleist,Dramatiker; betydelig skildrer av sjelelivet
1777?1855,Carl Friedrich Gauss,"Matematiker, fysiker og astronom; en av de mest sentrale p? alle disse omr?der"
1781?1841,Karl Friedrich Schinkel,Arkitekt og maler; en av nyklassisismens fremste arkitekter
1785?1863 og 1786?1859,Jacob og Wilhelm Grimm,Litteratur- og spr?kforskere; samlet og utgav tyske folkeeventyr
1787?1826,Friedrich Krupp,Industrimann; grunnla Krupp-konsernet
1788?1860,Arthur Schopenhauer,Filosof; an av 1800-tallets mest s?regne tenkere
