% Change,Airport,Code (IATA),Location,Rank,Total Passengers
1.5%,London Heathrow Airport,LHR,"Hillingdon, Greater London, United Kingdom",1.,"60,964,323"
5.0%,Paris-Charles de Gaulle Airport,CDG,"Seine-et-Marne/Seine-Saint-Denis/Val-d'Oise, ?le-de-France, France",2.,"48,551,870"
3.2%,Frankfurt Airport,FRA,"Frankfurt, Hesse, Germany",3.,"44,756,469"
4.0%,Amsterdam Airport Schiphol,AMS,"Haarlemmermeer, North Holland, The Netherlands",4.,"43,881,540"
10.2%,Hong Kong International Airport,HKG,"New Territories, Hong Kong",5.,"39,593,000"
7.8%,Singapore Changi Airport,SIN,"Changi, East Region, Singapore",6.,"30,577,724"
5.2%,London Gatwick Airport,LGW,"Crawley, West Sussex, South East, England, United Kingdom",7.,"28,710,566"
2.4%,Narita International Airport,NRT,"Narita, Chiba, Kant?, Honsh?, Japan",8.,"27,115,822"
4.5%,Bangkok International Airport,BKK,"Bangkok, Thailand",9.,"26,768,772"
9.0%,Incheon International Airport,ICN,"Incheon, South Korea",10.,"25,541,362"
15.9%,Dubai International Airport,DXB,"Dubai, United Arab Emirates",11.,"23,607,507"
10.6%,Barajas Airport,MAD,"Barajas, Madrid, Madrid (autonomous community), Spain",12.,"22,107,466"
8.3%,Munich Airport,MUC,"Munich, Upper Bavaria, Bavaria, Germany",13.,"19,405,560"
10%,Istanbul Ataturk Airport[5],IST,"Istanbul, Turkey",14.,"19,293,769"
6.6%,London Stansted Airport,STN,"Uttlesford, Essex, East, England, United Kingdom",15.,"19,257,502"
9.0%,Taoyuan International Airport,TPE,"Taoyuan, Taiwan, Republic of China",16.,"19,158,638"
6.1%,Manchester Airport,MAN,"Greater Manchester, North West, England, United Kingdom",17.,"18,690,695"
7.1%,John F. Kennedy International Airport,JFK,"Queens, New York City, New York, United States",18.,"18,534,215"
5.0%,Copenhagen Airport,CPH,"T?rnby, Hovedstaden, Denmark",19.,"17,964,538"
8.0%,Dublin Airport,DUB,"Fingal, Dublin, Leinster, Ireland",20.,"17,571,677"
6.6%,Los Angeles International Airport,LAX,"Westchester, Los Angeles, California, United States",21.,"17,469,927"
3.9%,Z?rich Airport,ZRH,"Kloten, Z?rich, Switzerland",22.,"17,265,955"
6.7%,Toronto Pearson International Airport,YYZ,"Mississauga, Ontario, Canada",23.,"16,972,867"
6.9%,Leonardo da Vinci Airport,FCO,"Fiumicino, Rome, Lazio, Italy",24.,"16,527,016"
8.8%,Malpensa Airport,MXP,"Varese, Lombardy, Italy",25.,"16,199,824"
3.6%,Brussels Airport,BRU,"Zaventem, Flemish Brabant, Flanders, Belgium",26.,"16,060,407"
13.8%,Antalya Airport,AYT,"Antalya, Turkey",27.,"15,864,863"
4.3%,Son Sant Joan Airport,PMI,"Palma, Majorca, Balearic Islands, Spain",28.,"15,250,975"
7.6%,Vienna International Airport,VIE,"Schwechat, Lower Austria, Austria",29.,"15,172,072"
16.2%,Shanghai Pudong International Airport,PVG,"Shanghai, People's Republic of China",30.,"14,542,233"
