Developer,Game Title,Platform,Units Sold (in millions)
2K Games,Elder Scrolls IV: Oblivion,Xbox 360,1.49
,,,
Acclaim,WWE Warzone,PSX,2.20
Acclaim,Turok 2: Seeds of Evil,N64,1.14
Acclaim,NBA Jam,GEN,1.93
Acclaim,Mortal Kombat 2,GEN,1.78
Acclaim,Mortal Kombat 3,GEN,1.02
Acclaim,Mortal Kombat 2,SNES,1.51
Acclaim,Mortal Kombat 3,SNES,1.22
Acclaim,NBA Jam,SNES,1.22
,,,
Activision,Tony Hawk's Pro Skater,PSX,3.02
Activision,Tony Hawk's Pro Skater 2,PSX,2.85
Activision,Tony Hawk's Pro Skater 3,PSX,2.01
Activision,Spider-Man,PSX,1.55
Activision,Tony Hawk's Pro Skater,N64,1.61
Activision,Tony Hawk's Pro Skater 3,PS2,2.07
Activision,Spider-Man: The Movie,PS2,2.51
Activision,Tony Hawk Underground,PS2,2.11
Activision,Tony Hawk Underground 2,PS2,1.30
Activision,Tony Hawk's Pro Skater 4,PS2,1.22
Activision,True Crime: Streets of LA,PS2,1.76
Activision,Spider-Man: The Movie 2,PS2,1.63
Activision,Guitar Hero,PS2,1.53
Activision,Guitar Hero II,PS2,3.31
Activision,Guitar Hero III: Legends of Rock,PS2,1.94
Activision,Call of Duty: Finest Hour,PS2,1.41
Activision,Shrek 2,PS2,1.00
Activision,Call of Duty 2,Xbox,1.39
Activision,Guitar Hero II,Xbox 360,1.46
Activision,Marvel: Ultimate Alliance,Xbox 360,2.08
Activision,Call of Duty 3,Xbox 360,1.22
Activision,Call of Duty 4: Modern Warfare,Xbox 360,1.89
Activision,Guitar Hero III: Legends of Rock,Xbox 360,1.32
Activision,Guitar Hero III: Legends of Rock,Wii,1.00
,,,
Atari,Frogger,PSX,3.37
Atari,Driver,PSX,3.22
Atari,Driver 2,PSX,2.55
Atari,Monopoly,PSX,1.19
Atari,Test Drive 5,PSX,1.08
Atari,Dragon Ball Z: Budokai,PS2,2.04
Atari,Dragon Ball Z: Budokai 2,PS2,1.50
Atari,Dragon Ball Z: Budokai 3,PS2,1.14
Atari,Enter The Matrix,PS2,1.34
Atari,Dragon Ball Z: The Legacy of Goku,GBA,1.40
,,,
Bethesda,Elder Scrolls III: Morrorwind,Xbox 360,1.36
,,,
Capcom,Resident Evil (w/ Director's Cut),PSX,2.10
Capcom,Resident Evil 2 (w/ Dual Shock Ver.),PSX,2.02
Capcom,Resident Evil 3: Nemesis,PSX,1.20
Capcom,Devil May Cry,PS2,1.29
Capcom,Resident Evil Code: Veronica X,PS2,1.04
Capcom,Resident Evil 4,GC,1.00
,,,
Eidos,Tomb Raider,PSX,2.14
Eidos,Tomb Raider 2,PSX,2.04
Eidos,Tomb Raider 3,PSX,1.30
Eidos,Tomb Raider 4,PSX,1.04
Eidos,Hitman 2: Assassin,PS2,1.05
,,,
Electronic Arts,James Bond 007: The World is not Enough,N64,1.08
Electronic Arts,Need For Speed III,PSX,1.70
Electronic Arts,007: Tomorrow Never Die,PSX,1.42
Electronic Arts,Madden NFL 99,PSX,1.50
Electronic Arts,Madden NFL 2000,PSX,1.48
Electronic Arts,Medal of Honor,PSX,1.44
Electronic Arts,Need For Speed: High Stakes,PSX,1.39
Electronic Arts,Nascar 98,PSX,1.16
Electronic Arts,NBA Live 98,PSX,1.15
Electronic Arts,Nascar 99,PSX,1.14
Electronic Arts,Harry Potter & The Sorcerer's Stone,PSX,1.10
Electronic Arts,Madden NFL 98,PSX,1.25
Electronic Arts,NBA Live 2000,PSX,1.00
Electronic Arts,Madden NFL 08,PS2,1.31
Electronic Arts,Madden NFL 06,PS2,3.71
Electronic Arts,Madden NFL 2005,PS2,4.35
Electronic Arts,Madden NFL 2004,PS2,3.95
Electronic Arts,Madden NFL 2006,PS2,3.77
Electronic Arts,Madden NFL 2003,PS2,3.18
Electronic Arts,Need for Speed: Underground,PS2,3.00
Electronic Arts,Medal of Honor Frontline,PS2,2.80
Electronic Arts,Madden NFL 07,PS2,2.37
Electronic Arts,Madden NFL 2002,PS2,2.30
Electronic Arts,NBA Street,PS2,1.66
Electronic Arts,Lord of the Rings: The Two Towers,PS2,1.84
Electronic Arts,Need for Speed: Underground 2,PS2,1.19
Electronic Arts,NBA Live 2005,PS2,1.95
Electronic Arts,Medal of Honor: Rising Sun,PS2,1.81
Electronic Arts,Simpsons Road Rage,PS2,1.94
EA,The Simpsons Hit & Run,PS2,1.57
Electronic Arts,James Bond: Agent Under Fire,PS2,1.77
Electronic Arts,Need for Speed: Most Wanted,PS2,1.82
Electronic Arts,NBA Live 06,PS2,1.23
Electronic Arts,Madden NFL 2001,PS2,1.21
Electronic Arts,NBA Live 2004,PS2,1.46
Electronic Arts,NBA Street Vol. 2,PS2,1.60
Electronic Arts,Need for Speed: Hot Pursuit 2,PS2,1.61
Electronic Arts,James Bond 007: Nightfire,PS2,1.40
Electronic Arts,NCAA Football 07,PS2,1.32
Electronic Arts,NCAA Football 06,PS2,1.39
Electronic Arts,NCAA Football 2004,PS2,1.28
Electronic Arts,Lord of the Rings: Return of the King,PS2,1.04
Electronic Arts,The Sims,PS2,1.04
Electronic Arts,NCAA Football 2003,PS2,1.00
Electronic Arts,NBA Live 2003,PS2,1.18
Electronic Arts,MVP Baseball 2005,PS2,1.14
Electronic Arts,MVP Baseball 2004,PS2,1.02
Electronic Arts,Tiger Woods PGA 2004,PS2,1.13
Electronic Arts,Fight Night 2004,PS2,1.00
Electronic Arts,Madden NFL 2006,Xbox,1.41
Electronic Arts,Madden NFL 2005,Xbox,1.42
Electronic Arts,Need for Speed: Underground 2,Xbox,1.24
Electronic Arts,Need for Speed: Underground,Xbox,1.02
Electronic Arts,Madden NFL 07,Xbox 360,1.72
Electronic Arts,Madden NFL 08,Xbox 360,1.51
Electronic Arts,Fight Night Round 3,Xbox 360,1.15
Electronic Arts,Harry Potter & The Chamber of Secretse,GBA,1.10
Electronic Arts,Need for Speed: Most Wanted,PSP,1.02
,,,
Fox Interactive,Croc: Legend of Gobbos,PSX,1.39
,,,
Jaleco,Tetris Plus,PSX,1.77
,,,
Konami,Metal Gear Solid,PSX,2.81
Konami,Yu-Gi-Oh! Forbidden Memories,PSX,1.10
Konami,Yu-Gi-Oh! Duellists,PS2,1.11
Konami,Metal Gear Solid 2: Sons of Liberty,PS2,2.31
Konami,Metal Gear Solid 3: Snake Eater,PS2,1.42
Konami,Dance Dance Revolution Max 2,PS2,1.09
Konami,Frogger's Adventure,GBA,1.31
Konami,Yu-Gi-Oh! Eternal Duelist Soul,GBA,1.29
,,,
LucasArts,Star Wars Episode 1: Racer,N64,1.71
LucasArts,Star Wars: Rogue Squadron,N64,1.59
LucasArts,Star Wars: Battlefront II,PS2,2.01
LucasArts,Star Wars: Battlefront,PS2,1.77
LucasArts,LEGO Star Wars,PS2,1.88
LucasArts,LEGO Star Wars II: The Original Trilogy,PS2,1.08
LucasArts,Star Wars Episode III: Revenge of the Sith,PS2,1.41
LucasArts,Star Wars: Knights of the Old Republic,Xbox,1.48
LucasArts,Star Wars: Battlefront,Xbox,1.12
LucasArts,Star Wars: Battlefront II,GC,1.03
,,,
Microsoft,Halo 3,Xbox 360,4.54
Microsoft,Forza Motorsport 2,Xbox 360,2.23
Microsoft,Halo 2,Xbox,6.67
Microsoft,Halo: Combat Evolved,Xbox,4.91
Microsoft,Fable,Xbox,1.97
Microsoft,Project Gotham Racing,Xbox,1.40
Microsoft,Gears of War,Xbox,1.12
,,,
Midway,Mortal Kombat Trilogy,PSX,2.01
Midway,Mortal Kombat: Deadly Alliance,PS2,1.70
Midway,NFL Blitz,PS2,1.27
Midway,Spy Hunter,PS2,1.07
,,,
Namco,Tekken 3,PSX,3.24
Namco,Namco Museum Vol. 3,PSX,2.24
Namco,Tekken 2,PSX,2.00
Namco,Namco Museum Vol. 1,PSX,1.65
Namco,Pac-Man World,PSX,1.24
Namco,Namco Museum,GBA,2.96
Namco,Pac-Man Collection,GBA,1.06
Namco,Namco Museum 64,N64,1.04
Namco,Tekken Tag Tournament,PS2,1.61
Namco,Namco Museum,PS2,1.80/td>
Namco,Tekken 4,PS2,1.46
Namco,Ace Combat 4: Shattered Skies,PS2,1.97
Namco,Pac-Man World 2,PS2,1.21
Namco,Soul Calibur 2,GC,1.00
,,,
Nintendo,Donkey Kong Country,SNES,3.79
Nintendo,Donkey Kong Country 2,SNES,2.16
Nintendo,Killer Instinct,SNES,1.33
Nintendo,Donkey Kong Country 3,SNES,1.12
Nintendo,Super Mario 64,N64,6.87
Nintendo,GoldenEye 007,N64,5.74
Nintendo,Mario Kart 64,N64,5.50
Nintendo,Legend of Zelda: Ocarina of Time,N64,4.06
Nintendo,Donkey Kong 64,N64,2.67
Nintendo,Pokemon Stadium,N64,3.16
Nintendo,Pokemon Stadium 2,N64,1.01
Nintendo,Super Smash Brothers,N64,2.93
Nintendo,Diddy Kong Racing,N64,2.89
Nintendo,Star Fox 64,N64,2.76
Nintendo,Pokemon Snap,N64,2.22
Nintendo,Star Wars: Shadow of the Empire,N64,1.98
Nintendo,Wave Race 64,N64,1.95
Nintendo,Banjo-Kazooie,N64,1.85
Nintendo,Legend of Zelda: Majora's Mask,N64,1.63
Nintendo,Cruisin USA,N64,1.68
Nintendo,Perfect Dark,N64,1.51
Nintendo,Yoshi's Story,N64,1.10
Nintendo,Mario Party 2,N64,1.26
Nintendo,1080 Snowboarding,N64,1.23
Nintendo,Mario Party,N64,1.23
Nintendo,Pokemon Yellow,GBC,5.10
Nintendo,Pokemon Blue,GBC,5.02
Nintendo,Pokemon Red,GBC,4.83
Nintendo,Pokemon Silver,GBC,3.85
Nintendo,Pokemon Gold,GBC,3.75
Nintendo,Super Mario Bros. DX,GBC,2.80
Nintendo,Pokemon Crystal,GBC,1.65
Nintendo,Pokemon Trading Card Game,GBC,1.51
Nintendo,Super Mario World: Super Mario Advance 2,GBA,3.16
Nintendo,Super Mario Advance,GBA,2.85
Nintendo,Pokemon Ruby,GBA,2.84
Nintendo,Pokemon Sapphire,GBA,2.76
Nintendo,Super Mario Advance 4: Super Mario World,GBA,2.88
Nintendo,Pokemon Fire Red,GBA,2.12
Nintendo,Pokemon Leaf Green,GBA,2.12
Nintendo,Mario Kart: Super Circuit,GBA,2.53
Nintendo,Pokemon Emerald,GBA,2.44
Nintendo,Legend of Zelda: A Link to the Past + Four Swords,GBA,1.63
Nintendo,Super Mario Advance 3: Yoshi's Island,GBA,1.58
Nintendo,Mario & Luigi Superstar Saga,GBA,1.46
Nintendo,Metroid Fusion,GBA,1.13
Nintendo,Kirby: Nightmare in Dreamland,GBA,1.12
Nintendo,Donkey Kong Country,GBA,1.10
Nintendo,Super Smash Bros. Melee,GC,4.06
Nintendo,Super Mario Sunshine,GC,3.73
Nintendo,Mario Kart: Double Dash!!,GC,3.85
Nintendo,Legend of Zelda: Wind Waker,GC,2.47
Nintendo,Luigi's Mansion,GC,2.19
Nintendo,Animal Crossing,GC,1.68
Nintendo,Metroid Prime,GC,1.49
Nintendo,Pokemon Colosseum,GC,1.15
Nintendo,Mario Party 4,GC,1.10
Nintendo,Paper Mario: The Thousand Year Door,GC,1.23
Nintendo,Mario Golf: Toadstool Tour,GC,1.03
Nintendo,Nintendogs (all versions),NDS,6.23
Nintendo,Super Mario 64 DS,NDS,2.39
Nintendo,New Super Mario Bros.,NDS,3.63
Nintendo,Super Mario Kart DS,NDS,3.00
Nintendo,Animal Crossing: Wild World,NDS,1.68
Nintendo,Brain Training,NDS,2.23
Nintendo,Brain Training 2,NDS,1.03
Nintendo,Big Brain Academy,NDS,1.27
Nintendo,Pokemon Diamond / Pearl,NDS,4.33
Nintendo,The Legend of Zelda: Phantom Hourglass,NDS,1.01
Nintendo,Yoshi's Island DS,NDS,1.00
Nintendo,Wii Sports,Wii,8.18
Nintendo,Wii Play,Wii,3.79
Nintendo,The Legend of Zelda: Twilight Princess,Wii,2.22
Nintendo,Super Mario Galaxy,Wii,2.01
Nintendo,Mario Party 8,Wii,1.80
,,,
Sega,ESPN NFL 2K5,PS2,2.00
Sega,Sonic Mega Collection,PS2,1.44
Sega,Sonic Heroes,PS2,1.08
Sega,Crazy Taxi,PS2,1.07
Sega,ESPN NFL 2K5,Xbox,1.38
Sega,Sonic Adventure 2 Battle,GC,1.44
