?,Age,From,Rk,To,Yrs
Ind. Seasons,20-40,1907,1,1927,17
Ind. Seasons,22-37,1996,2,2011,15
Ind. Seasons,24-35,1927,3,1938,12
Ind. Seasons,27-40,1917,4,1930,12
Ind. Seasons,23-37,1910,5,1924,12
Ind. Seasons,22-35,1902,6,1915,12
Ind. Seasons,21-36,1956,7,1971,11
Ind. Seasons,23-34,1922,8,1933,11
Ind. Seasons,23-36,1916,9,1929,11
Ind. Seasons,21-39,1909,10,1927,11
Ind. Seasons,25-36,1974,11,1985,10
Ind. Seasons,24-39,1965,12,1980,9
Ind. Seasons,24-32,1926,13,1934,9
Ind. Seasons,22-30,1921,14,1929,9
Ind. Seasons,26-34,2003,15,2011,8
Ind. Seasons,25-33,1985,16,1993,8
Ind. Seasons,20-31,1932,17,1943,8
Ind. Seasons,25-34,1928,18,1937,8
Ind. Seasons,28-36,1927,19,1935,8
Ind. Seasons,22-34,1924,20,1936,8
Ind. Seasons,22-35,1921,21,1934,8
Ind. Seasons,25-33,1920,22,1928,8
Ind. Seasons,21-33,1917,23,1929,8
Ind. Seasons,22-33,1915,24,1926,8
Ind. Seasons,26-37,1914,25,1925,8
Ind. Seasons,21-32,1912,26,1923,8
Ind. Seasons,27-36,1901,27,1910,8
Ind. Seasons,22-33,1990,28,2001,7
Ind. Seasons,23-31,1984,29,1992,7
Ind. Seasons,24-37,1984,30,1997,7
Ind. Seasons,25-32,1982,31,1989,7
Ind. Seasons,22-39,1979,32,1996,7
Ind. Seasons,25-33,1979,33,1987,7
Ind. Seasons,25-36,1972,34,1983,7
Ind. Seasons,24-35,1962,35,1973,7
Ind. Seasons,22-34,1962,36,1974,7
Ind. Seasons,20-28,1959,37,1967,7
Ind. Seasons,25-33,1956,38,1964,7
Ind. Seasons,22-31,1943,39,1952,7
Ind. Seasons,22-32,1934,40,1944,7
Ind. Seasons,26-37,1925,41,1936,7
Ind. Seasons,22-34,1923,42,1935,7
Ind. Seasons,27-34,1915,43,1922,7
Ind. Seasons,23-32,1911,44,1920,7
Ind. Seasons,26-38,1901,45,1913,7
