,Date,Name,Rank
,13th Cen. C.E.,Moses,1
,ca. 4 B.C.E. - ca. 30 C.E.,Jesus of Nazareth,2
physicist,1879-1955,Albert Einstein,3
psychiatrist,1856-1936,Sigmund Freud,4
,"ca. 20th-19th cen B.C.E.; according to the Bible, 1813-1638 B.C.E.",Abraham,5
,,,
,,,
,4 - 64 C.E.,Saul of Tarsus (Saint Paul),6
philosopher,1818-1883,Karl Marx,7
writer,1860-1904,Theodor Herzl,8
,b. ca. 20 B.C.E.,Mary,9
philosopher,1632-1677,Baruch de Spinoza,10
,fl. 1000 B.C.E.,David,11
diarist,1929-1945,Anne Frank,12
,Biblical times,The Prophets,13
,ca. 4 B.C.E. - ca. 30 C.E.,Judas Iscariot,14
composer,1860-1911,Gustav Mahler,15
theologian,1135-1204,Maimonides,16
physicist,1885-1962,Niels Bohr,17
philosopher,1729-1786,Moses Mendelssohn,18
medical scientist,1854-1915,Paul Ehrlich,19
rabbinical commentator,1040-1105,Rashi,20
politician,1804-1881,Benjamin Disraeli,21
author,1883-1924,Franz Kafka,22
founder of Israel,1886-1973,David Ben-Gurion,23
theologian,ca. 70 B.C.E. - 10 C.E.,Hillel,24
mathematician,1903-1957,John Von Neumann,25
"general, leader",fl. 135 C.E.,Simon Bar Kokhba,26
novelist,1871-1922,Marcel Proust,27
financier,1744-1812,Mayer Rothschild,28
,ca. 990 - ca. 933 B.C.E.,Solomon,29
poet,1797-1856,Heinrich Heine,30
developed antibiotics,1888-1973,Selman Waksman,31
created grand opera,1791-1864,Giacomo Meyerbeer,32
kabbalist,1534-1572,Isaac Luria,33
developed birth control pill,1903-1967,Gregory Pincus,34
facilitator of the Russian Revolution,1879-1940,Leon Trotsky,35
founded classical school of economics,1772-1823,David Ricardo,36
center of 1895 Dreyfus affair in Paris,1859-1935,Alfred Dreyfus,37
physicist; cyberneticist,1898-1964,Leo Szilard,38
painter,1903-1970,Mark Rothko,39
bacteriologist,1828-1898,Ferdinand Cohn,40
labor leader,1850-1924,Samuel Gompers,41
author,1874-1946,Gertrude Stein,42
physicist,1852-1931,Albert Michelson,43
philosopher,ca. 20 B.C.E. - 40 C.E.,Philo Judaeus,44
prime minister of Israel,1898-1978,Golda Meir,45
rabbinical scholar,1720-1797,The Vilna Gaon,46
philosopher,1859-1941,Henri Bergson,47
religious reformer,1700-1790,The Baal Shem Tov,48
musician,1809-1847,Felix Mendelssohn,49
motion picture pioneer,1885-1957,Louis B. Mayer,50
philosopher and poet,ca. 1075-1141,Judah Halevy,51
Revolutionary War patriot,1740-1785,Haym Salomon,52
"general, leader",ca. 80 C.E.,Johanan ben Zakkai,53
composer,1874-1951,Arnold Schoenberg,54
sociologist,1858-1917,Emile Durkheim,55
feminist; founder of NOW,1921-2006,Betty Friedan,56
broadcaster,1891-1971,David Sarnoff,57
Mozart's librettist,1749-1838,Lorenzo Da Ponte,58
philanthropist,1862-1932,Julius Rosenwald,59
discoverer of vitamins,1884-1967,Casimir Funk,60
composer,1898-1937,George Gershwin,61
first president of Israel,1874-1952,Chaim Weizmann,62
anthropologist,1858-1942,Franz Boas,63
religious leader,1626-1676,Sabbatai Zevi,64
musician,1918-1990,Leonard Bernstein,65
historian,ca. 38-ca. 100 C.E.,Flavius Josephus,66
"literary critic, journalist, philosopher",1892-1940,Walter Benjamin,67
jurist,1856-1941,Louis Brandeis,68
inventor,1851-1929,Emile Berliner,69
actress,1844-1923,Sarah Bernhardt,70
clothier,1829-1902,Levi Strauss,71
scholar,1195-1270,Nahmanides,72
politician,1913-1992,Menachem Begin,73
psychologist,1895-1982,Anna Freud,74
Biblical queen,5th cen. B.C.E.,Queen Esther,75
"philosopher, theologian, social activist",1878-1965,Martin Buber,76
physician,1914-1995,Jonas Salk,77
choreographer,1918-1998,Jerome Robbins,78
politician,1923-,Henry Kissinger,79
chess champion,ca. 1835-1900,Wilhelm Steinitz,80
playwright,1915-2005,Arthur Miller,81
boxer,1764-1836,Daniel Mendoza,82
writer of musicals,1930-,Stephen Sondheim,83
"anarchist, feminist",1869-1940,Emma Goldman,84
leader,1787-1885,Sir Moses Montefiore,85
writer of musicals,1885-1945,Jerome Kern,86
"novelist, poet",1890-1960,Boris Pasternak,87
magician,1874-1926,Harry Houdini,88
founder of public relations,1981-,Edward Bernays,89
violinist,1845-1930,Leopold Auer,90
comedian,1890-1977,Groucho Marx,91
artist,1890-1976,Man Ray,92
founder of Hadassah,1860-1945,Henrietta Szold,93
clarinetist and bandleader,1909-1986,Benny Goodman,94
filmmaker,1947-,Steven Spielberg,95
painter,1887-1985,Marc Chagall,96
musician,1941-,Bob Dylan,97
baseball player,1935-,Sandy Koufax,98
art critic,1865-1959,Bernard Berenson,99
"comics book artist/writer, creators of Superman",b. 1914; 1914-1992,Jerry Siegel and Joe Shuster,100
