Area (square miles),Comments,"State, Province, Territory, Country, etc"
<1,,Vatican City
1,,Monaco
8,,Nauru
10,,Tuvalu
24,,San Marino
62,,Liechtenstein
68,,Washington DC
70,,Marshall Islands
77,,American Samoa
104,,St Kitts and Nevis
115,,Maldives
122,Including Gozo and Comino,Malta
133,,Grenada
135,,US Virgin Islands
150,,St Vincent and the Grenadines
166,,Barbados
171,,Antigua and Barbuda
175,,Seychelles
181,,Andorra
184,,Northern Marianas
209,,Guam
238,,St Lucia
240,,Bahrain
247,,Singapore
271,,Micronesia
289,,Tonga
290,,Dominica
342,,Kiribati
372,,Sao Tome and Principe
720,,Comoros
790,,Mauritius
998,,Luxembourg
1093,,Samoa
1545,,Rhode Island
1557,,Cape Verde
1980,,Trinidad and Tobago
2185,,Prince Edward Island
2226,,Brunei
2489,,Delaware
3515,,Puerto Rico
3572,Entire island,Cyprus
4015,,Lebanon
4244,,Jamaica
4361,,The Gambia
4416,,Qatar
4707,,Vanuatu
5206,,Northern Ireland
5333,,Montenegro
5382,,Bahamas
5544,,Connecticut
6704,,Swaziland
6880,,Kuwait
7055,,Fiji
7820,,Slovenia
8018,,Wales
8124,,El Salvador
8463,,Israel
8495,,Djibouti
8722,,New Jersey
8867,,Belize
9351,,New Hampshire
9615,,Vermont
9928,,Macedonia
10169,,Rwanda
10555,,Massachusetts
10714,,Haiti
10747,,Burundi
10831,,Equatorial Guinea
10932,,Hawaii
10980,,Solomon Islands
11100,,Albania
11500,,Armenia
11720,,Lesotho
11787,,Belgium
12407,,Maryland
13008,,Moldova
13948,,Guinea-Bissau
15940,,Switzerland
16033,Including 2500 square miles of polders,Netherlands
16639,Including Bornholm but excluding Greenland and the Faroe Islands,Denmark
17400,,Estonia
18147,,Bhutan
18816,,Dominican Republic
18932,,Slovakia
19730,,Costa Rica
21425,,Nova Scotia
21829,,Croatia
21925,,Togo
24231,,West Virginia
24938,,Latvia
25175,,Lithuania
25326,,Sri Lanka
26383,,Tasmania
26900,,Georgia (the country)
27136,,Republic of Ireland
27699,,Sierra Leone
28355,,New Brunswick
29157,,Panama
29750,Including the Scottish islands but excluding inland water,Scotland
30000,,United Arab Emirates
