Bauprojekt,Zeit (n. Chr.),r�mischer Kaiser
"Augustus-Tempel; 2. Ostkolonnaden (kleine Bibliothek) des Isis-Tempels; S�ulenhof des Hathor-Tempels, Reliefs im Mammisi und an Au�enwand (Sankuarbereich) des Isis-Tempel; Terrassenanlagen",13 v. Chr.,Augustus
"Reliefs im Mammisi, Westkolonnade und innere Fassade des 2.Pylons des Isis-Tempels; ebenso Reliefs an Au�enwand Isis-Tempel (Sanktuarbereich); Reliefs im Arensnuphis-Tempel; Torbau in der Ostkolonnade im Isis-Tempelhof",14 - 37,Tiberius
Reliefs im Harendotes-Tempel,41 - 54,Claudius
Reliefs in Westkolonnade des Isis-Tempels,54 - 68,Nero
Kiosk vor Dodekaschoinos-Stele,81 - 96,Domitian
Kiosk vor Dodekaschoinos-Stele; Trajan-Kiosk,98 - 117,Trajan
Kiosk vor Dodekaschoinos-Stele; Hadrian-Tor,117 - 138,Hadrian
Reliefs im Hadrian-Tor; Vorraum Osiriszimmer (am Dach des Isistempels),161 - 180,Marc Aurel
Kartuschen im Hadrian-Tor,180 - 192,Commodus
Reliefs im Vestib�l der Osiris-Dachkapelle des Isis-Tempels und im Hadrian-Tor,211 - 217,Caracalla
Diokletian-Tor; Stadtmauer (?),284 - 305,Diokletian
