Baujahr,H?he,Kanton,Name,See,Typ
1961,285 m,Valais/Wallis,Grande Dixence,401.00 Mio m3,PG
1957,250 m,Valais/Wallis,Mauvoisin,211.50 Mio m3,VA
1963,225 m,Ticino,Luzzone,108.00 Mio m3,VA
1965,220 m,Ticino,Contra,105.00 Mio m3,VA
1974,180 m,Valais/Wallis,Emosson,227.00 Mio m3,VA
1957,156 m,Valais/Wallis,Zeuzier,51.00 Mio m3,VA
1960,155 m,Uri,G�scheneralp,76.00 Mio m3,ER
1966,153 m,Graub�nden/Grigioni,Curnera,41.10 Mio m3,VA
1957,151 m,Graub�nden/Grigioni,Zervreila,100.50 Mio m3,VA
1958,148 m,Valais/Wallis,Moiry,78.00 Mio m3,VA
1976,147 m,St. Gallen,Gigerwald,35.60 Mio m3,VA
1963,146 m,Glarus,Limmern,93.00 Mio m3,VA
1961,141 m,Graub�nden/Grigioni,Valle di Lei,197.00 Mio m3,VA
1968,130 m,Graub�nden / Italia,Punt dal Gall,164.60 Mio m3,VA
1956,130 m,Ticino,Sambuco,63.00 Mio m3,VA
1962,127 m,Graub�nden/Grigioni,Nalps,45.00 Mio m3,VA
1969,125 m,Vaud,Hongrin Nord,53.20 Mio m3,VA
1967,122 m,Valais/Wallis,Gebidem,9.20 Mio m3,VA
1967,120 m,Valais/Wallis,Mattmark,101.00 Mio m3,TE
1968,117 m,Graub�nden/Grigioni,Santa Maria,67.30 Mio m3,VA
1959,115 m,Graub�nden/Grigioni,Albigna,71.00 Mio m3,PG
1932,114 m,Bern,Spitallamm,101.00 Mio m3,VA
1968,111 m,Ticino,Cavagnoli,29.00 Mio m3,VA
1924,111 m,Schwyz,Schr�h,150.00 Mio m3,PG
1953,100 m,Bern,Oberaar,61.00 Mio m3,PG
1950,94 m,Bern,R�terichsboden,27.00 Mio m3,PG
1959,92 m,Ticino,Malvaglia,4.60 Mio m3,VA
1954,91 m,Graub�nden/Grigioni,Marmorera (Castiletto),60.00 Mio m3,TE
1969,90 m,Vaud,Hongrin Sud,53.20 Mio m3,VA
1950,87 m,Valais/Wallis,Cleuson,20.00 Mio m3,PG
1935,87 m,Valais/Wallis,Dixence,50.00 Mio m3,CB
1963,86 m,Valais/Wallis,Les Toules,20.15 Mio m3,VA
1947,83 m,Fribourg/Freiburg,Rossens,220.00 Mio m3,VA
1970,80 m,Ticino,Naret I,31.60 Mio m3,VA
1925,79 m,Valais/Wallis,Barberine,40.00 Mio m3,PG
1976,75 m,St. Gallen,Mapragg,5.30 Mio m3,PG
1953,74 m,Neuch�tel / France,Ch�telot,20.60 Mio m3,VA
1964,74 m,Valais/Wallis,Z'Mutt,0.85 Mio m3,VA
1947,73 m,Ticino,Lucendro,25.00 Mio m3,CB
1968,73 m,Graub�nden/Grigioni,Ova Spin,7.40 Mio m3,VA
