% Change,Airport,Code (IATA/ICAO),Location,Rank,Rank Change,Total Passengers
2.2%,Hartsfield-Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia, United States",1.,,"88,032,086"
1.5%,London Heathrow Airport,LHR/EGLL,"Hillingdon, Greater London, England, United Kingdom",2.,1,"66,037,578"
16.9%,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang, Beijing, China",3.,5,"65,372,012"
6.1%,O'Hare International Airport,ORD/KORD,"Chicago, Illinois, United States",4.,2,"64,158,343"
7.2%,Tokyo International Airport,HND/RJTT,"?ta, Tokyo, Japan",5.,1,"61,903,656"
4.9%,Paris Charles de Gaulle Airport,CDG/LFPG,"Roissy-en-France, Val d'Oise, ?le-de-France, France",6.,1,"57,906,866"
5.5%,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California, United States",7.,1,"56,520,843"
1.9%,Dallas-Fort Worth International Airport,DFW/KDFW,"Dallas/Fort Worth, Texas, United States",8.,1,"56,030,457"
4.7%,Frankfurt Airport,FRA/EDDF,"Flughafen (Frankfurt am Main), Frankfurt, Hesse, Germany",9.,,"50,932,840"
2.1%,Denver International Airport,DEN/KDEN,"Denver, Colorado, United States",10.,,"50,167,485"
5.1%,Madrid-Barajas Airport,MAD/LEMD,"Madrid, Comunidad de Madrid, Spain",11.,,"48,250,784"
3.9%,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York City, New York, United States",12.,1,"45,915,069"
4.8%,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong, China",13.,1,"45,558,807"
8.1%,Amsterdam Airport Schiphol,AMS/EHAM,"Haarlemmermeer, North Holland, Netherlands",14.,,"43,570,370"
9.2%,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai, United Arab Emirates",15.,5,"40,901,752"
4.9%,Suvarnabhumi Airport,BKK/VTBS,"Racha Thewa, Bang Phli, Samut Prakan, Greater Bangkok, Thailand",16.,2,"40,500,224"
6.3%,McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada, United States",17.,2,"40,469,012"
4.1%,George Bush Intercontinental Airport,IAH/KIAH,"Houston, Texas, United States",18.,2,"40,007,354"
5.2%,Phoenix Sky Harbor International Airport,PHX/KPHX,"Phoenix, Arizona, United States",19.,2,"37,824,982"
0.3%,San Francisco International Airport,SFO/KSFO,"San Mateo County, California, United States",20.,1,"37,338,942"
1.3%,Singapore Changi Airport,SIN/WSSS,"Changi, East Region, Singapore",21.,2,"37,203,978"
15.2%,Soekarno-Hatta International Airport,CGK/WIII,"Cengkareng, Jakarta, Java, Indonesia",22.,14,"37,143,719"
10.8%,Guangzhou Baiyun International Airport,CAN/ZGGG,"Huadu District, Guangzhou, Guangdong, China",23.,9,"37,048,712"
0.6%,Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina, United States",24.,2,"34,536,666"
0.5%,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida, United States",25.,4,"33,886,025"
4.0%,Leonardo da Vinci Airport,FCO/LIRF,"Fiumicino, Rome, Italy",26.,1,"33,723,213"
5.5%,Orlando International Airport,MCO/KMCO,"Orlando, Florida, United States",27.,5,"33,693,649"
0.4%,Sydney Airport,SYD/YSSY,"Sydney, New South Wales, Australia",28.,5,"33,451,383"
5.5%,Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey, United States",29.,6,"33,399,207"
5.4%,Munich Airport,MUC/EDDM,"Munich, Bavaria, Germany",30.,3,"32,681,067"
5.3%,London Gatwick Airport,LGW/EGKK,"Crawley, West Sussex, England, United Kingdom",31.,3,"32,398,979"
4.9%,Minneapolis-Saint Paul International Airport,MSP/KMSP,"Fort Snelling, Minnesota, United States",32.,2,"32,378,599"
4.0%,Narita International Airport,NRT/RJAA,"Narita, Chiba, Japan",33.,2,"32,135,191"
13.7%,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai, China",34.,6,"32,102,549"
