Area sq.km.,Capital,Country,Population 2008 est.
"647,500",Kabul,Afghanistan,"32,738,376"
"28,748",Tirana,Albania,"3,619,778"
"2,381,740",Algiers,Algeria,"33,769,668"
199,Pago Pago,American Samoa,"64,827"
468,Andorra la Vella,Andorra,"82,627"
"1,246,700",Luanda,Angola,"12,531,357"
102,The Valley,Anguilla,"14,108"
443,Saint John's,Antigua and Barbuda,"84,522"
"2,766,890",Buenos Aires,Argentina,"40,482,000"
"29,800",Yerevan,Armenia,"2,968,586"
193,Oranjestad,Aruba,"101,541"
"7,686,850",Canberra,Australia,"21,007,310"
"83,870",Vienna,Austria,"8,205,533"
"86,600",Baku,Azerbaijan,"8,177,717"
"13,940",Nassau,"Bahamas, The","307,451"
665,Manama,Bahrain,"718,306"
"144,000",Dhaka,Bangladesh,"153,546,896"
431,Bridgetown,Barbados,"281,968"
"207,600",Minsk,Belarus,"9,685,768"
"30,528",Brussels,Belgium,"10,403,951"
"22,966",Belmopan,Belize,"301,270"
"112,620",Porto-Novo,Benin,"8,532,547"
53,Hamilton,Bermuda,"66,536"
"47,000",Thimphu,Bhutan,"682,321"
"1,098,580",Sucre,Bolivia,"9,247,816"
"51,129",Sarajevo,Bosnia and Herzegovina,"4,590,310"
"600,370",Gaborone,Botswana,"1,842,323"
"8,511,965",Brasilia,Brazil,"196,342,592"
153,Road Town,British Virgin Islands,"24,041"
"5,770",Bandar Seri Begawan,Brunei,"381,371"
"110,910",Sofia,Bulgaria,"7,262,675"
"274,200",Ouagadougou,Burkina Faso,"15,264,735"
"678,500",Pyinmana,Burma (Myanmar),"47,758,180"
"27,830",Bujumbura,Burundi,"8,691,005"
"181,040",Phnom Penh,Cambodia,"14,241,640"
"475,440",Yaounde,Cameroon,"18,467,692"
"9,984,670",Ottawa,Canada,"33,212,696"
"4,033",Praia,Cape Verde,"426,998"
262,George Town,Cayman Islands,"47,862"
"622,984",Bangui,Central African Republic,"4,444,330"
"1,284,000",N'Djamena,Chad,"10,111,337"
"756,950",Santiago,Chile,"16,454,143"
"9,596,960",Beijing,China,"1,330,044,544"
"1,092",Victoria,"China, Hong Kong SAR","7,018,636"
28,Macau,"China, Macao SAR","545,674"
135,The Settlement,Christmas Island,"1,402"
14,West Island,Cocos Islands,596
"1,138,910",Bogota,Colombia,"45,013,672"
"2,170",Moroni,Comoros,"731,775"
"2,345,410",Kinshasa,"Congo, Dem. Rep. of the","66,514,504"
"342,000",Brazzaville,"Congo, Rep. of the","3,903,318"
237,Avarua,Cook Islands,"12,271"
"51,100",San Jose,Costa Rica,"4,195,914"
"322,460",Yamoussoukro,Cote d'Ivoire,"20,179,602"
"56,542",Zagreb,Croatia,"4,491,543"
"110,860",Havana,Cuba,"11,423,952"
"9,250",Nicosia,Cyprus,"792,604"
"78,866",Prague,Czech Republic,"10,220,911"
"43,094",Copenhagen,Denmark,"5,484,723"
"23,000",Djibouti,Djibouti,"506,221"
754,Roseau,Dominica,"72,514"
"48,730",Santo Domingo,Dominican Republic,"9,507,133"
"283,560",Quito,Ecuador,"13,927,650"
"1,001,450",Cairo,Egypt,"81,713,520"
"21,040",San Salvador,El Salvador,"7,066,403"
"28,051",Malabo,Equatorial Guinea,"616,459"
"121,320",Asmara,Eritrea,"5,502,026"
"45,226",Tallinn,Estonia,"1,307,605"
"1,127,127",Addis Ababa,Ethiopia,"82,544,840"
"12,173",Stanley,Falkland Islands (Islas Malvinas),"3,140"
"1,399",Torshavn,Faroe Islands,"48,668"
"18,270",Suva,Fiji,"931,741"
"338,145",Helsinki,Finland,"5,244,749"
"643,427",Paris,France,"64,057,792"
"4,167",Papeete,French Polynesia,"283,019"
"267,667",Libreville,Gabon,"1,485,832"
"11,300",Banjul,"Gambia, The","1,735,464"
"69,700",T'bilisi,Georgia,"4,630,841"
"357,021",Berlin,Germany,"82,369,552"
"239,460",Accra,Ghana,"23,382,848"
7,Gibraltar,Gibraltar,"28,002"
"131,940",Athens,Greece,"10,722,816"
"2,166,086",Nuuk,Greenland,"57,564"
344,Saint George's,Grenada,"90,343"
541,Hagatna,Guam,"175,877"
"108,890",Guatemala,Guatemala,"13,002,206"
78,Saint Peter Port,Guernsey,"65,726"
"245,857",Conakry,Guinea,"9,806,509"
"36,120",Bissau,Guinea-Bissau,"1,503,182"
"214,970",Georgetown,Guyana,"770,794"
"27,750",Port-au-Prince,Haiti,"8,924,553"
0,Vatican City,Holy See (Vatican City),824
"112,090",Tegucigalpa,Honduras,"7,639,327"
"93,030",Budapest,Hungary,"9,930,915"
"103,000",Reykjavik,Iceland,"304,367"
"3,287,590",New Delhi,India,"1,147,995,904"
"1,919,440",Jakarta,Indonesia,"237,512,352"
"1,648,000",Tehran,Iran,"65,875,224"
"437,072",Baghdad,Iraq,"28,221,180"
"70,280",Dublin,Ireland,"4,156,119"
"20,770",Jerusalem,Israel,"7,112,359"
"301,230",Rome,Italy,"58,145,320"
"10,991",Kingston,Jamaica,"2,804,332"
"377,835",Tokyo,Japan,"127,288,416"
116,Saint Helier,Jersey,"91,533"
"92,300",Amman,Jordan,"6,198,677"
"2,717,300",Astana,Kazakhstan,"15,340,533"
"582,650",Nairobi,Kenya,"37,953,840"
811,Tarawa,Kiribati,"110,356"
"120,540",P'yongyang,"Korea, North","23,479,088"
"98,480",Seoul,"Korea, South","48,379,392"
"10,887",Pristina,Kosovo,"2,126,708"
"17,820",Kuwait,Kuwait,"2,596,799"
"198,500",Bishkek,Kyrgyzstan,"5,356,869"
"236,800",Vientiane,Laos,"6,677,534"
"64,589",Riga,Latvia,"2,245,423"
"10,400",Beirut,Lebanon,"3,971,941"
"30,355",Maseru,Lesotho,"2,128,180"
"111,370",Monrovia,Liberia,"3,334,587"
"1,759,540",Tripoli,Libya,"6,173,579"
160,Vaduz,Liechtenstein,"34,498"
"65,200",Vilnius,Lithuania,"3,565,205"
"2,586",Luxembourg,Luxembourg,"486,006"
"25,333",Skopje,Macedonia,"2,061,315"
"587,040",Antananarivo,Madagascar,"20,042,552"
"118,480",Lilongwe,Malawi,"13,931,831"
"329,750",Kuala Lumpur,Malaysia,"25,274,132"
300,Male,Maldives,"385,925"
"1,240,000",Bamako,Mali,"12,324,029"
316,Valletta,Malta,"403,532"
572,Douglas,"Man, Isle of","76,220"
181,Majuro,Marshall Islands,"63,174"
"1,030,700",Nouakchott,Mauritania,"3,364,940"
"2,040",Port Louis,Mauritius,"1,274,189"
374,Mamoutzou,Mayotte,"216,306"
"1,972,550",Mexico,Mexico,"109,955,400"
702,Palikir,"Micronesia, Federated States of","107,665"
"33,843",Chisinau,Moldova,"4,324,450"
2,Monaco,Monaco,"32,796"
"1,564,116",Ulaanbaatar,Mongolia,"2,996,081"
"14,026",Podgorica,Montenegro,"678,177"
102,Plymouth ?,Montserrat,"5,079"
"446,550",Rabat,Morocco,"34,343,220"
"801,590",Maputo,Mozambique,"21,284,700"
"825,418",Windhoek,Namibia,"2,088,669"
21,no official capital,Nauru,"13,770"
"147,181",Kathmandu,Nepal,"29,519,114"
"41,526",Amsterdam,Netherlands,"16,645,313"
960,Willemstad,Netherlands Antilles,"225,369"
