Director(s),Overall Rank,Rank,Title,Year
Stanley Donen and Gene Kelly,6,1,Singin' in the Rain,1952
Billy Wilder,10,2,Some Like It Hot,1959
Stanley Kubrick,12,3,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Woody Allen,25,4,Annie Hall,1977
Mike Nichols,39,5,The Graduate,1967
Clyde Bruckman and Buster Keaton,45,6,The General,1926
Howard Hawks,52,7,Bringing Up Baby,1938
Leo McCarey,56,8,Duck Soup,1933
John Lasseter,64,9,Toy Story,1995
Charles Chaplin,68,10,City Lights,1931
Frank Capra,69,11,It Happened One Night,1934
Jean Renoir,70,12,The Rules of the Game,1939
Howard Hawks,72,13,His Girl Friday,1940
Rob Reiner,78,14,This Is Spinal Tap,1984
Robert Zemeckis,93,15,Forrest Gump,1994
Charles Chaplin,97,16,The Gold Rush,1925
Charles Chaplin,108,17,Modern Times,1936
George Cukor,109,18,The Philadelphia Story,1940
Preston Sturges,125,19,Sullivan's Travels,1941
Billy Wilder,127,20,The Apartment,1960
Robert Altman,128,21,M*A*S*H,1970
Harold Ramis,130,22,Groundhog Day,1993
Rob Reiner,132,23,The Princess Bride,1987
Terry Gilliam and Terry Jones,133,24,Monty Python and the Holy Grail,1975
Federico Fellini,134,25,La Dolce Vita,1960
Woody Allen,135,26,Manhattan,1979
Preston Sturges,138,27,The Lady Eve,1941
Terry Jones,147,28,Life of Brian,1979
Richard Lester,157,29,A Hard Day's Night,1964
Rob Reiner,167,30,When Harry Met Sally?,1989
Robert Hamer,170,31,Kind Hearts and Coronets,1949
Mark Sandrich,172,32,Top Hat,1935
Joel Coen,173,33,The Big Lebowski,1998
"Jerry Zucker, Jim Abrahams, and David Zucker",175,34,Airplane!,1980
Jean-Pierre Jeunet,182,35,Am?lie,2001
Bruce Robinson,183,36,Withnail & I,1987
Mel Brooks,184,37,The Producers,1968
Giuseppe Tornatore,192,38,Cinema Paradiso,1988
Sydney Pollack,197,39,Tootsie,1982
George Lucas,198,40,American Graffiti,1973
Blake Edwards,203,41,Breakfast at Tiffany's,1961
Mel Brooks,224,42,Blazing Saddles,1974
Ernst Lubitsch,229,43,Ninotchka,1939
John Madden,244,44,Shakespeare in Love,1998
Ernst Lubitsch,248,45,To Be or Not to Be,1942
Robert Stevenson,252,46,Mary Poppins,1964
Sam Wood,253,47,A Night at the Opera,1935
Hal Ashby,256,48,Harold and Maude,1971
Mel Brooks,260,49,Young Frankenstein,1974
Buster Keaton,261,50,"Sherlock, Jr.",1924
Mike Newell,267,51,Four Weddings and a Funeral,1994
John Lasseter,268,52,Toy Story 2,1999
Roger Allers and Rob Minkoff,270,53,The Lion King,1994
George Roy Hill,281,54,The Sting,1973
Andrew Adamson and Vicky Jenson,284,55,Shrek,2001
Wes Anderson,286,56,Rushmore,1998
John Landis,293,57,The Blues Brothers,1980
John Hughes,295,58,Ferris Bueller's Day Off,1986
Garry Marshall,298,59,Pretty Woman,1990
John Landis,299,60,Animal House,1978
William Wyler,300,61,Roman Holiday,1953
Jim Sharman,301,62,The Rocky Horror Picture Show,1975
Cameron Crowe,304,63,Jerry Maguire,1996
Ernst Lubitsch,305,64,Trouble in Paradise,1932
Jacques Tati,311,65,Mr. Hulot's Holiday,1953
Luis Bu?uel,312,66,The Discreet Charm of the Bourgeoisie,1972
Spike Jonze,319,67,Being John Malkovich,1999
Kevin Smith,322,68,Clerks.,1994
James L. Brooks,330,69,Terms of Endearment,1983
Alexander Mackendrick,333,70,The Ladykillers,1955
Charles Crichton,334,71,A Fish Called Wanda,1988
Ron Shelton,344,72,Bull Durham,1988
John Hughes,346,73,The Breakfast Club,1985
Woody Allen,354,74,Hannah and Her Sisters,1986
George Cukor,358,75,Adam's Rib,1949
Sam Raimi,359,76,Evil Dead II,1987
Federico Fellini,365,77,Amarcord,1973
Peter Cattaneo,366,78,The Full Monty,1997
Robert Zemeckis,367,79,Who Framed Roger Rabbit,1988
Charles Chaplin,369,80,The Great Dictator,1940
Chris Noonan,372,81,Babe,1995
Andrew Stanton,374,82,Finding Nemo,2003
Alfred Hitchcock,376,83,The Lady Vanishes,1938
Jacques Tati,378,84,Playtime,1967
Vincente Minnelli,381,85,The Band Wagon,1953
Mike Leigh,389,86,Secrets & Lies,1996
George Stevens,392,87,Swing Time,1936
Lloyd Bacon,393,88,42nd Street,1933
Edgar Wright,394,89,Shaun of the Dead,2004
Jay Roach,401,90,Austin Powers: International Man of Mystery,1997
W.S. Van Dyke,409,91,The Thin Man,1934
Peter Yates,413,92,Breaking Away,1979
Fran?ois Truffaut,414,93,Day for Night,1973
Bobby and Peter Farrelly,420,94,There's Something about Mary,1998
Amy Heckerling,424,95,Fast Times at Ridgemont High,1982
Luis Bu?uel,428,96,L'?ge d'or,1930
Edward F. Cline,429,97,The Bank Dick,1940
Richard Linklater,433,98,Dazed and Confused,1993
Tony Richardson,435,99,Tom Jones,1963
Preston Sturges,437,100,The Palm Beach Story,1942
