Address,Approximate Distance from Moscone West,IDF 2011 Group Rate,IDF Host Hotels,Number,Rewards Program
"345 Stockton Street San Francisco, CA 94108",5.5 blocks,SOLD OUT,Grand Hyatt San Francisco,1.,Hyatt Gold Passport
"333 O'Farrell Street San Francisco, CA 94102",5 blocks,SOLD OUT,Hilton San Francisco Union Square,2.,Hilton Honors
"12 Fourth Street San Francisco, CA 94103",1.5 blocks,SOLD OUT,Hotel Palomar,3.,Kimpton InTouch Membership
"888 Howard Street San Francisco, CA 94103",0.5 block,SOLD OUT,InterContinental San Francisco,4.,Priority Club
"299 Second Street San Francisco, CA 94105",4 blocks,SOLD OUT,Marriott Courtyard San Francisco Downtown,5.,Marriott Rewards
"480 Sutter Street San Francisco, CA 94108",6.5 blocks,SOLD OUT,Marriott Union Square,6.,Marriott Rewards
"2 New Montgomery Street San Francisco, CA 94105",2.5 blocks,SOLD OUT,Palace Hotel - A Starwood Luxury Sheraton Hotel,7.,Starwood Preferred Guest (SPG)
"55 Cyril Magnin Street San Francisco, CA 94102",4 blocks,SOLD OUT,Parc 55 Wyndham - Union Square,8.,Wyndham Rewards
"55 Fourth Street San Francisco, CA 94103",1 block,SOLD OUT,San Francisco Marriott Marquis,9.,Marriott Rewards
"181 Third Street San Francisco, CA 94103",1 block,SOLD OUT,W Hotel,10.,Starwood Preferred Guest (SPG)
"50 Third Street San Francisco, CA 94103",1.5 blocks,SOLD OUT,Westin San Francisco Market Street,11.,Starwood Preferred Guest (SPG)
