Brand,Industry,Rank,Value
Microsoft,Software,1,62039
GE,Technology,2,55834
Coca-Cola,F&D&T,3,41406
China Mobile,Telecom,4,39168
Marlboro,F&D&T,5,38510
Wal-Mart,Retail,6,37567
Google,Software,7,37445
IBM,Software,8,36084
Citibank,Bank,9,31028
Toyota,Cars,10,30201
McDonald's,F&D&T,11,28985
Bof America,Bank,12,28155
Home Depot,Retail,13,27312
Nokia,Technology,14,26538
Intel,Technology,15,25156
Vodafone,Telecom,16,24072
BMW,Cars,17,23820
Disney,Software,18,22232
UPS,Retail,19,21829
Cisco,Technology,20,20922
HP,Technology,21,19732
TIM,Telecom,22,19551
NTT Docomo,Telecom,23,19518
Louis Vuitton,Luxury,24,19479
American Express,Finance,25,18780
Dell,Technology,26,18303
Gillette,Personal Care,27,17832
Mercedes,Cars,28,17801
Apple,Technology,29,15976
Tesco,Retail,30,15532
Movistar,Telecom,31,15188
Verizon,Telecom,32,14908
Honda,Cars,33,14394
Yahoo!,Software,34,14101
Oracle,Software,35,13913
HSBC,Bank,36,13889
Ford,Cars,37,13844
eBay,Software,38,13191
Deutsche Bank,Bank,39,13022
Santander,Bank,40,12537
Chevrolet,Cars,41,12458
Pfizer,Personal Care,42,12372
Samsung,Technology,43,12028
Porsche,Cars,44,12025
T-Mobile,Telecom,45,11870
Budweiser,F&D&T,46,11724
Pepsi,F&D&T,47,11484
Starbucks,F&D&T,48,11077
Nissan,Cars,49,10915
Carrefour,Retail,50,10803
Nike,Apparel,51,10783
L'Or?al,Personal Care,52,10692
Morgan Stanley,Finance,53,10619
Wachovia,Finance,54,10228
Merrill Lynch,Finance,55,10073
Harley-Davidson,Cars,56,9955
Canon,Technology,57,9908
Accenture,Software,58,9786
Chase,Bank,59,9716
SAP,Software,60,9574
UBS,Bank,61,9541
Orange,Telecom,62,9431
Sony,Technology,63,9358
Motorola,Technology,64,9072
Goldman Sachs,Finance,65,8863
FedEx,Retail,66,8240
H&M,Apparel,67,8022
State Farm,Finance,68,7905
IKEA,Retail,69,7206
JP Morgan,Finance,70,7078
VW,Cars,71,6793
Siemens,Technology,72,6741
Cingular,Telecom,73,6680
Avon,Personal Care,74,6598
Chanel,Luxury,75,6499
ING,Bank,76,6353
Target,Retail,77,6135
Amazon,Software,78,5983
Colgate,Personal Care,79,5839
AIG,Finance,80,5665
Wrigley's,F&D&T,81,5550
Cartier,Luxury,82,5548
BP,Oil & Gas,83,5470
Auchan,Retail,84,5354
Electronic Arts,Software,85,5300
Renault,Cars,86,5173
Zara,Apparel,87,5112
Barclays,Bank,88,5070
Lexus,Cars,89,5050
Rolex,Luxury,90,4925
Allstate,Finance,91,4842
Herm?s,Luxury,92,4830
Caterpillar,Technology,93,4747
Mizuho,Bank,94,4740
WaMu,Bank,95,4686
Asda,Retail,96,4650
Mitsui Sumitomo,Finance,97,4528
Gucci,Luxury,98,4370
Esprit,Apparel,99,4206
Hennessy,Luxury,100,4191
