#,Catcheur,Jours combin?s,Nombre de r?gnes
1.,Lex Luger,948,5
2.,Ric Flair,811?,5
3.,Blackjack Mulligan,498,3
4.,Montel Vontavious Porter,419,2
5.,Greg Valentine,391,2
6.,Rick Rude,378?,1
7.,Chris Benoit,357,5
8.,Nikita Koloff,328,1
9.,Sgt. Slaughter,305,2
10.,Magnum T.A.,302,2
11.,Wahoo McDaniel,289?,5
12.,Barry Windham,283,1
13.,Booker T,271,4
14.,Ricky Steamboat,263,4
15.,Steve Austin,240,2
15.,Shelton Benjamin,240,1
17.,Sting,234,2
18.,Jimmy Snuka,231,1
19.,Dustin Rhodes,229?,2
20.,John Cena,221,3
21.,Roddy Piper,220,3
22.,Jeff Jarrett,184,3
23.,Harley Race,183,1
24.,Bret Hart,181,4
25.,Orlando Jordan,173,1
26.,Scott Steiner,169,2
27.,Paul Jones,167,2
28.,Eddie Guerrero,161,2
29.,Konnan,160,1
30.,Diamond Dallas Page,147,2
30.,The Big Show,147,1
32.,Dusty Rhodes,141,1
33.,Tully Blanchard,130,1
34.,Dick Slater,129,1
35.,Kofi Kingston,126,1
36.,Big Van Vader,117,1
37.,Lance Storm,115,3
38.,Curt Hennig,104,1
39.,Jim Duggan,100,1
