,Director,Movie,Rel.,Reviewed
,"Abrams, J.J.",Mission Impossible 3,2006,20061209
,"Abrams, J.J.",Super 8,2011,20111214
,"Achbar, Mark",The Corporation,2003,20070102
,"Affleck, Ben",Gone Baby Gone,2007,20071116
,"Akkad, Moustapha",Lion of the Desert,1981,20111005
,"Aldrich, Robert",Emperor of the North,1973,20110525
,"Antin, Steve",Burlesque,2010,20120118
,"Ashby, Hal",Harold and Maude,1971,20091126
,"Ashby, Hal",Coming Home,1978,20081024
,"Atchison, Doug",Akeelah and the Bee,2006,20090813
,"Attenborough, Richard",A Bridge Too Far,1977,20090312
,"Bar-Lev, Amir",The Tillman Story,2011,20110323
,"Bay, Michael",The Island,2005,20070928
,"Becker, Walt",Wild Hogs,2007,20070309
,"Belber, Stephen",Management,2008,20091224
,"Benton, Robert",Nobody's Fool,1994,20081002
,"Beresford, Bruce",Mao's Last Dancer,2009,20111019
,"Berg, Peter",Friday Night Lights,2006,20080111
,"Berger, Michael",Improbable Collapse,2006,20070427
,"Berlinger, Joe",Crude,2009,20100819
,"Bigelow, Kathryn",The Hurt Locker,2009,20100616
,"Bogdanovich, Peter",Last Picture Show,1971,20090924
,"Boetticher, Budd",Seven Men from Now,1956,20071207
,"Boyle, Danny",Slumdog Millionaire,2008,20090129
,"Burger, Neil",Limitless,2011,20120111
,"Burger, Neil",The Lucky Ones,2008,20090319
,"Burton, Tim",Ed Wood,1994,20090514
,"Bridges, James",The China Syndrome,1979,20070511
,"Cameron, James",Avatar,2009,20100121
,"Campbell, Martin",Casino Royale,2006,20061203
,"Cahill, Mike",King of California,2007,20080321
,"Capra, Frank",It's a Wonderful Life,1946,20110309
,"Carpenter, John",They Live,1988,20091105
,"Caro, Niki",North Country,2005,20070128
,"Charles, Larry",Religulous,2008,20100128
,"Clark, Bob",A Christmas Story,1983,20071221
,"Coen, Joel",The Big Lebowski,1998,20110302
,"Cooper, Scott",Crazy Heart,2009,20100528
,"Coppola, Francis Ford",Tucker: The Man and His Dream,1988,20090122
,"Costner, Kevin",Dances with Wolves,1990,20090909
,"Coulter, Allen",Remember Me,2010,20110126
,"Couturi�, Bill",Dear America: Letters from Vietnam,1988,20090820
,"Cuaron, Alfonso",Children of Men,2006,20070121
,"Curtis, Richard",Love Actually,2003,20071130
,"Curtiz, Michael",Mildred Pierce,1945,20110330
,"Curtiz, Michael",Romance on the High Seas,1948,20111109
,"Dabis, Cherien",Amreeka,2009,20100225
,"Darabont, Frank",Shawshank Redemption,1994,20100826
,"Davis, Peter",Hearts and Minds,1974,20101027
,"Dayton, Jonathan",Little Miss Sunshine,2006,20070223
,"de Felitta, Raymond",City Island,2009,20110914
,"Demme, Jonathan",Rachel Getting Married,2008,20090702
,"Demme, Jonathan",Swing Shift,1984,20080530
,"Demme, Ted",Beautiful Girls,1996,20071102
,"DeNiro, Robert",The Good Shepherd,2006,20070413
,"Derrickson, Scott",The Day the Earth Stood Still,2008,20091112
,"Deutch, Howard",The Replacements,2000,20070831
,"Donnersmarck, F.H.",The Lives of Others,2006,20070914
,"Doyle, John",Main Street,2010,20120125
,"Duke, Daryl",The Thorn Birds,1983,20110105
,"Duvall, Robert",The Apostle,1997,20100929
,"Duvivier, Julien",The Great Waltz,1938,20090115
,"Eastwood, Clint",The Bridges of Madison County,1995,20101020
,"Eastwood, Clint",Changeling,2008,20090528
,"Eastwood, Clint",Flags of Our Fathers,2006,20070212
,"Eastwood, Clint",Gran Torino,2008,20090219
,"Eastwood, Clint",Heartbreak Ridge,1986,20080516
,"Eastwood, Clint",Invictus,2009,20091231
,"Ephron, Nora",Julie and Julia,2009,20110119
,"Ephron, Nora",Sleepless in Seattle,1993,20091008
,"Ephron, Nora",You've Got Mail,1998,20110921
,"Estevez, Emilio",Bobby,2006,20061212
,"Favreau, Jon",Iron Man,2008,20100721
,"Ferguson, Charles",Inside Job,2010,20110713
,"Field, Todd",Little Children,2006,20070525
,"Fine, Jeffrey",Cherry,2010,20111116
,"Fletcher, Anne",27 Dresses,2008,20080703
,"Fletcher, Anne",The Proposal,2009,20090625
,"Foley, James",Perfect Stranger,2007,20070921
,"Forbes, Bryan",The Stepford Wives,1975,20061202
,"Ford, John",Grapes of Wrath,1940,20090423
,"Forster, Marc",Stranger than Fiction,2006,20070824
,"Foster, Jodie",The Beaver,2011,20111012
,"Frank, Scott",The Lookout,2007,20070518
,"Frankel, David",The Devil Wears Prada,2006,20070719
,"Fuqua, Antoine",Shooter,2007,20071005
,"Frankenheimer, John",Grand Prix,1966,20070713
,"Gabel, Shainee",Love Song for Bobby Long,2004,2009060
,"Gale, Bob",Interstate 60,2002,20110202
,"Gartner, James",Glory Road,2006,20061126
,"Gilroy, Tony",Michael Clayton,2007,20071026
,"Glaser, Paul Michael",The Running Man,1987,20110727
,"Goldwyn, Tony",Conviction,2010,20110615
,"Gore, Al",An Inconvenient Truth,2006,20061210
,"Goulding, Edmund",Dark Victory,1939,20110511
,"Greengrass, Paul",The Green Zone,2009,20100922
,"Greene, David","Rich Man, Poor Man",1976,20101124
,"Guillermin, John",The Bridge at Remagen,1969,20090312
,"Haggis, Paul",The Next Three Days,2010,20101201
,"Haneke, MIchael",The White Ribbon,2009,20111026
,"Hardwicke, Catherine",Twilight,2008,20101215
,"Hathaway, Henry",True Grit,1969,20080411
,"Hanks, Tom et al",From the Earth to the Moon,1998,20080803
,"Haynes, Todd",Far from Heaven,2002,20080829
,"Heckerling, Amy",Clueless,1995,20090917
,"Herzog, Werner","Bad Lieutenant: Port of Call, N. Orleans",2009,20100812
,"Hedges, Peter",Dan in Real Life,2007,20081204
,"Heslov, Grant",The Men Who Stare at Goats,2009,20100428
,"Hicks, Scott",Snow Falling on Cedars,1999,20090611
,"Hill, Walter",Geronimo,1993,20100623
,"Hiller, Arthur",The Americanization of Emily,1964,20110831
,"Hindman, John",The Answer Man,2009,20100728
,"Hirschbiegel, Oliver",The Invasion,2007,20080918
,"Hoblit, Gregory",Untraceable,2008,20080711
,"Hodges, Mike",Croupier,1998,20080307
,"Hooper, Tom",The King's Speech,2010,20110501
,"Hopkins, Joel",Last Chance Harvey,2008,20090931
,"Howard, Ron",Angels and Demons,2009,20090521
,"Howard, Ron",Apollo 13,1995,20071012
,"Howard, Ron",The Da Vinci Code,2006,20070727
,"Howard, Ron",Frost/Nixon,2008,20090827
,"Hughes, Howard",The Outlaw,1943,20100218
,"Huston, John",The Misfits,1961,20110720
,"Jeffs, Christine",Sunshine Cleaning,2008,20091022
,"Jenkins, Ken",Overcoming 911 Psych Resistance,2005,20080125
,"Jenkins, Tamara",The Savages,2007,20080718
,"Johansson, Paul","Atlas Shrugged the Movie, I",2011,20110420
,"Johnston, Joe",October Sky,1999,20090326
,"Jones, Tommy Lee",Three Burials of Melquiades Estrada,2005,20090205
,"Katz, Ross",Taking Chance,2009,20091217
,"Kazan, Elia",A Tree Grows in Brooklyn,1945,20090212
,"King, Michael Patrick",Sex and the City,2008,20080627
,"King, Michael Patrick",Sex and the City 2,2010,20101229
,"Klein, Marc",Suburban Girl,2007,20080606
,"Kohan, Jenji",Weeds,2005,20100421
,"Korda, Alexander",That Hamilton Woman,1941,20080201
,"Kubrick, Stanley",Spartacus,1960,20110928
,"Lawrence, Marc",Music and Lyrics,2007,20070321
,"Lean, David",Brief Encounter,1945,20101110
,"Leder, Mimi",Pay it Forward,2000,20101215
,"Levinson, Barry",Wag the Dog,1997,20070803
,"Levy, Shawn",Night at the Museum,2006,20080118
,"Liman, Doug",Fair Game,2010,20110803
,"Logan, Joshua",Picnic,1955,20100902
,"Luhrmann, Baz",Australia,2008,20110209
,"Lumet, Sidney",Before the Devil Knows You're Dead,2007,20080501
,"Lumet, Sidney",Network,1976,20080208
,"Macdonald, Kevin",State of Play,2009,20090430
,"Mann, Michael",The Last of the Mohicans,1992,20090409
,"Marshall, Garry",The Flamingo Kid,1984,20101103
,"Martin, Darnell",Cadillac Records,2008,20090618
,"McCarey, Leo",An Affair to Remember,1957,20100204
,"McCarthy, Thomas",The Visitor,2007,20081218
