Country / Territory,Population,Rank
World,"6,464,750,000",?#128;?
People's Republic of China,"1,315,844,000",1
India,"1,103,371,000",2
United States,"298,213,000",3
Indonesia,"222,781,000",4
Brazil,"186,405,000",5
Pakistan,"157,935,000",6
Russia,"143,202,000",7
Bangladesh,"141,822,000",8
Nigeria,"131,530,000",9
Japan,"128,085,000",10
Mexico,"107,029,000",11
Vietnam,"84,238,000",12
Philippines,"83,054,000",13
Germany,"82,689,000",14
Ethiopia,"77,431,000",15
Egypt,"74,033,000",16
Turkey,"73,193,000",17
Iran,"69,515,000",18
Thailand,"64,233,000",19
France,"60,496,000",20
United Kingdom,"59,668,000",21
Italy,"58,093,000",22
Democratic Republic of the Congo,"57,549,000",23
Myanmar,"50,519,000",24
South Korea,"47,817,000",25
South Africa,"47,432,000",26
Ukraine,"46,481,000",27
Colombia,"45,600,000",28
Spain,"43,064,000",29
Argentina,"38,747,000",30
Poland,"38,530,000",31
Tanzania,"38,329,000",32
Sudan,"36,233,000",33
Kenya,"34,256,000",34
Algeria,"32,854,000",35
Canada,"32,268,000",36
Morocco,"31,478,000",37
Afghanistan,"29,863,000",38
Uganda,"28,816,000",39
Iraq,"28,807,000",40
Peru,"27,968,000",41
Nepal,"27,133,000",42
Venezuela,"26,749,000",43
Uzbekistan,"26,593,000",44
Malaysia,"25,347,000",45
Saudi Arabia,"24,573,000",46
Republic of China (Taiwan),"22,894,384[1]",47
North Korea,"22,488,000",48
Ghana,"22,113,000",49
Romania,"21,711,000",50
Yemen,"20,975,000",51
Sri Lanka,"20,743,000",52
Australia,"20,155,000[2]",53
Mozambique,"19,792,000",54
Syria,"19,043,000",55
Madagascar,"18,606,000",56
C?te d'Ivoire,"18,154,000",57
Cameroon,"16,322,000",58
Netherlands,"16,299,000",59
Chile,"16,295,000",60
Angola,"15,941,000",61
Kazakhstan,"14,825,000",62
Cambodia,"14,071,000",63
Niger,"13,957,000",64
Mali,"13,518,000",65
Burkina Faso,"13,228,000",66
Ecuador,"13,228,000",67
Zimbabwe,"13,010,000",68
Malawi,"12,884,000",69
Guatemala,"12,599,000",70
Zambia,"11,668,000",71
Senegal,"11,658,000",72
Cuba,"11,269,000",73
Greece,"11,120,000",74
Serbia and Montenegro,"10,503,000",75
Portugal,"10,495,000",76
Belgium,"10,419,000",77
Czech Republic,"10,220,000",78
Tunisia,"10,102,000",79
Hungary,"10,098,000",80
Belarus,"9,755,000",81
Chad,"9,749,000",82
Guinea,"9,402,000",83
Bolivia,"9,182,000",84
Sweden,"9,041,000",85
Rwanda,"9,038,000",86
Dominican Republic,"8,895,000",87
Haiti,"8,528,000",88
Benin,"8,439,000",89
Azerbaijan,"8,411,000",90
Somalia,"8,228,000",91
Austria,"8,189,000",92
Bulgaria,"7,726,000",93
Burundi,"7,548,000",94
Switzerland,"7,252,000",95
Honduras,"7,205,000",96
Hong Kong (PRC),"7,041,000",97
El Salvador,"6,881,000",98
Israel,"6,725,000",99
Tajikistan,"6,507,000",100
Paraguay,"6,158,000",101
Togo,"6,145,000",102
Laos,"5,924,000",103
Papua New Guinea,"5,887,000",104
Libya,"5,853,000",105
Jordan,"5,703,000",106
Sierra Leone,"5,525,000",107
Nicaragua,"5,487,000",108
Denmark,"5,431,000",109
Slovakia,"5,401,000",110
