Assets ($bil),Company,Country,Industry,Market Value ($bil),Profits ($bil),Sales ($bil)
111.70,PetroChina,China,Oil & Gas Operations,546.14,18.21,88.24
242.08,ExxonMobil,United States,Oil & Gas Operations,465.51,40.61,358.60
795.34,General Electric,United States,Conglomerates,330.93,22.21,172.74
62.44,China Mobile,Hong Kong/China,Telecommunications Services,308.59,8.29,37.06
201.72,Gazprom,Russia,Oil & Gas Operations,306.79,23.30,81.76
961.65,ICBC,China,Banking,289.57,6.31,37.48
67.34,Microsoft,United States,Software & Services,253.15,16.96,57.90
129.98,Petrobras-Petr?leo Brasil,Brazil,Oil & Gas Operations,236.67,11.04,87.52
266.22,Royal Dutch Shell,Netherlands,Oil & Gas Operations,221.09,31.33,355.78
273.16,Berkshire Hathaway,United States,Diversified Financials,216.65,13.21,118.25
275.64,AT&T,United States,Telecommunications Services,210.22,11.95,118.93
236.08,BP,United Kingdom,Oil & Gas Operations,204.94,20.60,281.03
144.40,Procter & Gamble,United States,Household & Personal Products,203.67,11.13,79.74
163.38,Wal-Mart Stores,United States,Retailing,198.60,12.73,378.80
53.36,BHP Billiton,Australia/United Kingdom,Materials,190.62,13.42,39.50
99.06,Nestl?,Switzerland,Food Drink & Tobacco,188.11,9.38,94.76
77.44,Sinopec-China Petroleum,China,Oil & Gas Operations,186.38,6.90,133.79
165.75,Total,France,Oil & Gas Operations,181.80,19.24,199.74
"2,348.98",HSBC Holdings,United Kingdom,Banking,180.81,19.13,146.50
148.79,Chevron,United States,Oil & Gas Operations,179.97,18.69,203.97
"1,715.75",Bank of America,United States,Banking,176.53,14.98,119.19
80.95,Johnson & Johnson,United States,Drugs & Biotechnology,175.51,10.58,61.10
276.38,Toyota Motor,Japan,Consumer Durables,175.08,13.99,203.80
