A1,A2,B1,B2,C1,C2,COUNTRY,CURRENCY
3740,4180,4540,6145,6600,7480,ALBANIA,ALL
3316,4345,4921,5456,5720,5991,ALGERIA,DZD
315,370,420,525,580,630,ARAB EMIRATES,EAU
190,245,275,315,335,355,ARGENTINA,ARS
14650,15950,17230,24120,26700,28430,ARMENIA,AMD
170,210,255,290,305,315,AUSTRALIA,AUD
84,95,100,140,145,150,AUSTRIA,EUR
35,40,45,60,65,70,AZERBAIYAN,AZN
63,76,90,104,110,116,BAHAMAS,BSD
2200,2300,2600,3700,4300,4700,BANGLADESH,BDT
82,95,104,136,145,152,BELGIUM,EUR
95700,105000,111200,157500,173000,185000,BIELORUSSIA,BYR
386,450,550,637,690,715,BOLIVIA,BOV
75,85,100,125,135,145,BOSNIA-H.,KM
115,130,145,190,225,250,BRAZIL,BRL
75,80,90,120,135,155,BULGARY,BGL
22300,27000,28800,36800,38300,40400,CAMEROON,XOF
117,140,175,195,210,220,CANADA,CAD
35500,45000,50600,58600,62500,65600,CHILE,CLP
435,495,560,720,790,825,CHINA,CNY
129100,155000,184000,213000,230000,239000,COLOMBIA,COP
29000,35000,42000,51000,53000,55000,COSTA RICA,CRC
305,382,418,514,556,595,CROATIA,HRK
52,65,74,86,90,96,CUBA,CUC
80,95,113,133,145,154,CYPRUS,EUR
1230,1530,1740,2060,2300,2400,CZECK REPUBLIC,CZK
695,850,1075,1155,1200,1245,DENMARK,DKK
2015,2300,2870,3325,3650,3730,DOMINICAN REPUBLIC,DOP
40,45,57,66,70,74,ECUADOR,EUR
290,350,395,480,540,590,EGYPT,EGP
21710,25145,28035,35740,38305,39270,EQUATORIAL GUINEA,XOF
532,585,626,892,990,1158,ESTONIA,EEK
84,95,104,140,150,155,FINLAND,EUR
84,95,104,140,150,155,FRANCE,EUR
21500,26000,28000,35400,37950,38900,GABON,XOF
80,85,90,130,145,155,GEORGIA,GEL
83,90,98,138,145,149,GERMANY,EUR
20,25,29,34,36,37,GHANA,EUR
84,95,104,140,150,155,GUADALUPE,EUR
88,100,125,146,165,171,GREECE,EUR
1420,1670,1875,2325,2715,2970,HAITI,HTG
10000,11000,12000,16000,18000,20000,HUNGARY,HUF
10062,11700,12838,16828,18900,20645,ICELAND,ISK
1850,2035,2235,3080,3520,3780,INDIA,INR
400700,413400,483400,667800,765500,817300,INDONESIA,IDR
440000,480000,535500,733000,790000,850000,IRAN,IRR
85,95,107,142,152,158,IRELAND,EUR
340,420,505,570,585,600,ISRAEL,NIS
73,78,83,122,140,150,ITALY,EUR
16100,18900,23100,27300,28350,30100,IVORY COAST,XOF
4300,5200,6300,7200,7600,8090,JAMAICA,JMD
7600,8900,10100,12700,14200,15200,JAPAN,JPY
43,50,58,71,75,77,JORDAN,JOD
6000,6300,6900,9700,10700,11400,KAZAJSTAN,KZT
3400,2800,4000,4700,5000,5200,KENYA,KES
1850,2000,2150,3050,3350,3590,KIRGUISTAN,KGS
26,32,39,43,48,55,LATVIA,LVL
120000,135000,156600,199500,220000,236000,LEBANON,LBP
128,142,176,214,238,256,LIECHTENSTEIN,CHF
119,145,178,196,205,255,LITHUANIA,LTL
90,105,110,150,185,200,LUXEMBURG,EUR
210,245,270,340,490,420,MALAYSIA,MYR
60,70,82,102,115,122,MALTA,EUR
84,95,104,140,150,155,MARTINICA,EUR
770,920,1095,1265,1350,1420,MEXICO,MXN
400,450,485,680,760,800,MOLDAVIA,MDL
340,390,440,565,595,620,MOROCCO,MAD
326,404,453,537,562,593,NAMIBIA,NAD
86,95,105,140,150,160,NETHERLAND,EUR
205,260,305,345,365,380,N. ZEALAND,NZD
4550,5550,6520,7700,8100,8500,NIGERIA,NGN
895,990,1161,1485,1690,1810,NORWAY,NOK
130,160,180,210,225,240,PALESTINE,NIS
57,70,80,95,100,106,PANAMA,PAB
175,210,246,290,300,320,PERU,PEN
1930,2480,2940,3250,3570,3950,PHILIPPINES,PHP
235,280,340,390,410,435,POLAND,PLZ
75,85,97,125,130,137,PORTUGAL,EUR
150,180,200,245,280,300,ROMANIA,RON
2040,2365,2920,3430,3795,4175,RUSSIA,RUB
16600,20000,23800,28000,30300,31000,SENEGAL,XOF
3640,4125,4830,6000,6700,7200,SERBIA,CSD
120,145,165,200,220,240,SINGAPORE,SGD
35,41,48,59,66,71,SLOVAQUIA,EUR
41,50,58,69,75,81,SLOVENIA,EUR
540,620,740,915,985,1060,SOUTH AFRICA,ZAR
100000,130000,150000,170000,185000,200000,SOUTH KOREA,KRW
102,117,148,170,178,185,SPAIN,EUR
1045,1250,1420,1745,1950,2070,SWEDEN,SEK
146,180,213,243,275,292,SWITZERLAND,CHF
1900,2200,2800,3200,3500,3900,SYRIA,SYP
