Area in sq. miles,Lake,Location
"31,700",Lake Superior,MI-MN-WI-Ontario
"23,000",Lake Huron,MI-Ontario
"22,300",Lake Michigan,IL-IN-MI-WI
"9,910",Lake Erie,MI-NY-OH-PA-Ontario
"7,340",Lake Ontario,NY-Ontario
"2,117",Great Salt Lake,Utah
"1,485",Lake of the Woods,MN-Manitoba-Ontario
"1,014",Iliamna Lake,Alaska
685,Lake Oahe,ND-SD
662,Lake Okeechobee,Florida
631,Lake Pontchartrain,Louisiana
520,Lake Sakakawea,North Dakota
490,Lake Champlain,NY-VT-Quebec
453,Becharof Lake,Alaska
430,Lake St. Clair,MI-Ontario
