Granting Institution,Mathematician,Supervisor,Thesis,Year of PhD
University of Alberta,Keith F. Taylor,Anthony To-Ming Lau,The Structure of the Regular Representation of a Locally Compact Group,1975
University of British Columbia,Anthony To-Ming Lau,Edmond E. Granirer,Topological Semigroups,1969
Hebrew University,Edmond E. Granirer,Harry Kesten,On Amenable Semigroups with a Finite Dimensional Set of Invariant Mean,1962
Cornell University,Harry Kesten,Mark Kac,Symmetric Random Walks on Groups,1958
University of Lw?w,Mark Kac,Hugo Steinhaus,unknown,1937
Georg-August-Universit?t G?ttingen,Hugo Steinhaus,David Hilbert,Neue Anwendungen des Dirichlet'schen Prinzips,1911
Universit?t K?nigsberg,David Hilbert,C. L. Ferdinand Lindemann,"?ber invariante Eigenschaften specieller bin?rer Formen, insbesondere der Kugelfunctionen",1885
Friedrich-Alexander-Universit?t Erlangen-N?rnberg,C. L. Ferdinand Lindemann,C. Felix Klein,?ber unendlich kleine Bewegungen und ?ber Kraftsysteme bei allgemeiner projektivischer Ma?bestimmung,1873
Rheinische Friedrich-Wilhelms-Universit?t Bonn,C. Felix Klein,Julius Pl?cker and Rudolf Lipschitz,?ber die Transformation der allgemeinen Gleichung des zweiten Grades zwischen Linien-Koordinaten auf eine kanonische Form,1868
Philipps - Universit?t Marburg,Julius Pl?cker,Christian Gerling,Generalem analyeseos applicationem ad ea quae geometriae altioris et mechanicae basis et fundamenta sunt e serie Tayloria deducit,1823
Georg-August-Universit?t G?ttingen,Christian Ludwig Gerling,Carl Friedrich Gauss,Methodi proiectionis orthographicae usum ad calculos parallacticos facilitandos explicavit simulque eclipsin solarem die,1812
Universit?t Helmstedt,Carl Friedrich Gauss,Johann Friedrich Pfaff,Demonstratio nova theorematis omnem functionem algebraicam rationalem integram unius variabilis in factores reales primi vel secundi gradus resolvi posse,1799
Georg-August-Universit?t G?ttingen,Johann Friedrich Pfaff,Abraham Gotthelf Kaestner,Commentatio de ortibus et occasibus siderum apud auctores classicos commemoratis,1786
Universit?t Leipzig,Abraham Gotthelf Kaestner,Christian August Hausen,Theoria radicum in aequationibus,1739
Martin-Luther-Universit?t Halle-Wittenberg,Christian August Hausen,Christian Andreas Siber,Ex Philologicis De Asiarchis,1713
Martin-Luther-Universit?t Halle-Wittenberg,Christian Andreas Siber,unknown,De stylo Novi Testamenti Graeco,1682
Universit?t Berlin,Rudolf Lipschitz,Gustav Dirichlet and Martin Ohm,Determinatio status magnetici viribus inducentibus commoti in ellipsoide,1853
Rheinische Friedrich-Wilhelms-Universit?t Bonn,Gustav Peter Lejeune Dirichlet,Simeon Poisson and Jean-Baptiste Fourier,unknown,1827
unknown,Simeon Denis Poisson,Joseph Lagrange,unknown,unknown
unknown,Jean-Baptiste Fourier,Joseph Louis Lagrange,unknown,unknown
unknown,Joseph Louis Lagrange,Leonhard Euler,unknown,unknown
Universit?t Basel,Leonhard Euler,Johann Bernoulli,unknown,1726
unknown,Johann Bernoulli,Jacob Bernoulli,unknown,1694
unknown,Jacob Bernoulli,unknown,unknown,unknown
Friedrich-Alexander-Universit?t Erlangen-N?rnberg,Martin Ohm,Karl Christian von Langsdorf,De elevatione serierum infinitarum secundi ordinis ad potestatem exponentis indeterminati,1811
unknown,Karl Christian von Langsdorf,unknown,unknown,unknown
