,Money (US$),Scores,Total,Winner/2nd,Year
1,"414,000.00",64-70-66-66-66,332,Fred Couples,1998
2,"248,400.00",65-65-71-62-69,332,Bruce Lietzke,
1,"270,000.00",66-69-67-62-63,327,John Cook,1997
2,"162,000.00",64-67-66-64-67,328,Mark Calcavecchia,
1,"234,000.00",66-68-69-67-67,337,Mark Brooks,1996
2,"140,400.00",69-71-65-65-68,338,John Huston,
1,"216,000.00",63-71-64-67-70,335,Kenny Perry,1995
2,"129,600.00",67-68-65-67-69,336,David Duval,
1,"198,000.00",66-62-70-66-70,334,Scott Hoch,1994
T2,"82,133.34",70-67-66-68-66,337,Fuzzy Zoeller,
T2,"82,133.33",67-69-61-72-68,337,Lennie Clements,
T2,"82,133.33",66-67-74-62-68,337,"Jim Gallagher, Jr.",
1,"198,000.00",67-67-64-65-62,325,Tom Kite,1993
2,"118,800.00",66-66-70-62-67,331,Rick Fehr,
1,"198,000.00",65-73-63-69-66,336,John Cook,1992
T2,"72,600",64-72-66-71-63,336,Rick Fehr,
T2,"72,600.00",65-73-68-67-63,336,Tom Kite,
T2,"72,600.00",66-69-65-67-69,336,Mark O'Meara,
T2,"72,600.00",69-65-64-70-68,336,Gene Sauers,
1,"198,000.00",65-69-66-66-65,331,Corey Pavin,1991
2,"118,800.00",66-65-66-67-67,331,Mark O'Meara,
1,"180,000.00",67-66-69-66-71,339,Peter Jacobsen,1990
T2,"88,000.00",68-69-67-68-68,340,Scott Simpson,
T2,"88,000.00",73-68-66-67-66,340,Brian Tennyson,
1,"180,000.00",76-68-67-63-69,343,Steve Jones,1989
T2,"88,000.00",69-68-70-67-69,343,Paul Azinger,
T2,"88,000.00",70-68-68-68-69,343,Sandy Lyle,
1,"180,000.00",63-68-69-68-70,338,Jay Haas,1988
2,"108,000.00",66-71-71-65-67,340,David Edwards,
1,"162,000.00",72-71-65-66-67,341,Corey Pavin,1987
2,"97,200.00",68-66-68-70-70,342,Bernhard Langer,
1,"108,000.00",69-64-68-68-66,335,Donnie Hammond,1986
2,"64,800.00",68-67-65-69-66,335,John Cook,
1,"90,000.00",67-67-68-66-65,333,Lanny Wadkins,1985
2,"54,000.00",66-68-64-69-66,333,Craig Stadler,
1,"72,000.00",66-70-70-68-66,340,John Mahaffey,1984
2,"43,200.00",69-63-70-69-69,340,Jim Simons,
1,"67,500.00",71-69-65-65-65,335,Keith Fergus,1983
2,"40,500.00",67-69-69-65-65,335,Rex Caldwell,
1,"50,000.00",70-65-66-67-67,335,Ed Fiori,1982
2,"29,700.00",68-66-66-69-66,335,Tom Kite,
1,"50,000.00",65-66-65-70-69,335,Bruce Lietzke,1981
2,"29,700.00",66-67-68-67-69,337,Jerry Pate,
1,"50,000.00",69-68-70-69-67,343,Craig Stadler,1980
