Category,Rating,Release,Title
RPG,95%,TBA,Sonic Chronicles: The Dark Brotherhood
Driving,93%,11/13/05,Mario Kart DS
Action,92%,10/03/05,Castlevania: Dawn of Sorrow
Strategy,92%,08/21/05,Advance Wars: Dual Strike
Action,90%,09/22/08,Kirby Super Star Ultra
Music,89%,07/27/05,Osu! Tatakae! Ouendan!
Platform,88%,05/14/06,New Super Mario Bros.
Puzzle,88%,11/06/06,Bomberman Land Touch!
Puzzle,88%,06/26/05,Meteos
Puzzle,88%,07/29/07,Picross DS
RPG,89%,11/27/05,Mario & Luigi: Partners in Time
Platform,89%,06/12/05,Kirby: Canvas Curse
Shooter,85%,03/19/06,Metroid Prime: Hunters
RPG,86%,04/21/07,Pokemon Pearl
RPG,86%,04/21/07,Pokemon Diamond
Music,86%,11/05/06,Elite Beat Agents
RPG,86%,12/04/05,Animal Crossing: Wild World
Action,85%,10/07/08,Spectrobes: Beyond the Portals
Other,85%,08/21/05,Nintendogs: Chihuahua and Friends
Puzzle,85%,03/19/06,Tetris DS
Other,85%,08/21/05,Nintendogs: Labrador and Friends
Other,85%,08/21/05,Nintendogs: Dachshund and Friends
Cards,84%,10/08/06,Clubhouse Games
RPG,84%,06/22/09,Shin Megami Tensei: Devil Survivor
Strategy,83%,02/13/06,Age of Empires: Age of Kings
RPG,83%,09/18/06,Dragon Quest Heroes: Rocket Slime
Sports,83%,11/14/05,Tony Hawk's American Sk8land
Action,83%,06/07/09,Mario vs. Donkey Kong: Minis March Again!
Sports,66%,11/16/04,Asphalt Urban GT
Action,82%,10/03/05,Trauma Center: Under the Knife
Action,81%,11/14/05,Sonic Rush
Adventure,82%,10/10/05,Phoenix Wright: Ace Attorney
Puzzle,81%,05/21/07,"New York Times Crosswords, The"
Platform,86%,11/19/04,Super Mario 64 DS
Pinball,82%,10/23/05,Metroid Prime Pinball
Puzzle,81%,02/13/05,WarioWare Touched!
Platform,81%,09/11/06,Mega Man ZX
Simulation,81%,10/22/07,Phoenix Wright: Ace Attorney Trials and Tribulations
Action,80%,09/16/08,Star Wars: The Force Unleashed
Music,80%,TBA,Jam with the Band
Simulation,80%,09/22/08,SimCity Creator
RPG,80%,05/14/07,Etrian Odyssey
Puzzle,71%,11/29/04,Mr. Driller Drill Spirits
Action,80%,10/01/07,Chibi-Robo Park Patrol
Puzzle,79%,05/02/05,Puyo Pop Fever
Sports,69%,11/16/04,Madden NFL 2005
Adventure,79%,01/21/07,Hotel Dusk Room 215
Platform,78%,11/12/06,Yoshi's Island DS
Driving,61%,12/06/04,Ridge Racer DS
Platform,78%,09/17/07,Sonic Rush Adventure
RPG,78%,04/28/09,Super Robot Taisen OG Saga: Endless Frontier
Action,80%,09/18/05,Ultimate Spider-Man
Puzzle,77%,06/20/05,Bomberman DS
Platform,74%,03/13/05,Yoshi's Touch & Go
Other,22%,12/06/04,Ping Pals
RPG,77%,11/13/06,Final Fantasy III
Action,77%,11/13/05,"Animaniacs: Lights, Camera, Action!"
Other,77%,10/15/06,Nintendogs: Dalmatian and Friends
Adventure,77%,10/14/07,Mega Man ZX Advent
Action,76%,09/14/07,Donkey Kong Jungle Climber
RPG,76%,03/12/07,Spectrobes
Action,64%,11/16/04,Spider-Man 2
Puzzle,76%,04/16/06,Brain Age: Train Your Brain in Minutes A Day
Driving,76%,10/30/06,Need for Speed Carbon
Strategy,76%,09/30/07,Front Mission
Puzzle,76%,01/16/05,Zoo Keeper
Action,77%,05/03/05,Star Wars Episode III: Revenge of the Sith
RPG,76%,04/13/09,"Dark Spire, The"
Adventure,47%,12/07/04,Sprung
Puzzle,75%,03/05/06,Pokemon Trozei
RPG,75%,11/06/06,Digimon World DS
Action,75%,10/07/08,"Legend of Kage 2, The"
Driving,75%,11/13/06,Asphalt: Urban GT 2
Action,75%,11/06/06,My Frogger: Toy Trials
Action,75%,11/06/05,SpongeBob Squarepants: The Yellow Avenger
Adventure,75%,10/30/06,That's So Raven: Psychic on the Scene
Sports,75%,10/02/06,FIFA 07
Fighting,75%,03/18/07,Custom Robo Arena
Action,75%,11/17/05,Viewtiful Joe Double Trouble
Puzzle,75%,02/26/07,Meteos: Disney Magic Edition
Platform,74%,02/26/06,Super Princess Peach
RPG,74%,04/02/07,Final Fantasy Fables: Chocobo Tales
Puzzle,74%,11/13/06,Gunpey
Strategy,74%,10/23/05,"Sims 2, The"
Puzzle,74%,06/04/06,Big Brain Academy
RPG,74%,08/13/07,Luminous Arc
Puzzle,75%,04/17/05,Polarium
Puzzle,76%,04/25/05,Pac-Pix
Sports,74%,10/23/06,Tony Hawk's Downhill Jam
Action,74%,08/22/05,Pac 'n Roll
Adventure,73%,01/15/07,Phoenix Wright: Ace Attorney Justice for All
Platform,73%,05/22/05,Madagascar
Puzzle,73%,12/12/05,Bust-A-Move DS
Adventure,74%,10/15/04,Feel the Magic: XY/XX
Sports,73%,04/23/06,2006 FIFA World Cup
Compilation,73%,03/26/07,Konami Classics Series: Arcade Hits
Puzzle,73%,10/15/07,Prism: Light the Way
Sports,72%,01/22/06,True Swing Golf
Shooter,72%,07/18/05,Nanostray
Platform,72%,09/18/06,Open Season
Action,72%,08/27/06,Star Fox Command
Fighting,72%,11/19/05,Dragon Ball Z: Supersonic Warriors 2
Cards,72%,04/13/05,World Championship Poker
RPG,72%,09/17/06,Pokemon Mystery Dungeon: Blue Rescue Team
Sports,72%,10/03/05,FIFA 06
Adventure,72%,09/25/05,Trace Memory
Puzzle,72%,08/29/05,Yu-Gi-Oh! Nightmare Troubadour
Adventure,71%,09/09/07,Drawn to Life
RPG,72%,09/26/05,Lost in Blue
Action,71%,10/09/06,"Legend of Spyro: A New Beginning, The"
Puzzle,73%,01/07/06,Electroplankton
RPG,70%,10/18/06,Contact
Platform,70%,09/24/06,Mario vs Donkey Kong 2: March of the Minis
RPG,70%,02/19/07,Izuna: Legend of the Unemployed Ninja
Platform,69%,10/17/05,Dig Dug: Digging Strike
RPG,70%,09/23/08,Disgaea DS
Action,70%,11/08/06,Disney's Chicken Little: Ace in Action
Puzzle,70%,TBA,PictoChat
Shooter,70%,06/12/06,Point Blank DS
Puzzle,70%,02/08/06,Finding Nemo: Escape to the Big Blue
RPG,70%,10/29/06,Pokemon Ranger
Action,70%,10/09/06,Avatar: The Last Airbender
Action,70%,06/29/09,Mega Man Star Force 3: Black Ace
Action,70%,TBA,Egg Monster Heroes
Action,70%,06/29/09,Mega Man Star Force 3: Red Joker
