Category,Common Name (Animals),Scientific Name
Bird,Acadian flycatcher,Empidonax virescens
Bird,Alder flycatcher,Empidonax alnorum
Insect,American burying beetle,Nicrophorus americanus
Bird,American coot,Fulica americana
Bird,American crow,Corvus brachyrhynchos
Fish,American eel,Anguilla rostrata
Bird,American goldfinch,Carduelis tristis
Bird,American kestrel,Falco sparverius
Bird,American redstart,Setophaga ruticilla
Bird,American robin,Turdus migratorius
Bird,American tree sparrow,Spizella arborea
Bird,American wigeon,Anas americana
Bird,American woodcock,Scolopax minor
Mussel,Asiatic clam,Corbicula fluminea
Bird,Bachman's sparrow,Aimophila aestivalis
Bird,Bald eagle,Haliaeetus leucocephalus
Bird,Baltimore oriole,Icterus galbula
Fish,Banded darter,Etheostoma zonale
Fish,Banded sculpin,Cottus carolinae
Bird,Barn owl,Tyto alba
Bird,Barn swallow,Hirundo rustica
Bird,Barred owl,Strix varia
Bird,Bay-breasted warbler,Dendroica castanea
Mammal,Beaver,Castor canadensis
Bird,Bell's vireo,Vireo bellii
Bird,Belted kingfisher,Ceryle alcyon
Bird,Bewick's wren,Thryomanes bewickii
Mammal,Big brown bat,Eptesicus fuscus
Fish,Bigeye shiner,Notropis boops
Mammal,Bison,Bison bison
Mammal,Black bear,Ursus americanus
Fish,Black bullhead,Ameiurus melas
Fish,Black crappie,Pomoxis nigromaculatus
Reptile,Black rat snake,Elaphe obsoleta obsoleta
Fish,Black redhorse,Moxostoma duquesnei
Mussel,Black sandshell,Ligumia recta
Bird,Black-and-white warbler,Mniotilta varia
Bird,Black-billed cuckoo,Coccyzus erythropthalmus
Bird,Blackburnian warbler,Dendroica fusca
Bird,Black-capped chickadee,Parus atricapillus
Bird,Black-crowned night heron,Nycticorax nycticorax
Fish,Blacknose shiner,Notropis heterolepis
Bird,Blackpoll warbler,Dendroica striata
Fish,Blackspotted topminnow,Fundulus olivaceus
Bird,Black-throated green warbler,Dendroica virens
Amphibian,Blanchard's cricket frog,Acris crepitans blanchardi
Fish,Bleeding shiner,Luxilus zonatus
Bird,Blue grosbeak,Guiraca caerulea
Bird,Blue jay,Cyanocitta cristata
Fish,Bluegill,Lepomis macrochirus
Bird,Blue-gray gnatcatcher,Polioptila caerulea
Fish,Bluestripe darter,Percina cymatotaenia
Bird,Blue-winged teal,Anas discors
Bird,Blue-winged warbler,Vermivora pinus
Fish,Bluntnose minnow,Pimephales notatus
Bird,Bobolink,Dolichonyx oryzivorus
Reptile,Broadhead skink,Eumeces laticeps
Bird,Broad-winged hawk,Buteo platypterus
Fish,Brook silverside,Labidesthes sicculus
Bird,Brown creeper,Certhia americana
Bird,Brown thrasher,Toxostoma rufum
Bird,Brown-headed cowbird,Molothrus ater
Bird,Bufflehead,Bucephala albeola
Amphibian,Bull frog,Rana catesbeiana
Reptile,Bullsnake,Pituophis melanoleucus sayi
Bird,Canada goose,Branta canadensis
Bird,Canada warbler,Wilsonia canadensis
Bird,Canvasback,Aythya valisineria
Bird,Carolina chickadee,Parus carolinensis
Bird,Carolina wren,Thryothorus ludovicianus
Bird,Caspian tern,Sterna caspia
Bird,Cattle egret,Bubulcus ibis
Amphibian,Cave salamander,Eurycea lucifuga
Bird,Cedar waxwing,Bombycilla cedrorum
Crustacean,Central Missouri cave amphipod,Allocrangonyx hubrichti
Amphibian,Central newt,Notophthalamus viridescens louisianensis
Fish,Central stoneroller,Campostoma anomalum
Bird,Cerulean warbler,Dendroica cerulea
Fish,Channel catfish,Ictalurus punctatus
Fish,Chestnut lamprey,Ichthyomyzon castaneus
Bird,Chestnut-sided warbler,Dendroica pensylvanica
Bird,Chimney swift,Chaetura pelagica
Bird,Chipping sparrow,Spizella passerina
Bird,Chuck-will's-widow,Caprimulgus carolinensis
Bird,Cliff swallow,Hirundo pyrrhonota
Fish,Common carp,Cyprinus carpio
Bird,Common goldeneye,Bucephala clangula
Bird,Common grackle,Quiscalus quiscula
Bird,Common loon,Gavia immer
Reptile,Common map turtle,Graptemys geographica
Bird,Common merganser,Mergus merganser
Bird,Common moorhen,Gallinula chloropus
Reptile,Common musk turtle,Sternotherus odoratus
Bird,Common nighthawk,Chordeiles minor
Reptile,Common snapping turtle,Chelydra serpentina serpentina
Bird,Common snipe,Gallinago gallinago
Bird,Common yellowthroat,Geothlypis trichas
