1999,2000,2001,Code,Species
X,X,,HOGR,Horned Grebe
X,X,X,PBGR,Pied-billed Grebe *
X,X,X,COLO,Common Loon
X,X,X,HERG,Herring Gull *
X,X,X,RBGU,Ring-billed Gull *
,,,FRGU,Franklin's Gull
,,X,GBBG,Greater Black-Backed Gull
X,X,X,BOGU,Bonaparte's Gull
X,X,X,CATE,Caspian Tern *
X,X,X,FOTE,Forster's Tern *
X,X,,COTE,Common Tern *
X,X,,BLTE,Black Tern *
X,X,X,DCCO,Double-crested Cormorant *
X,X,X,AWPE,American White Pelican *
X,X,X,COME,Common Merganser *
X,X,X,RBME,Red-breasted Merganser
X,X,X,HOME,Hooded Merganser *
X,X,X,MALL,Mallard *
X,X,X,ABDU,American Black Duck *
X,X,X,GADW,Gadwall *
X,X,X,AMWI,American Wigeon *
,X,,EUWI,Eurasion Wigeon
X,X,X,AGWT,Green-winged Teal *
X,X,X,BWTE,Blue-winged Teal *
X,X,X,NSHO,Northern Shoveler *
X,X,X,NOPI,Northern Pintail *
X,X,X,WODU,Wood Duck *
X,X,X,REDH,Redhead *
X,X,X,CANV,Canvasback *
X,X,X,GRSC,Greater Scaup
X,X,X,LESC,Lesser Scaup *
X,X,X,RNDU,Ring-Necked Duck
X,X,X,COGO,Common Goldeneye
X,X,X,BUFF,Bufflehead
X,,,OLDS,Oldsquaw
,X,,HARD,Harlequin Duck
X,X,,BLSC,Black Scoter
X,,,WWSC,White-winged scoter
X,X,X,RUDU,Ruddy Duck *
X,,,LSGO,"Snow Goose (Lesser, White Phase"
X,,,BLGO,"Snow Goose (Lesser, Blue Phase"
X,X,X,CAGO,Canada Goose *
X,X,X,WHSW,Tundra Swan
X,X,,AMBI,American Bittern *
,X,,LEBI,Least Bittern *
X,X,X,GBHE,Great Blue Heron *
X,X,X,GREG,Great Egret *
,X,,SNEG,Snowy Egret *
X,X,X,GRHE,Green Heron *
X,X,,BCNH,Black-crowned Night-Heron *
X,X,X,SACR,Sandhill Crane *
X,,,VIRA,Virginia Rail *
X,X,X,SORA,Sora *
X,,,COMO,Common Moorhen *
X,X,X,AMCO,American Coot *
,X,,WIPH,Wilson's Phalarope
,,,RNPH,Red-necked Phalarope
X,X,X,AMWO,American Woodcock *
X,X,X,COSN,Common Snipe *
,,X,SBDO,Short-billed Dowitcher
,,,LBDO,Long-billed Dowitcher
X,,,REKN,Red Knot
X,X,X,PESA,Pectoral Sandpiper
,,,WRSA,White-rumped Sandpiper
X,X,X,BASA,Baird's Sandpiper
X,X,X,LESA,Least Sandpiper
X,X,X,DUNL,Dunlin
X,X,X,SESA,Semipalmated Sandpiper
X,X,,SAND,Sanderling
X,,,MAGO,Marbled Godwit
,,,HUGO,Hudsonian Godwit
X,X,X,GRYE,Greater Yellowlegs
X,X,X,LEYE,Lesser Yellowlegs
X,X,X,SOSA,Solitary Sandpiper
X,,,WILL,Willet
X,X,X,SPSA,Spotted Sandpiper *
