Cover,FSK,Genre,Kommentar,Name,Status,System,Verliehen?
,12,Adventure,,Afrika (englische Version),,PS3,
,18,Action,,Alan Wake,,XBox 360,
,18,Shooter,,Alien vs. Predator,,PS3,
,16,Adventure,,Assassins Creed,,XBox 360,
,16,Action,,Assassins Creed - Brotherhood (D1 Edition),,XBox 360,
,16,Action,,Batman: Arkham Asylum (Platinum),,PS3,
,18,Shooter,,"Battlefield 3 - Limited Edition (AT, uncut)",NEU,XBox 360,
,18,Shooter,,Battlefield Bad Company 2 (Limited Edition),,PS3,
,18,Horror,,Bioshock,,PS3,
,18,Shooter,,"Bioshock 2 (UK, uncut)",,PS3,
,18,Shooter,,"Borderlands (AT, uncut)",,XBox 360,
,12,Racer,,Burnout Paradise,,XBox 360,
,12,Racing,"Crash, crash, crash",Burnout Revenge,,XBox 360,
,18,Shooter,,Call of Duty - Modern Warfare 2,,XBox 360,
,18,Shooter,,Call of Duty - World at War,,XBox 360,
,18,Shooter,,Call of Duty 2,,XBox 360,
,18,Shooter,,Call of Duty 3,,XBox 360,
,18,Shooter,,Call of Duty 4 - Modern Warfare,,XBox 360,
,6,Racing,,Colin McRae Dirt,,XBox 360,
,18,Horror,Sehr gute Athmosph?re,Condemned,,XBox 360,
,18,Horror,,Condemned 2,,XBox 360,
,18,Action,das Tor zur Halo 3 Betawelt :-),Crackdown,,XBox 360,
,18,Shooter,,"Crysis 2 - Limited Edition (AT, uncut)",,XBox 360,
,18,Horror,Zombiegemetzel at its best,Dead Rising,,XBox 360,
,18,Action,,"Dead Rising 2 (UK, uncut)",,XBox 360,
,18,Horror,,"Dead Space (englisch, uncut)",,PS3,
,12,Racing,,Driver - San Francisco,NEU,XBox 360,
,16,Action,,Enslaved,,PS3,
,16,RPG,,Fable 2,,XBox 360,
,18,RPG,,Fallout 3,,XBox 360,
,18,Shooter,,Far Cry 2,,XBox 360,
,18,Shooter,,Far Cry Instincts - Predator,,XBox 360,
,16,Sport,Boxen - Sehr gute NextGen Grafik,Fight Night Round 3,,XBox 360,
,18,Racing,Destruction Derby l?sst gr?ssen,Flatout - Ultimate Carnage (UK Version),,XBox 360,
,0,Racing,inkl. Racing Guide,Forza 2 - Limited Edition,,XBox 360,
,18,Shooter,,Gears of War,,XBox 360,
,18,Shooter,nicht in Deutschland erh?ltlich,Gears of War 2,,XBox 360,
,18,Shooter,,"Gears of War 3 (AT, uncut)",NEU,XBox 360,
,16,Shooter,Tom Clancy Serie,Ghost Recon - Advanced Warfighter,,XBox 360,
,12,Action,,Ghostbusters (englische Version),,XBox 360,
,18,Action,,God of War 3,,PS3,
,18,Action,,God of War Collection,,PS3,
,0,Racing,,Gran Turismo 3,,PS2,
,0,Racing,,Gran Turismo 4 - Prologue,,PS2,
,0,Racing,,Gran Turismo 4 (Platinum),,PS2,
,0,Racing,,Gran Turismo 5,,PS3,
,0,Racer,,Gran Turismo 5 Prologue,,PS3,
,18,Action Adventure,,GTA - Grand Theft Auto 4,,XBox 360,
,0,Musik,,Guitar Hero 3 - Legends of Rock,,XBox 360,
,0,Musik,,Guitar Hero 4 - World Tour,,XBox 360,
,0,Musik,,Guitar Hero Metallica,,XBox 360,
,16,Shooter,Einfach nur Kult,Halo 2,,XBox,
,18,Shooter,inkl. Helm :-),Halo 3,,XBox 360,
,18,Shooter,,Halo 3: ODST,,XBox 360,
,18,Shooter,,Halo Reach,,XBox 360,
,16,Adventure,,Heavy Rain,,PS3,
,18,Shooter,,Homefront,,XBox 360,
,18,Action,,InFamous,,PS3,
,18,Action,,Just Cause 2 (UK-Version),,XBox 360,
,12,Adventure / RPG,knuffig und bunt gemacht,Kameo,,XBox 360,
,18,Shooter,,Killzone 2,,PS3,
,18,Shooter,,Killzone 3,,PS3,
,0,Kinect,,Kinect Sports (Kinect),NEU,XBox 360,
,0,Kinect,,Kinect Sports 2 (Kinect),NEU,XBox 360,
,18,Adventure,,Lair (englisch),,PS3,
,6,Jump'n'Run,,Lego Indiana Jones - Die legend?ren Abenteuer,,XBox 360,
,6,Jump'n'Run,,Little Big Planet,,PS3,
,0,Jump'n'Run,,Little Big Planet 2,,PS3,
,16,Action,,Lost Planet - Extreme Condition,,XBox 360,
,18,Shooter,,Lost Planet 2,,XBox 360,
,16,S/F-RPG,,Mass Effect,,XBox 360,
,16,S/F-RPG,,Mass Effect 2,NEU,PS3,
,18,Shooter,,Medal of Honor Airborne,,XBox 360,
,16,Shooter,,Metal Gear Solid 3 - Snake Eater,,PS2,
,12,Racing,GTA Grafik Engine,Midnight Club: Los Angeles,,XBox 360,
,18,Action / Shooter,,Mirrors Edge (UK Version),,XBox 360,
,0,Racing,,Modnation Racers,,PS3,
,0,Racing,,Moto GP - Ultimate Racing Technology 2006,,XBox 360,
,12,Racing,,Motorstorm,,PS3,
,16,Racing,,Motorstorm - Apocalypse,,PS3,
,12,Racing,,Motorstorm 2 - Pacific Rift,,PS3,
,12,Racing,,Need For Speed - Hot Pursuit (Limited Edition),,XBox 360,
,6,Racing,,Need for Speed Shift,,XBox 360,
,0,Sport,,NHL 2K7,,XBox 360,
,16,Shooter,,Perfect Dark Zero,,XBox 360,
,12,Adventure,,Pirates of the Caribbean - Am Ende der Welt,,PS3,
,12,Jump'n'Run,,Prince of Persia,,PS3,
,0,Racing,,Project Gotham Racing 3,,XBox 360,
,0,Racing,,Project Gotham Racing 4,,XBox 360,
,18,Action,,"Prototype (UK, uncut)",,XBox 360,
,0,Racing,,Pure,,XBox 360,
,0,Racing,,Race Driver GRID,,XBox 360,
,18,Shooter,,"Rage - Anarchy Edition (AT, uncut)",NEU,XBox 360,
,18,Shooter,Tom Clancy Serie,Rainbow Six Vegas,,XBox 360,
,18,Shooter,,"Rainbow Six Vegas 2 (AT, uncut)",,XBox 360,
,12,Jump'n'Run,,Ratchet & Clank: Tools of Destruction,,PS3,
,18,Shooter,,Red Dead Redemption (uncut),,XBox 360,
,18,Shooter,,"Resident Evil 5 (UK, uncut)",,XBox 360,
,18,Shooter,,Resistance - Fall of Man,,PS3,JA!
,18,Shooter,,Resistance 2,,PS3,
,0,Racing,Driften was das Zeug h?lt,Ridge Racer 6,,XBox 360,
,0,Musik,,Rock Band - Beatles,,XBox 360,
,0,Musik,,Rockband,,XBox 360,
,0,Musik,,Rockband 2,,XBox 360,
,0,Racing,,Shift 2 - Unleashed,,XBox 360,
,0,Musik,,SingStar ABBA,,PS3,
,0,Musik,,SingStar Queen (Standalone),,PS3,
,16,Shooter,Tom Clancy Serie,Splinter Cell - Double Agent,,XBox 360,
,18,Shooter,,Splinter Cell Conviction (UK Version),,XBox 360,
,0,Racing,"Eine komplette Hawaii Insel zum durchfahren, unendlicher Spielspa?",Test Drive Unlimited,,XBox 360,
,6,Racing,Open World Racing auf Ibiza und Hawaii,Test Drive Unlimited 2,,XBox 360,
,0,Sport,,Tischtennis,,XBox 360,
,16,Action / Shooter,,Tomb Raider - Legend,,XBox 360,
,12,Action / Shooter,,Tomb Raider: Underworld,,XBox 360,
,16,Action / Shooter,,Uncharted 2: Among Thieves,,PS3,
,16,Action / Shooter,,Uncharted 3,NEU,PS3,
,0,Racing,,WRC - World Rally Championship,,XBox 360,
