#,Catholics,Country,Diocesan Priests,Dioceses,Female Religious,Male Religious,Parishes,Percent Catholic,Permanent Deacons,Population,Religious Priests,Total Priests
1,"145,446,000",Brazil,"9,951",268,"32,827","13,282","9,222",78.95%,"1,456","184,227,000","6,902","16,853"
2,"123,393,000",M?xico,"11,016",90,"29,051","6,509","6,101",86.67%,744,"142,364,000","3,602","14,618"
3,"69,630,000",Philippines,"5,037",86,"12,102","5,694","2,909",81.03%,11,"85,930,000","2,298","7,335"
4,"64,621,000",USA,"30,207",194,"71,250","21,698","19,081",22.63%,"14,362","285,538,000","14,699","44,906"
5,"57,665,000",Italy,"32,974",225,"102,089","23,719","25,694",96.55%,"2,850","59,725,000","17,174","50,148"
6,"44,499,000",France,"17,238",98,"42,442","8,361","18,844",75.54%,"1,857","58,905,000","4,692","21,930"
7,"38,406,000",Colombia,"5,661",75,"15,178","4,163","3,831",86.29%,278,"44,508,000","2,259","7,920"
8,"37,165,000",Spain,"16,920",70,"52,243","13,364","22,680",87.79%,176,"42,335,000","7,944","25,281"
9,"35,010,000",Poland,"22,556",44,"23,967","9,356","10,421",94.34%,3,"37,109,000","5,901","28,457"
10,"34,480,000",Argentina,"3,577",69,"9,070","3,385","2,642",89.25%,626,"38,631,000","2,071","5,648"
11,"29,500,000",Congo (Dem. Rep.),"2,671",47,"7,883","3,649","1,258",49.75%,,"59,293,000","1,635","4,306"
12,"28,160,000",Peru,"1,502",45,"5,589","2,569","1,421",87.78%,57,"32,079,000","1,267","2,769"
13,"26,297,000",Germany,"14,323",29,"31,811","5,875","12,488",31.79%,"2,494","82,727,000","4,042","18,365"
14,"24,815,000",Venezuela,"1,493",38,"3,775","1,628","1,256",87.82%,138,"28,256,000","1,064","2,557"
15,"17,906,000",Nigeria,"3,678",50,"3,716","1,938","2,041",14.38%,6,"124,517,000",759,"4,437"
16,"17,005,000",India,"11,437",149,"82,348","17,352","8,583",1.55%,8,"1,098,096,000","8,509","19,946"
17,"13,070,000",Canada,"5,296",71,"19,880","5,181","4,865",44.30%,902,"29,503,000","3,145","8,441"
18,"11,749,000",Ecuador,"1,076",24,"4,617","1,381","1,208",89.60%,74,"13,112,000",721,"1,797"
19,"11,219,000",Uganda,"1,253",19,"2,989","1,183",436,42.28%,2,"26,537,000",331,"1,584"
20,"11,021,000",Chile,"1,177",27,"5,086","1,984",931,71.16%,685,"15,488,000","1,155","2,332"
21,"10,465,000",Tanzania,"1,441",30,"7,591","1,745",847,26.69%,1,"39,204,000",699,"2,140"
22,"10,304,000",Guatemala,430,14,"2,645","1,040",448,76.59%,7,"13,453,000",641,"1,071"
23,"10,302,000",Angola,336,16,"1,731",723,271,50.04%,1,"20,589,000",293,629
24,"9,457,000",Portugal,"3,000",21,"5,963","1,376","4,395",90.41%,147,"10,460,000",936,"3,936"
25,"8,253,000",Bolivia,482,18,"2,563","1,130",583,84.76%,83,"9,737,000",631,"1,113"
26,"8,039,000",Dominican Republic,424,12,"1,723",605,569,86.03%,363,"9,344,000",454,878
27,"8,018,000",Kenya,"1,083",26,"3,747","2,204",708,24.83%,1,"32,296,000",814,"1,897"
28,"7,775,000",Belgium,"4,410",9,"13,288","3,971","3,949",75.54%,558,"10,292,000","2,869","7,279"
29,"6,743,000",Ha?ti,400,9,"1,789",682,296,65.36%,4,"10,316,000",291,691
30,"6,439,000",Indonesia,"1,317",37,"7,372","4,146","1,130",3.15%,13,"204,229,000","1,721","3,038"
31,"6,330,000",Cuba,180,11,650,152,290,50.46%,60,"12,544,000",119,299
32,"6,056,000",Hungary,"1,845",16,"1,237",483,"2,221",58.22%,52,"10,402,000",330,"2,175"
33,"5,790,000",Honduras,203,8,779,243,182,79.45%,1,"7,288,000",214,417
34,"5,755,000",Austria,"2,629",12,"5,220","2,374","3,058",72.10%,425,"7,982,000","1,731","4,360"
35,"5,658,000",Vi?t Nam,"2,194",25,"11,443","2,793","2,228",6.87%,11,"82,312,000",474,"2,668"
36,"5,436,000",El Salvador,469,9,"1,491",344,418,76.09%,4,"7,144,000",238,707
37,"5,239,000",Australia,"1,943",32,"6,876","2,138","1,378",27.81%,53,"18,841,000","1,172","3,115"
38,"5,239,000",Paraguay,333,15,"2,127","1,011",374,91.56%,112,"5,722,000",766,"1,099"
39,"5,212,000",Nicaragua,296,8,"1,028",219,252,81.63%,27,"6,385,000",123,419
40,"5,042,000",Netherlands,"1,387",8,"9,128","3,383","1,520",31.28%,310,"16,117,000","2,031","3,418"
41,"4,787,000",Great Britain,"4,031",32,"7,109","2,177","3,099",8.51%,612,"56,276,000","1,622","5,653"
42,"4,766,000",Ukraine,"2,348",19,"1,095",665,"4,026",7.34%,11,"64,915,000",411,"2,770"
43,"4,701,000",Madagascar,498,20,"3,930","1,494",314,23.42%,,"20,072,000",645,"1,143"
44,"4,567,000",Burundi,340,7,"1,093",302,132,65.25%,,"6,999,000",95,435
45,"4,377,000",Korea (South),"2,672",18,"8,397","1,472","1,366",8.86%,,"49,409,000",539,"3,211"
46,"4,314,000",Mozambique,186,12,979,536,280,22.33%,1,"19,318,000",312,498
47,"4,287,000",Cameroon,902,23,"1,958","1,019",740,25.06%,16,"17,109,000",504,"1,406"
48,"4,161,000",Ireland,"3,097",26,"8,088","2,460","1,312",76.11%,1,"5,467,000","1,593","4,690"
49,"4,133,000",Rwanda,413,9,"1,390",331,138,47.92%,,"8,625,000",124,537
50,"4,019,000",Sudan,269,9,343,167,195,9.13%,4,"44,028,000",95,364
51,"3,942,000",Slovakia,"2,037",9,"3,018",996,"1,507",73.07%,20,"5,395,000",591,"2,628"
52,"3,867,000",Croatia,"1,496",15,"3,288","1,018","1,603",73.53%,1,"5,259,000",833,"2,329"
53,"3,763,000",Costa Rica,549,8,948,327,307,83.38%,3,"4,513,000",212,761
54,"3,519,000",Czech Republic,"1,376",9,"1,935",798,"3,139",34.22%,152,"10,284,000",620,"1,996"
