Director,Length,Matting,Media Type,Title,Writer,Year
Gil Junger,97,Widescreen,DVD,10 Things I Hate About You,Karen McCullah Lutz,1999
Sidney Lumet,96,Widescreen,DVD,12 Angry Men,Reginald Rose,1957
John Singleton,107,Fullscreen,DVD,2 Fast 2 Furious,Michael Brandt,2003
Stanley Kubrick,145,Widescreen,DVD,2001: A Space Odyssey,Arthur C. Clarke,1968
NBC Sports,139,Widescreen,DVD,2008 NHL Winter Classic,N/A,2008
Jon Turteltaub,84,Widescreen,DVD,3 Ninjas,Edward Emanuel,1992
Magnus Carlsson,34,Fullscreen,DVD,7 Television Commercials,Thom Yorke,1998
Julie Taymor,133,Widescreen,Blu-Ray,Across the Universe,Dick Clement,2007
Milos Forman,180,Widescreen,Blu-Ray,Amadeus,Peter Shaffer,1984
Sam Mendes,122,Widescreen,DVD,American Beauty,Alan Ball,1999
Tony Kaye,119,Widescreen,DVD,American History X,David McKenna,1998
Ron Howard,140,Widescreen,DVD,Apollo 13,"William Broyles, Jr.",1995
Paul Provenza,89,Fullscreen,DVD,"Aristocrats, The",N/A,2005
Christopher Nolan,140,Widescreen,Blu-Ray,Batman Begins,Christopher Nolan,2005
Leslie H. Martinson,105,Widescreen,DVD,Batman the Movie,"Lorenzo Semple, Jr.",1966
Michel Gondry,102,Widescreen,Blu-Ray,Be Kind Rewind,Michel Gondry,2008
Dennis Dugan,93,Widescreen,DVD,Big Daddy,Steve Franks,1999
Tim Burton,125,Widescreen,DVD,Big Fish,John August,2003
Joel Coen,118,Widescreen,DVD,"Big Lebowski, The",Ethan Coen,1998
Tamra Davis,89,Widescreen,DVD,Billy Madison,Tim Herlihy,1995
Mike Nichols,119,Both,DVD,"Birdcage, The",Elaine May,1996
Ridley Scott,144,Widescreen,DVD,Black Hawk Down,Ken Nolan,2001
Daniel Myrick,86,Fullscreen,DVD,"Blair Witch Project, The",Eduardo Sanchez,1999
Mel Brooks,93,Widescreen,Blu-Ray,Blazing Saddles,Mel Brooks,1974
Edward Zwick,143,Widescreen,Blu-Ray,Blood Diamond,Charles Leavitt,2006
Blue Man Group,64,Fullscreen,DVD,Blue Man Group Audio,Blue Man Group,1999
Larry Charles,84,Widescreen,DVD,Borat,Sacha Baron Cohen,2006
Doug Liman,119,Widescreen,Blu-Ray,"Bourne Identity, The",Tony Gilroy,2002
Paul Greengrass,109,Widescreen,Blu-Ray,"Bourne Supremacy, The",Tony Gilroy,2004
Paul Greengrass,116,Widescreen,Blu-Ray,"Bourne Ultimatum, The",Tony Gilroy,2007
Michael Moore,120,Widescreen,DVD,Bowling for Columbine,Michael Moore,2002
Terry Gilliam,142,Widescreen,DVD,Brazil,Terry Gilliam,1985
Kevin Dunn,540,Fullscreen,DVD,"Bret ""Hitman"" Hart",N/A,2005
Michael Curtiz,103,Fullscreen,DVD,Casablanca,Julius J. Epstein,1943
Martin Campbell,144,Widescreen,Blu-Ray,Casino Royale,Neal Purvis,2006
Kevin Smith,111,Widescreen,DVD,Chasing Amy,Kevin Smith,1997
Rob Marshall,113,Widescreen,DVD,Chicago,Bill Condon,2002
Alfonso Cuar?n,110,Widescreen,Blu-Ray,Children of Men,Alfonso Cuar?n,2006
Bob Clark,94,Widescreen,Blu-Ray,"Christmas Story, A",Jean Shepherd,1983
Orson Welles,119,Fullscreen,DVD,Citizen Kane,Herman J. Mankiewicz,1941
Steven Zaillian,112,Widescreen,DVD,"Civil Action, A",Steven Zaillian,1998
Kevin Smith,92,Widescreen,DVD,Clerks,Kevin Smith,1994
Paul Flaherty,90,Fullscreen,DVD,Clifford,Jay Dee Rock,1994
Jean Louis Maurey,5,Fullscreen,DVD,Climb Dance,N/A,1989
Stanley Kubrick,137,Widescreen,DVD,"Clockwork Orange, A",Stanley Kubrick,1971
Mike Nichols,104,Widescreen,DVD,Closer,Patrick Marber,2004
Derick Allsop,89,Widescreen,DVD,Colin McRae - Rally Legend,N/A,2007
Paul Haggis,115,Widescreen,DVD,Crash,Paul Haggis,2005
Karen Disher,748,Fullscreen,DVD,Daria - Volume 1,Glenn Eichler,1997
Karen Disher,604,Fullscreen,DVD,Daria - Volume 2,Glenn Eichler,1997
Christopher Nolan,153,Widescreen,Blu-Ray,"Dark Knight, The",Jonathan Nolan,2008
Tony Scott,107,Widescreen,DVD,Days of Thunder,Robert Towne,1990
Peter Weir,129,Widescreen,DVD,Dead Poets Society,Tom Schulman,1989
Tony Scott,130,Widescreen,Blu-Ray,Deja Vu,Bill Marsilii,2006
Jay Karas,42,Fullscreen,DVD,Demetri Martin. Person.,Demetri Martin,2007
Martin Scorsese,151,Widescreen,DVD,"Departed, The",William Monahan,2006
Taylor Hackford,144,Widescreen,DVD,Devil's Advocate,Jonathan Lemkin,1997
Kevin Smith,130,Both,DVD,Dogma,Kevin Smith,1999
Richard Kelly,133,Widescreen,DVD,Donnie Darko,Richard Kelly,2001
John Patrick Shanley,103,Widescreen,Blu-Ray,Doubt,John Patrick Shanley,2008
Joss Whedon,42,Widescreen,DVD,Dr. Horrible's Sing-Along Blog,Maurissa Tancharoen,2009
Stanley Kubrick,90,Fullscreen,DVD,Dr. Strangelove,Peter George,1964
Ate de Jong,103,Fullscreen,DVD,Drop Dead Fred,Carlos Davis,1991
Tim Burton,105,Widescreen,Blu-Ray,Edward Scissorhands,Caroline Thompson,1990
Seth Kearsley,76,Both,DVD,Eight Crazy Nights,Brooks Arthur,2002
Jean-Jacques Annaud,131,Widescreen,DVD,Enemy at the Gates,Alain Godard,2001
Barry Levinson,99,Both,DVD,Envy,Steve Adams,2004
ESPN,48,Fullscreen,DVD,ESPN SportsCentury: Wayne Gretzky,Mike Strom,2000
Michel Gondry,108,Widescreen,DVD,Eternal Sunshine of the Spotless Mind,Charlie Kaufman,2004
Joel Schumacher,113,Both,DVD,Falling Down,Ebbe Roe Smith,1993
Joel Coen,98,Widescreen,DVD,Fargo,Ethan Coen,1996
Justin Lin,107,Widescreen,Blu-Ray,Fast & Furious,Chris Morgan,2009
Rob Cohen,106,Widescreen,DVD,"Fast and the Furious , The",Gary Scott Thompson,2001
Terry Gilliam,118,Widescreen,DVD,Fear and Loathing in Las Vegas,Terry Gilliam,1998
John Hughes,102,Widescreen,DVD,Ferris Bueller's Day Off,John Hughes,1986
Rob Reiner,138,Widescreen,DVD,"Few Good Men , A",Aaron Sorkin,1992
David Fincher,139,Widescreen,DVD,Fight Club,Jim Uhls,1999
Gus Van Sant,136,Widescreen,DVD,Finding Forrester,Mike Rich,2000
Marc Forster,106,Widescreen,DVD,Finding Neverland,David Magee,2004
Robert Zemeckis,142,Widescreen,DVD,Forrest Gump,Eric Roth,1994
Quentin Tarantino,98,Widescreen,DVD,Four Rooms,Allison Anders,1995
Jake Kasdan,360,Fullscreen,DVD,Freaks and Geeks - Volume 1,Paul Feig,1999
Jake Kasdan,360,Fullscreen,DVD,Freaks and Geeks - Volume 2,Paul Feig,1999
Jake Kasdan,360,Fullscreen,DVD,Freaks and Geeks - Volume 3,Paul Feig,1999
Stanley Kubrick,116,Widescreen,Blu-Ray,Full Metal Jacket,Gustav Hasford,1987
Richard Attenborough,188,Widescreen,Blu-Ray,Gandhi,John Briley,1982
Martin Scorsese,166,Widescreen,DVD,Gangs of New York,Jay Cocks,2002
Zach Braff,109,Widescreen,DVD,Garden State,Zach Braff,2004
James Foley,100,Both,DVD,Glengarry Glen Ross,David Mamet,1992
Francis Ford Coppola,175,Widescreen,DVD,"Godfather, The",Mario Puzo,1972
Dominic Sena,117,Widescreen,DVD,Gone in Sixty Seconds,Scott Rosenberg,2000
Victor Fleming,238,Fullscreen,DVD,Gone with the Wind,Sidney Howard,1939
Robert De Niro,168,Widescreen,DVD,"Good Shepherd, The",Eric Roth,2006
Gus Van Sant,126,Widescreen,DVD,Good Will Hunting,Ben Affleck,1997
Martin Scorsese,145,Widescreen,DVD,Goodfellas,Nicholas Pileggi,1990
Clint Eastwood,116,Widescreen,Blu-Ray,Gran Torino,Nick Schenk,2008
John Frankenheimer,179,Widescreen,DVD,Grand Prix,Robert Alan Aurthur,1966
Michael Rose,90,Fullscreen,DVD,Great Cars: Porsche,Michael Rose,2004
Jack Clayton,144,Widescreen,DVD,"Great Gatsby, The",Francis Ford Coppola,1974
Harold Ramis,101,Widescreen,DVD,Groundhog Day,Danny Rubin,1993
Iain Softley,107,Widescreen,DVD,Hackers,Rafael Moreu,1995
Dennis Dugan,92,Widescreen,DVD,Happy Gilmore,Tim Herlihy,1996
Gregory Hoblit,125,Widescreen,Blu-Ray,Hart's War,Billy Ray,2002
Michael Dinner,104,Widescreen,DVD,Heaven Help Us,Charles Purpura,1985
Stephen Frears,113,Widescreen,DVD,High Fidelity,D. V. DeVincentis,2000
David O. Russell,106,Both,DVD,I Heart Huckabees,David O. Russell,2004
Paul Haggis,121,Widescreen,Blu-Ray,In the Valley of Elah,Paul Haggis,2007
Karen Disher,66,Fullscreen,DVD,Is It College Yet?,Glenn Eichler,2002
Karen Disher,75,Fullscreen,DVD,Is It Fall Yet?,Glenn Eichler,2000
