Player (2011 Ws),Rank,W
Cy Young?,1,511
Walter Johnson?,2,417
Grover Cleveland Alexander?,3,373
Christy Mathewson?,,373
Pud Galvin?,5,365
Warren Spahn?,6,363
Kid Nichols?,7,361
Greg Maddux,8,355
Roger Clemens,9,354
Tim Keefe?,10,342
Steve Carlton?,11,329
John Clarkson?,12,328
Eddie Plank?,13,326
Nolan Ryan?,14,324
Don Sutton?,,324
Phil Niekro?,16,318
Gaylord Perry?,17,314
Tom Seaver?,18,311
Charley Radbourn?,19,309
Mickey Welch?,20,307
Tom Glavine,21,305
Randy Johnson,22,303
Lefty Grove?,23,300
Early Wynn?,,300
Bobby Mathews,25,297
Tommy John,26,288
Bert Blyleven?,27,287
Robin Roberts?,28,286
Ferguson Jenkins?,29,284
Tony Mullane,,284
Jim Kaat,31,283
Red Ruffing?,32,273
Burleigh Grimes?,33,270
Mike Mussina,,270
Jim Palmer?,35,268
Jamie Moyer,36,267
Bob Feller?,37,266
Eppa Rixey?,,266
Jim McCormick,39,265
Gus Weyhing,40,264
Ted Lyons?,41,260
Red Faber?,42,254
Jack Morris,,254
Carl Hubbell?,44,253
Al Spalding?,,253
Bob Gibson?,46,251
Vic Willis?,47,249
Jack Quinn,48,247
Joe McGinnity?,49,246
Dennis Mart?nez,50,245
Jack Powell,,245
Amos Rusie?,,245
Juan Marichal?,53,243
Herb Pennock?,54,240
Andy Pettitte,,240
Frank Tanana,,240
Mordecai Brown?,57,239
David Wells,,239
Clark Griffith?,59,237
Waite Hoyt?,,237
Whitey Ford?,61,236
Tommy Bond,62,234
Charlie Buffinton,63,233
Sad Sam Jones,64,229
Luis Tiant,,229
Will White,,229
George Mullin,67,228
Jim Bunning?,68,224
Catfish Hunter?,,224
Paul Derringer,70,223
Mel Harder,,223
Hooks Dauss,72,222
Jerry Koosman,,222
Joe Niekro,74,221
Jerry Reuss,75,220
Pedro Mart?nez,76,219
Kenny Rogers,,219
Bob Caruthers,78,218
Earl Whitehill,,218
Freddie Fitzsimmons,80,217
Mickey Lolich,,217
Wilbur Cooper,82,216
Charlie Hough,,216
Curt Schilling,,216
Stan Coveleski?,85,215
Jim Perry,,215
Rick Reuschel,87,214
John Smoltz,88,213
Chief Bender?,89,212
Kevin Brown,90,211
Bobo Newsom,,211
Billy Pierce,,211
Bob Welch,,211
Jesse Haines?,94,210
Vida Blue,95,209
Don Drysdale?,,209
Milt Pappas,,209
Eddie Cicotte,98,208
Bob Lemon?,99,207
Carl Mays,,207
Hal Newhouser?,,207
Orel Hershiser,102,204
Al Orth,,204
Lew Burdette,104,203
Silver King,,203
Jack Stivetts,,203
Rube Marquard?,107,201
Charley Root,,201
Chuck Finley,109,200
George Uhle,,200
Tim Wakefield (7),,200
Jack Chesbro?,112,198
Bucky Walters,,198
Dennis Eckersley?,114,197
Larry French,,197
Bob Friend,,197
Jesse Tannehill,,197
Adonis Terry,,197
Dazzy Vance?,,197
Claude Osteen,120,196
Bob Shawkey,,196
Joe Bush,122,195
Ed Walsh?,,195
Babe Adams,124,194
Doyle Alexander,,194
Tommy Bridges,,194
David Cone,,194
Dwight Gooden,,194
Larry Jackson,,194
Sam Leever,,194
Dolf Luque,,194
Wes Ferrell,132,193
Curt Simmons,,193
Rube Waddell?,,193
Lon Warneke,135,192
Dutch Leonard,136,191
Jim Whitney,,191
Lefty Gomez?,138,189
Deacon Phillippe,,189
Doc White,,189
Roy Halladay (19),141,188
Lee Meadows,,188
Rick Wise,,188
Brickyard Kennedy,144,187
Urban Shocker,,187
Bill Donovan,146,186
Jimmy Key,,186
Tom Zachary,,186
Mike Cuellar,149,185
Mike Torrez,,185
Dave McNally,151,184
Art Nehf,,184
Red Ames,153,183
Bill Hutchinson,,183
Ed Reulbach,155,182
Allie Reynolds,,182
Tim Hudson (16),157,181
Mark Langston,158,179
Hippo Vaughn,159,178
John Candelaria,160,177
Larry Corcoran,,177
Virgil Trucks,,177
Guy Bush,163,176
Frank Dwyer,,176
CC Sabathia (19),,176
Dave Stieb,,176
Frank Viola,,176
Chick Fraser,168,175
