Born - Died,Cause of Death,Emperor,Reign as Emperor,Succession
63 BC - 14 AD,Natural causes.,Augustus,27 BC - 14 AD,Became de facto emperor as a result of the 'first settlement' between himself and the Roman Senate.
42 BC - 37AD,"Probably old age, possibly assassinated",Tiberius,14 AD - 37 AD,Son of Augustus's wife Liia by a previous marriage; adopted son of Augustus.
12 AD - 41 AD,Assassinated in a conspiracy involving senators and Praetorian Guards.,Caligula,37 AD - 41 AD,Son of Tiberius's nephew Germanicus.
10 BC - 54 AD,"Probably poisoned by his wife Agrippina the Younger, in favour of her son Nero.",Claudius,41 AD - 54 AD,"Nephew of Tiberius, brother of Germanicus and uncle of Caligula; proclaimed emperor by the Praetorian Guard."
37 AD - 68 AD,Committed suicide after being declared a public enemy by the Senate.,Nero,54 AD - 68 AD,"Grandson of Germanicus, step and adopted son of Claudius."
3 BC - 69 AD,Murdered by Praetorian Guard,Galba,68 AD - 69 AD,"Seized power after Nero's suicide, with support of the Spanish legions"
32 AD - 69 AD,Committed suicide after losing Battle of Bedriacum to Vitellius,Otho,69 AD - 69 AD,Appointed by Praetorian Guard
15 AD - 69 AD,Murdered by Vespasian's troops,Vitellius,69 AD - 69 AD,Seized power with support of German Legions (in opposition to Galba/Otho)
9 AD - 79 AD,Natural causes,Vespasian,69 AD - 79 AD,Seized power with the support of the eastern Legions (in opposition to Vitellius)
39 AD - 81 AD,Natural causes (Plague),Titus,79 AD - 81 AD,Son of Vespasian
51 AD - 96 AD,Assassinated by court officials,Domitian,81 AD - 96 AD,Son of Vespasian
30 AD,Natural causes,Nerva,96 AD - 98 AD,Appointed by the Senate
53 AD - 117 AD,Natural causes,Trajan,98 AD - 117 AD,Adopted son and heir of Nerva
76 AD - 138 AD,Natural causes,Hadrian,117 AD - 138 AD,Adopted son and heir of Trajan
86 AD - 161 AD,Natural causes,Antoninus Pius,138 AD - 161 AD,Adopted son and heir of Hadrian
130 AD - 169 AD,Natural causes (Plague),Lucius Verus,161 AD - 169 AD,Adopted son and heir of Antoninus Pius; Co-emperor with Marcus Aurelius until death
121 AD - 180 AD,Natural causes,Marcus Aurelius,161 AD - 180 AD,Adopted son and heir of Antoninus Pius; Co-emperor with Lcius Verus until 169 AD
161 AD - 192 AD,"Assassinated in palace, strangled to death",Commodus,177 AD - 192 AD,Natural son of Marcus Aurelius; joint emperor from 177 AD
126 AD - 193 AD,Murdered by Praetorian Guard,Pertinax,193 AD - 193 AD,Proclaimed emperor by Praetorian Guard
133 or 137 AD - 193 AD,Executed on orders of the Senate,Didius Julianus,193 AD - 193 AD,Won auction held by the Praetorian Guard for the position of emperor
145 AD - 211 AD,Natural causes,Septimius Severus,193 AD - 211 AD,Seized power with support of Pannonian legionsa
188 AD - 217 AD,Murdered by a soldier; probably as part of a conspiracy involving Macrinus,Caracalla,198 AD - 217 AD,Son of Septimius Severus; co-emperor with Severus from 198 AD; with Severus and Geta from 209 AD until February 211 AD; co-emperor with Geta until December 211 AD
189 AD - 211 AD,Murdered on the orders of Caracalla,Geta,209 AD - 211 AD,Son of Septimius Severus; co-emperor with Severus and Caracalla from 209 AD until February 211 AD; co-emperor with Caracalla until December 211 AD
c. 165 AD - 218 AD,Both executed in favour of Elagabalus,Macrinus with Diadumenian,217 AD - 218 AD,"Praetorian Prefect to Caracalla, probably conspired to have Caracalla murdered and proclaimed himself emperor after Caracalla's death; appointed his son Diadumenian junior emperor in May 217"
c. 203 AD - 222 AD,Murdered by Praetorian Guard,Elagabalus,218 AD - 222 AD,"Grandson of Septimius Severus's sister-in-law, alleged illegitimate son of Caracalla; proclaimed emperor by Syrian legions"
08 AD - 235 AD,Murdered by the army,Alexander Severus,222 AD - 235 AD,"Grandson of Septimius Severus's sister-in-law, cousin and adoptive heir of Elagabalus"
c.173 AD - 238 AD,Assassinated by Praetorian Guard,Maximinus Thrax,235 AD - 238 AD,Proclaimed emperor by German legions after the murder of Alexander Severus
c.159 AD - 238 AD,Committed suicide upon hearing of the death of Gordian II.,Gordian I,238 AD - 238 AD,"Proclaimed emperor, whilst Pro-consul in Africa, during a revolt against Maximinus. Ruled jointly with his son Gordian II, and in opposition to Maximinus. Technically a usurper, but retrospectively legitimised by the accession of Gordian III"
"c.192 AD, ? - 238 AD","Killed during the Battle of Carthage, fighting a pro-Maximinus army",Gordian II,238 AD - 238 AD,"Proclaimed emperor, alongside father Gordian I, in opposition to Maximinus. Technically a usurper, but retrospectively legitimised by the accession of Gordian III"
"c. 178 AD, ?",Assassinated by the Praetorian Guard,Pupienus Maximus,238 AD - 238 AD,Proclaimed joint emperor with Balbinus by the Senate in opposition to Maximinus; later co-emperor with Balbinus and Gordian III
? - 238 AD,Assassinated by Praetorian Guard,Balbinus,238 AD - 238 AD,"Proclaimed joint emperor with Pupienus by the Senate after death of Gordian I & II, in opposition to Maximinus; later co-emperor with Pupienus and Gordian III"
225 AD - 244 AD,Unknown; possibly murdered on orders of Philip the Arab,Gordian III,238 AD - 244 AD,"Proclaimed emperor by supporters of Gordian I & II, then by the Senate; joint-emperor with Pupienus and Balbinus until July 238 AD."
c. 204 AD - 249 AD,"Killed in battle against Decius, near Verona",Philip the Arab,244 AD - 249 AD,"Praetorian Prefect to Gordian III, took power after his death"
c. 201 AD - 251 AD,Both killed in the Battle of Abrittus fighting against the Goths,Decius with Herennius Etruscus,249 AD - 251 AD,Governor under Philip the Arab; proclaimed emperor by Danubian legions and defeated Philip in battle; made his son Herennius Etruscus co-emperor in early 251 AD
unknown - 251 AD,Natural causes (Plague),Hostilian,251 AD - late 251 AD,"Son of Decius, accepted as heir by the Senate"
206 AD - 253 AD,"Assassinated by their own troops, in favour of Aemilianus",Trebonianus Gallus with Volusianus,251 AD - 253 AD,"Governor of Moesia Superior, proclaimed emperor by Danubian legions after Decius's death (and in opposition to Hostilian); made his son Volusianus co-emperor in late 251 AD."
c. 207 AD - 253 AD,"Assassinated by his own troops, in favour of Valerian",Aemilianus,253 AD - 253 AD,"Governor of Moesia Superior, proclaimed emperor by Danubian legions after defeating the Goths; accepted as emperor after death of Gallus"
c. 200 AD - 260 AD,"Captured in Battle of Edessa against Persians, died in captivity",Valerian,253 AD - 260 AD,"Governor of Noricum and Raetia, proclaimed emperor by Rhine legions after death of Gallus; accepted as emperor after death of Aemilianus"
? - 268 AD,Murdered in unclear circumstances,Gallienus,253 AD - 268 AD,"Son of Valerian, made co-emperor in 253 AD"
213 AD/214 AD - 270 AD,Natural causes (Plague),Claudius Gothicus,268 AD - 270 AD,"Victorious general at Battle of Naissus, seized power after Gallienus's death"
? - 270 AD,Unclear; possibly suicide or murder,Quintilus,270 AD - 270 AD,"Brother of Claudius Gothicus, seized power after his death"
214 AD/215 AD - 275 AD,Assassinated by Praetorian Guard,Aurelian,(?) 270 AD - 275 AD,"Proclaimed emperor by Danubian legions after Claudius Gothicus's death, in opposition to Quintillus"
? - 276 AD,Natural causes (possibly assassinated),Tacitus,275 AD - 276 AD,"Elected by the Senate to replace Aurelian, after a short interregnum"
? - 276 AD,"Assassinated by his own troops, in favour of Probus",Florianus,AD - 276 AD,"Possibly half-brother of Tacitus, elected by the army in the west to replace him"
232 AD - 282 AD,"Assassinated by his own troops, in favour of Carus",Probus,276 AD - r 282 AD,"Governor of the eastern provinces, proclaimed emperor by Danubian legions in opposition to Florianus"
c. 230 AD - 283 AD,Natural causes? (Possibly killed by lightning),Carus,282 AD - 283 AD,Praetorian Prefect to Probus; seized power either before or after Probus was murdered
? - 284 AD,Unclear; possibly assassinated,Numerian,283 AD - 284 AD?,"Son of Carus, succeeded him jointly with his brother Carinus"
? - 285 AD,Died in battle against Diocletian?,Carinus,283 AD - 285 AD,"Son of Carus, succeeded him jointly with his brother Numerian"
