Dauer,Etagen,Geb?udename,H?he,Stadt
2007 - Heute,163,Burj Khalifa,828 m,Dubai
2004 - 2007,101,Taipei 101,509 m,Taipei
1998 - 2004,88,Petronas Towers,452 m,Kuala Lumpur
1974 - 1998,108,Willis Tower,442 m,Chicago
1972 - 1974,110,World Trade Center,417 m,New York City
1931 - 1972,102,Empire State Building,381 m,New York City
1930 - 1931,77,Chrysler Building,319 m,New York City
1930 - 1930,70,The Trump Building,283 m,New York City
1913 - 1930,57,Woolworth Building,241 m,New York City
1909 - 1913,50,Metropolitan Life Tower,213 m,New York City
1908 - 1909,47,Singer Building,187 m,New York City
1901 - 1908,9,Philadelphia City Hall,167 m,Philadelphia
