Date,Director,Movie,Year
,,,
2012-01-23,Derek Cianfrance,Blue Valentine,2010
2012-01-21,Giorgos Lanthimos,Dogtooth,2009
2012-01-20,Peter Chelsom,Serendipity,2001
2012-01-19,Tomas Alfredson,Tinker Tailor Soldier Spy,2011
2012-01-15,Antonio Negret,Transit,2012
2012-01-14,Terrence Malick,The Tree of Life,2011
2012-01-12,Daniel Alfredson,The Girl Who Played with Fire,2009
2012-01-11,Niels Arden Oplev,The Girl with the Dragon Tattoo,2009
2012-01-10,Brad Bird,Mission: Impossible - Ghost Protocol,2011
2012-01-08,David Slade,30 Days of Night,2007
2012-01-07,James Bobin,The Muppets,2011
2012-01-07,Jannicke Systad Jacobsen,"Turn Me On, Dammit!",2011
2012-01-05,Jason Reitman,Young Adult,2011
2012-01-03,Mark Romanek,Never Let Me Go,2010
2012-01-02,John Michael McDonagh,The Guard,2011
2011-12-30,Nick Cassavetes,The Notebook,2004
2011-12-28,Michael Lehmann,Heathers,1988
2011-12-23,William Friedkin,The French Connection,1971
2011-12-17,Nicolas Winding Refn,Drive,2011
2011-12-16,Brian Henson,The Muppet Christmas Carol,1992
2011-12-11,Will Gluck,Friends with Benefits,2011
2011-12-10,Cameron Crowe,Pearl Jam Twenty,2011
2011-12-08,Gareth Edwards,Monsters,2010
2011-12-06,Tomas Alfredson,Let the Right One In,2008
2011-12-04,Lars von Trier,Melancholia,2011
2011-11-29,Richard Ayoade,Submarine,2010
2011-11-27,James Frawley,The Muppet Movie,1979
2011-11-26,Jesse Peretz,Our Idiot Brother,2011
2011-11-23,Glenn Ficarra & John Requa,"Crazy, Stupid, Love.",2011
2011-11-21,Joe Wright,Hanna,2011
2011-11-18,Pedro Almod?var,The Skin I Live In,2011
2011-10-27,Bennett Miller,Moneyball,2011
2011-10-19,Jonathan Levine,50/50,2011
2011-10-18,Michel Gondry,The Green Hornet,2011
2011-10-02,Jake Scott,Welcome to the Rileys,2010
2011-09-28,Steven Soderbergh,Contagion,2011
2011-09-25,Peter Jackson,Heavenly Creatures,1994
2011-08-25,"Fatih Akin, Yvan Attal, Randall Balsmeyer, Allen Hughes, Shunji Iwai, Wen Jiang, Shekhar Kapur, Joshua Marston, Mira Nair, Natalie Portman, Brett Ratner","New York, I Love You",2009
2011-08-19,Jon Favreau,Cowboys & Aliens,2011
2011-08-16,Mark Steven Johnson,Daredevil,2003
2011-08-11,Woody Allen,Midnight in Paris,2011
2011-07-31,Miguel Arteta,Cedar Rapids,2011
2011-07-28,Seth Gordon,Horrible Bosses,2011
2011-07-24,Rian Johnson,The Brothers Bloom,2008
2011-07-15,John Erick Dowdle,Devil,2010
2011-07-10,George Nolfi,The Adjustment Bureau,2011
2011-07-08,Bobby Farrelly & Peter Farrelly,Hall Pass,2011
2011-07-07,J.J. Abrams,Super 8,2011
2011-06-26,Martin Campbell,Green Lantern,2011
2011-06-18,Jonathan Liebesman,Battle Los Angeles,2011
2011-06-17,Tony Scott,The Taking of Pelham 123,2009
2011-05-27,Brad Anderson,The Machinist,2004
2011-05-26,Paul Feig,Bridesmaids,2011
2011-05-14,Ivan Reitman,No Strings Attached,2011
2011-05-10,Joe Carnahan,Smokin' Aces,2006
2011-04-26,David Frankel,The Devil Wears Prada,2006
2011-04-23,Peter Berg,The Rundown,2003
2011-04-10,Lee Unkrich,Toy Story 3,2010
2011-04-07,Gore Verbinski,Rango,2011
2011-03-27,Todd Phillips,Due Date,2010
2011-03-13,Sofia Coppola,Somewhere,2010
2011-03-10,Tom Hooper,The King's Speech,2010
2011-03-09,Dennis Dugan,Just Go with It,2011
2011-01-27,David O. Russell,The Fighter,2010
2011-01-16,Glenn Ficarra & John Requa,I Love You Phillip Morris,2009
2011-01-12,Sylvester Stallone,The Expendables,2010
2011-01-07,Jay Duplass & Mark Duplass,Cyrus,2010
2011-01-01,Roel Rein?,Death Race 2,2010
2010-12-24,Ethan Coen & Joel Coen,True Grit,2010
2010-12-24,Steve Pink,Hot Tub Time Machine,2010
2010-12-21,Anat Baron,Beer Wars,2009
2010-12-19,Darren Aronofsky,Black Swan,2010
2010-12-17,Sean Penn,Into the Wild,2007
2010-12-12,Adam McKay,The Other Guys,2010
2010-12-05,Lisa Cholodenko,The Kids Are All Right,2010
2010-12-04,Ben Affleck,The Town,2010
2010-11-26,Richard Curtis,Pirate Radio,2009
2010-11-15,David Twohy,Pitch Black,2000
2010-11-13,Peyton Reed,Yes Man,2008
2010-11-12,Tony Scott,Unstoppable,2010
2010-11-07,Edgar Wright,Scott Pilgrim vs. the World,2010
2010-11-02,Robert Schwentke,Red,2010
2010-10-27,Debra Granik,Winter's Bone,2010
2010-10-25,Paul Michael Glaser,The Running Man,1987
2010-10-20,David Fincher,The Social Network,2010
2010-10-14,Nimr?d Antal,Predators,2010
2010-10-13,Luc Besson,The Fifth Element,1997
2010-10-01,Nicholas Stoller,Get Him to the Greek,2010
2010-09-23,Ridley Scott,Robin Hood,2010
2010-09-16,Gus Van Sant,Drugstore Cowboy,1989
2010-09-04,Adam McKay,Step Brothers,2008
2010-08-27,Danny Boyle,Sunshine,2007
2010-08-18,Christopher Nolan,Inception,2010
2010-08-14,Oren Peli,Paranormal Activity,2007
2010-08-06,Tom Ford,A Single Man,2009
2010-08-02,Matthew Vaughn,Kick-Ass,2010
2010-07-30,Noah Baumbach,Greenberg,2010
2010-07-28,Adam Elliot,Mary and Max,2009
2010-07-21,Chris Bowman,Humble Pie,2007
2010-07-20,Roman Polanski,Ghost Writer,2010
2010-07-14,Jean-Pierre Jeunet,Micmacs,2009
2010-07-06,Christian Alvart,Pandorum,2009
2010-07-02,Laura Gabbert & Justin Schein,No Impact Man,2009
2010-06-22,Raymond De Felitta,City Island,2009
2010-06-18,Mary Harron,American Psycho,2000
2010-06-16,Albert Hughes & Allen Hughes,The Book of Eli,2010
2010-06-12,Jim Field Smith,She's Out of My League,2010
2010-06-08,Miguel Arteta,Youth in Revolt,2009
2010-06-01,John Moore,Max Payne,2008
2010-05-29,Brian Helgeland,A Knight's Tale,2001
2010-05-25,Martin Scorsese,Shutter Island,2010
2010-05-10,Brett Simon,Assassination of a High School President,2008
2010-05-08,Jon Favreau,Iron Man 2,2010
2010-04-30,Andrea Arnold,Red Road,2006
2010-04-05,Alex Proyas,Knowing,2009
2010-04-02,Guy Ritchie,Sherlock Holmes,2009
2010-03-22,Spike Jonze,Where the Wild Things Are,2009
2010-03-21,Lasse Hallstr?m,The Hoax,2006
2010-03-13,Lone Scherfig,An Education,2009
2010-03-13,Stephen Daldry,The Reader,2008
2010-03-07,Wes Anderson,Fantastic Mr. Fox,2009
2010-03-05,Frank A. Cappello,He Was a Quiet Man,2007
2010-02-19,Steven Soderbergh,The Informant!,2009
2010-02-05,Ethan Coen & Joel Coen,A Serious Man,2009
2010-01-27,Roland Emmerich,2012,2009
2010-01-26,Andrea Arnold,Fish Tank,2009
2010-01-23,Quentin Tarantino,Inglourious Basterds,2009
2010-01-19,Todd Graff,Bandslam,2009
2010-01-11,Woody Allen,Vicky Cristina Barcelona,2008
2010-01-09,Terry Gilliam,The Imaginarium of Doctor Parnassus,2009
2010-01-09,Nancy Meyers,It's Complicated,2009
2010-01-08,Neil Marshall,The Descent,2005
2010-01-03,Ricky Gervais & Matthew Robinson,The Invention of Lying,2009
2010-01-02,Lars von Trier,Antichrist,2009
2010-01-01,Michael Mann,Public Enemies,2009
2009-12-26,Jason Reitman,Up in the Air,2009
2009-12-25,Ken Kwapis,He's Just Not That Into You,2009
2009-12-24,John Lee Hancock,The Blind Side,2009
2009-12-22,Rob Cohen,The Mummy: Tomb of the Dragon Emperor,2008
2009-12-22,Kathryn Bigelow,The Hurt Locker,2008
2009-12-19,James Cameron,Avatar,2009
2009-12-18,Jeff Beesley,Dolan's Cadillac,2009
2009-12-15,Terry Zwigoff,Bad Santa,2003
2009-12-13,Jess Manafort,Remember the Daze,2007
2009-12-12,Judd Apatow,Funny People,2009
2009-12-11,Ed Harris,Appaloosa,2008
2009-12-06,Duncan Jones,Moon,2009
2009-12-04,M. Night Shyamalan,The Happening,2008
2009-11-29,McG,Terminator Salvation,2009
2009-11-26,Nora Ephron,Julie & Julia,2009
2009-11-21,Byron Howard & Chris Williams,Bolt,2008
2009-11-16,Nicholas Jasenovec,Paper Heart,2009
2009-11-11,Kevin Macdonald,State of Play,2009
2009-10-31,Sam Raimi,Drag Me to Hell,2009
2009-10-21,Ruben Fleischer,Zombieland,2009
2009-10-20,J.J. Abrams,Star Trek,2009
2009-10-19,Wes Anderson,Bottle Rocket,2006
2009-10-06,Anne Fletcher,The Proposal,2009
2009-09-23,Edward Zwick,Defiance,2008
2009-09-19,Sam Mendes,Away We Go,2009
2009-09-04,Christine Jeffs,Sunshine Cleaning,2009
2009-09-02,Neill Blomkamp,District 9,2009
2009-08-31,Greg Mottola,Adventureland,2009
2009-08-23,James Foley,Glengarry Glen Ross,1992
2009-08-20,Paul W.S. Anderson,Death Race,2008
2009-08-07,Bobby Farrelly & Peter Farrelly,The Heartbreak Kid,2007
2009-08-06,James Gray,Two Lovers,2008
2009-08-03,Jody Hill,Observe and Report,2009
2009-08-02,Kirsten Sheridan,August Rush,2007
2009-07-30,Laurent Cantet,The Class,2008
2009-07-29,Sean McGinly,The Great Buck Howard,2008
2009-07-27,John Hamburg,"I Love You, Man",2009
2009-07-24,Marc Webb,(500) Days of Summer,2009
2009-07-20,James Marsh,Man on Wire,2008
2009-07-10,Larry Charles,Br?no,2009
2009-07-09,McG,We Are Marshall,2006
2009-07-02,Todd Phillips,The Hangover,2009
2009-06-15,Clint Eastwood,Gran Torino,2008
2009-06-06,Jonathan Levine,The Wackness,2008
2009-06-02,John Cameron Mitchell,Shortbus,2006
2009-05-29,Pete Docter & Bob Peterson,Up,2009
2009-05-24,Andy Wachowski & Larry Wachowski,Speed Racer,2008
2009-05-23,Timur Bekmambetov,Wanted,2008
2009-05-18,Saul Dibb,The Duchess,2008
2009-05-15,Charlie Kaufman,"Synecdoche, New York",2008
2009-05-12,Clint Eastwood,Changeling,2008
2009-05-08,Duane Hopkins,Better Things,2008
2009-04-18,David Wain,Role Models,2008
2009-04-17,John Patrick Shanley,Doubt,2008
2009-04-14,Darren Aronofsky,The Wrestler,2008
2009-04-08,Michael McCullers,Baby Mama,2008
2009-03-29,Eric Darnell & Tom McGrath,Madagascar: Escape 2 Africa,2008
2009-03-21,Marc Forster,Quantum of Solace,2008
2009-03-18,Pierre Salvadori,Priceless,2006
2009-03-18,Colin Strause & Greg Strause,AVPR: Aliens vs Predator - Requiem,2007
2009-03-07,Clark Gregg,Choke,2008
2009-03-06,Zack Snyder,Watchmen,2009
2009-02-17,Joel Schumacher,Flawless,1999
2009-02-02,Peter Sollett,Nick and Norah's Infinite Playlist,2008
2009-01-29,Chris Bell,Bigger Stronger Faster*,2008
