Access,Acres,Category,Class,Lake Name
Water,191,2,B,Bony Lake
Walk-in,179,1,B,Buffalo Lake
Ramp,100,2,A1,Buskey Bay
Ramp,319,1,B,Chippewa
Water,131,1,B,Cranberry Lake T44N R09W S30
Water,23,2,C,Devils Lake
Water,170,2,B,"Eagle Lake (Murray,Inch)"
Ramp,802,2,B,"Eau Claire Lake, Lower*"
Ramp,902,2,A1,"Eau Claire Lake, Middle"
Ramp,996,2,B,"Eau Claire Lake, Upper"
Water,29,2,B,Flynn Lake T46N R08W S03
Water,132,1,B,Ghost Lake
Water,259,2,A1,"Hart Lake (Heart,Wiehe)"
Road,67,1,C,Hildur (Bluebird) Lake
Water,142,2,B,Jackson Lake
Water,32,2,C,McCarry Lake
Water,183,2,A1,Millicent Lake (Pike)
Road,44,2,C,Muskellunge Lake (Butte)
Ramp,3227,2,A1,"Namekagon Lake(Spring, Garden)"
Ramp,160,,,Pacwawong Lake*
Water,17,2,C,Pike Lake
Water,44,2,C,Shunenberg Lake
Water,31,2,C,Smith Lake
Water,88,2,C,Swett Lake (Sweet)
Ramp,172,2,A1,Twin Bear Lake (Crow)
None,112,1,C,White Bass Lake
