Local government area,Plan no.,Storage
"Lockyer Valley, Somerset","AP10024 (PDF, 385K)*",Atkinson Dam
Lockyer Valley,"AP10006 (PDF, 145K)*",Bill Gunn Dam
"South Burnett, Gympie, Cherbourg Aboriginal","AP10007 (PDF, 656K)*",Bjelke Petersen Dam
"Charters Towers, Whitsunday, Isaac","AP10008 (PDF, 1.3M)*",Burdekin Falls Dam
Bundaberg,"AP10009 (PDF, 523K)*",Burnett Barrage
Banana,"AP10010 (PDF, 327K)*",Callide Dam
Gympie,"AP10011 (PDF, 356K)*",Cedar Pocket Dam
Goondiwindi,"AP10012 (PDF, 405K)*",Coolmunda Dam
Mackay,"AP10013 (PDF, 305K)*",Eungella Dam
Central Highlands,"AP10014 (PDF, 608K)*",Fairbairn Dam
"Gladstone, Bundaberg","AP10025 (PDF, 735K)*",Fred Haigh Dam
Southern Downs,"AP10015 (PDF, 451K)*",Glenlyon Dam
Mackay,"AP10016 (PDF, 394K)*",Kinchant Dam
Bundaberg,"AP10017 (PDF, 393K)*",Kolan River Barrage
Southern Downs,"AP10018 (PDF, 413K)*",Leslie Dam
Scenic Rim,"AP10019 (PDF, 338K)*",Maroon Dam
Scenic Rim,"AP10020 (PDF, 773K)*",Moogerah Dam
Whitsunday,"AP10021 (PDF, 305K)*",Peter Faust Dam
Tablelands,"AP10023 (PDF, 655K)*",Tinaroo Falls Dam
Somerset,"AP10022 (PDF, 307K)*",Wivenhoe Dam
