,Additional Info,Country,Date,Director,Grade,Ignore This,New?,Sequence,Shorts,Theater,Title,Year
,,class=xl36 style='mso-ignore:colspan'>,,class=xl36 style='mso-ignore:colspan'>,2.78,,66.66%,,0,35,,1992.82
4.3,,USA,1-Jan-02,Gosnell,,X,1,1,,,Big Momma's House,2000
4,,USA,1-Jan-02,Aronofsky,A,4,,2,,,Pi,1998
3.7,,USA,3-Jan-02,Fincher,A-,3.7,,3,,,Fight Club,1999
3.3,,USA,5-Jan-02,Norton?,,X,2,4,,,Keeping The Faith,2000
3,,USA,7-Jan-02,Anderson,B,3,3,5,,,Royal Tenenbaums,2001
2.7,,USA,8-Jan-02,Wachowski,A,4,,6,,,Matrix,1999
2.3,,USA,14-Jan-02,Kitchell,,X,4,7,,,Berkeley In The Sixties,1990
2,,USA,15-Jan-02,Mamet,,X,5,8,,,State And Main,2000
1.7,,USA,18-Jan-02,Farrelly,A+,4.3,,9,,,There's Something About Mary,1998
1.3,,USA,19-Jan-02,Weitz,C+,2.3,6,10,,,Down To Earth,2001
1,,USA,24-Jan-02,Hackford,D,1,7,11,,,Proof Of Life,2000
0.7,,USA,24-Jan-02,Shyamalan,B+,3.3,8,12,,,Unbreakable,2000
0.3,,USA,29-Jan-02,Ratner,C+,2.3,,13,,,Family Man,2000
0,,USA,29-Jan-02,Reynolds,B-,2.7,9,14,,,Count Of Monte Cristo,2002
,2.7,USA,29-Jan-02,Kasdan,B-,F-,10,15,,1,Orange County,2002
X,,USA,29-Jan-02,Leder,C-,1.7,11,16,,,Pay It Forward,2000
,,USA,30-Jan-02,Anderson,A,4,,17,,,Rushmore,1998
,2.7,USA,1-Feb-02,Scott,B-,,12,18,,1,Black Hawk Down,2001
,3.3,New Zealand,4-Feb-02,Jackson,B+,,13,19,,1,Lord Of The Rings: The Fellowship Of The Ring,2001
,,USA,5-Feb-02,Scorsese,A+,4.3,,20,,,Taxi Driver,1976
,,USA,6-Feb-02,Mitchell,C-,1.7,14,21,,,Deuce Bigelow Male Jigilo,1999
,,USA,8-Feb-02,Lahti,B,3,15,22,,,My First Mister,2001
,,USA,9-Feb-02,Avildsen,A-,3.7,,23,,,Karate Kid,1984
,,USA,18-Feb-02,Rodriguez,D-,0.7,16,24,,,Faculty,1998
,,USA,19-Feb-02,Kastner,C-,1.7,17,25,,,French Exit,1995
,4,USA,19-Feb-02,Chandrasekhar,A,,18,26,,1,Super Troopers,2001
,,USA,22-Feb-02,Weisman,B,3,,27,,,What's The Worst That Could Happen?,2001
,,USA,24-Feb-02,Roach,A,4,,28,,,Austin Powers: International Man Of Mystery,1997
,,Germany,25-Feb-02,Peterson,A,4,,29,,,Das Boot,1981
,,USA,26-Feb-02,Chandrasekhar,A,4,,30,,,Super Troopers,2001
,,USA,1-Mar-02,Sturges,A,4,,31,,,Great Escape,1963
,,USA,5-Mar-02,Smith,A+,4.3,,32,,,American Movie: The Making Of Northwestern,1999
,,USA,11-Mar-02,Leiner,F,0,19,33,,,"Dude, Where's My Car?",2000
,,USA,11-Mar-02,Mann,A-,3.7,,34,,,Heat,1995
,,USA,11-Mar-02,Singer,A,4,,35,,,Dark Days,2000
,1.7,USA,12-Mar-02,Wells,C-,,20,36,,1,Time Machine,2002
,,USA,14-Mar-02,Mann,D,1,21,37,,,Last Of The Mohicans,1992
,,USA,15-Mar-02,Mendes,A,4,,38,,,American Beauty,1999
,,USA,16-Mar-02,Altman,C+,2.3,22,39,,,M*A*S*H,1970
,,USA,18-Mar-02,Smith,B,3,,40,,,Jay And Silent Bob Strike Back,2001
,,USA,18-Mar-02,Jewison,B-,2.7,23,41,,,Hurricane,1999
,,USA,19-Mar-02,Zucker,C+,2.3,,42,,,Rat Race,2001
,,USA,20-Mar-02,Anderson,B,3,24,43,,,Session 9,2001
,,USA,22-Mar-02,Hopper,A-,3.7,,44,,,Easy Rider,1969
,,UK,23-Mar-02,Apted,B,3,25,45,,,35up,1991
,,USA,24-Mar-02,Forman,B+,3.3,26,46,,,Amadeus,1984
,1.7,USA,26-Mar-02,Wolodarsky,C-,,27,47,,1,Sorority Boys,2002
,,USA,27-Mar-02,Reed,D+,1.3,28,48,,,Bring It On,2000
,,USA,27-Mar-02,Verbinski,C-,1.7,29,49,,,Mexican,2001
,,USA,28-Mar-02,Eyre,B-,2.7,30,50,,,Smoke Signals,1998
,2.7,France,28-Mar-02,Verber,B-,,31,51,Le Placard,,Closet,2001
,,USA,29-Mar-02,Chapman,D+,1.3,32,52,,,All The Right Moves,1983
,,USA,31-Mar-02,Rogers,C-,1.7,33,53,,,Say It Isn't So,2001
,,USA,1-Apr-02,Polanski,C,2,,54,,,Rosemary's Baby,1968
,,USA,1-Apr-02,Malloy,F+,0.3,34,55,,,Out Cold,2001
,2,USA,1-Apr-02,DeVito,C,,35,56,,1,Death To Smoochy,2002
,,Japan,1-Apr-02,Miike,B+,3.3,36,57,,,Audition,1999
,,USA,2-Apr-02,Miner,F,0,37,58,,,Texas Rangers,2001
,,USA,2-Apr-02,Mann,B+,3.3,,59,,,Insider,1999
,3.3,USA,3-Apr-02,Fincher,B+,,38,60,,1,Panic Room,2002
,2,USA,5-Apr-02,Del Toro,C,,39,61,,1,Blade II,2002
,,UK,6-Apr-02,Kubrick,B,3,40,62,,,Barry Lyndon,1975
,,USA,9-Apr-02,Silverman,C-,1.7,41,63,,,Monsters Inc.,2001
,,USA,9-Apr-02,Kornbluth,C+,2.3,42,64,,,Haiku Tunnel,2001
,,USA,10-Apr-02,Fincher,A+,4.3,,65,,,Se7en,1995
,,USA,12-Apr-02,Sonnenfeld,C+,2.3,43,66,,,Big Trouble,2002
,,UK,14-Apr-02,Skolnik,C-,1.7,44,67,,,Mean Machine,2001
,,USA,15-Apr-02,Morris,B,3,45,68,,,Thin Blue Line,1988
,2,USA,16-Apr-02,Paxton,C,,46,69,,1,Frailty,2001
,,USA,17-Apr-02,Gordon,C,2,47,70,,,Joe Dirt,2001
,,USA,17-Apr-02,Zemeckis,C+,2.3,48,71,,,Cast Away,2000
,,USA,20-Apr-02,Green,B+,3.3,49,72,,,Freddy Got Fingered,2001
,,USA,22-Apr-02,Hawks,C+,2.3,50,73,,,His Girl Friday,1940
,,USA,23-Apr-02,Linklater,A-,3.7,51,74,,,Waking Life,2001
,,USA,24-Apr-02,Atkins,B-,2.7,52,75,,,Novocaine,2001
,,USA,25-Apr-02,Hoblit,B-,2.7,,76,,,Primal Fear,1996
,,France,26-Apr-02,Besson,B,3,53,77,,,La Femme Nikita,1990
,,USA,26-Apr-02,Guest,B,3,54,78,,,Best In Show,2000
,,USA,27-Apr-02,Nelson,C+,2.3,55,79,,,O,2001
,,USA,28-Apr-02,Huang,C+,2.3,56,80,,,Swimming With Sharks,1994
,,USA,30-Apr-02,Green,B+,3.3,,81,,,Freddy Got Fingered,2001
,3,USA,1-May-02,Solondz,B,,57,82,,1,Storytelling,2001
,,USA,3-May-02,Penn,C-,1.7,58,83,,,Pledge,2001
,,USA,4-May-02,Peirce,B-,2.7,59,84,,,Boys Don't Cry,1999
,,USA,6-May-02,Capra,C,2,60,85,,,It Happened One Night,1934
,,USA,8-May-02,Sena,C+,2.3,61,86,,,Swordfish,2001
,,USA,9-May-02,Davis,D,1,62,87,,,Crossroads,2001
,,USA,11-May-02,Reeves,B-,2.7,63,88,,,Pallbearer,1996
,,USA,11-May-02,Kelly,B,3,64,89,,,Donnie Darko,2001
,,USA,12-May-02,Scott,B-,2.7,,90,,,Blade Runner,1982
,,USA,12-May-02,Verhoeven,C+,2.3,65,91,,,Hollow Man,2000
,,UK,13-May-02,Parker,B-,2.7,66,92,,,Midnight Express,1978
,,India,14-May-02,Mehta,B-,2.7,67,93,,,Fire,1996
,,USA,17-May-02,Lee,B,3,,94,,,Summer Of Sam,1999
