Europe,Game,Genre,Global,Japan,North America,Platform,Pos,Publisher,Rest of World,Year
28.03,Wii Sports,Sports,79.84,3.77,39.42,Wii,1,Nintendo,8.62,2006
3.58,Super Mario Bros.,Platform,40.24,6.81,29.08,NES,2,Nintendo,0.77,1985
11.73,Mario Kart Wii,Racing,31.55,3.44,13.21,Wii,3,Nintendo,3.17,2008
8.89,Pok?mon Red / Green / Blue Version,Role-Playing,31.37,10.22,11.27,GB,4,Nintendo,1.00,1996
10.47,Wii Sports Resort,Sports,30.69,2.85,14.21,Wii,5,Nintendo,3.15,2009
2.26,Tetris,Puzzle,30.26,4.22,23.20,GB,6,Nintendo,0.58,1989
9.07,Wii Play,Misc,28.52,2.93,13.69,Wii,7,Nintendo,2.83,2006
0.63,Duck Hunt,Shooter,28.31,0.28,26.93,NES,8,Nintendo,0.47,1984
8.37,New Super Mario Bros.,Platform,26.85,6.43,9.62,DS,9,Nintendo,2.43,2006
10.71,Nintendogs,Simulation,24.37,1.93,9.01,DS,10,Nintendo,2.72,2005
5.86,New Super Mario Bros. Wii,Platform,24.22,4.50,11.70,Wii,11,Nintendo,2.16,2009
6.18,Pok?mon Gold / Silver Version,Role-Playing,23.10,7.20,9.00,GB,12,Nintendo,0.71,1999
7.28,Mario Kart DS,Racing,23.08,4.06,9.55,DS,13,Nintendo,2.20,2005
8.13,Wii Fit,Sports,22.70,3.60,8.90,Wii,14,Nintendo,2.08,2007
7.79,Wii Fit Plus,Sports,21.17,2.49,8.70,Wii,15,Nintendo,2.20,2009
8.48,Grand Theft Auto: San Andreas,Action,20.81,0.41,9.43,PS2,16,Take-Two Interactive,2.49,2004
3.75,Super Mario World,Platform,20.61,3.54,12.78,SNES,17,Nintendo,0.55,1990
9.04,Brain Age: Train Your Brain in Minutes a Day,Misc,19.95,4.16,4.71,DS,18,Nintendo,2.04,2005
2.71,Super Mario Land,Platform,18.14,4.18,10.83,GB,19,Nintendo,0.42,1989
4.29,Pok?mon Diamond / Pearl Version,Role-Playing,17.97,6.04,6.30,DS,20,Nintendo,1.34,2006
3.44,Super Mario Bros. 3,Platform,17.28,3.84,9.54,NES,21,Nintendo,0.46,1988
5.49,Grand Theft Auto: Vice City,Action,16.15,0.47,8.41,PS2,22,Take-Two Interactive,1.78,2002
3.59,Kinect Adventures!,Misc,15.91,0.20,10.47,X360,23,Microsoft,1.65,2010
3.90,Pok?mon Ruby / Sapphire Version,Role-Playing,15.85,5.38,6.06,GBA,24,Nintendo,0.50,2002
5.30,Brain Age 2: More Training in Minutes a Day,Misc,15.20,5.32,3.40,DS,25,Nintendo,1.18,2005
4.99,Gran Turismo 3: A-Spec,Racing,14.88,1.87,6.85,PS2,26,Sony Computer Entertainment,1.16,2001
5.04,Pok?mon Yellow: Special Pikachu Edition,Role-Playing,14.64,3.12,5.89,GB,27,Nintendo,0.59,1998
3.19,Call of Duty: Black Ops,Shooter,13.29,0.07,8.72,X360,28,Activision,1.31,2010
3.72,Call of Duty: Modern Warfare 3,Shooter,13.28,0.07,8.08,X360,29,Activision,1.41,2011
4.51,Grand Theft Auto III,Action,13.10,0.30,6.99,PS2,30,Capcom,1.30,2001
2.54,Pok?mon Black / White Version,Role-Playing,13.00,5.53,4.19,DS,31,Nintendo,0.74,2010
3.26,Call of Duty: Modern Warfare 2,Shooter,12.70,0.08,8.12,X360,32,Activision,1.24,2009
2.85,Super Mario 64,Platform,11.89,1.91,6.91,N64,33,Nintendo,0.23,1996
3.17,Animal Crossing: Wild World,Simulation,11.74,5.33,2.42,DS,34,Nintendo,0.83,2005
2.63,Halo 3,Shooter,11.46,0.13,7.54,X360,35,Microsoft,1.15,2007
5.63,Gran Turismo 4,Racing,11.36,1.10,3.01,PS2,36,Sony Computer Entertainment,1.62,2004
3.69,Call of Duty: Black Ops,Shooter,11.28,0.40,5.45,PS3,37,Activision,1.75,2010
0.00,The Sims,Simulation,11.22,0.00,11.22,PC,38,Electronic Arts,0.00,2000
2.04,Super Mario Land 2: 6 Golden Coins,Platform,11.18,2.69,6.16,GB,39,Nintendo,0.29,1992
3.87,Gran Turismo,Racing,11.15,2.54,4.22,PS,40,Sony Computer Entertainment,0.52,1997
2.20,Super Smash Bros. Brawl,Fighting,10.93,2.35,5.48,Wii,41,Nintendo,0.91,2008
2.45,Pok?mon Heart Gold / Soul Silver Version,Role-Playing,10.81,3.96,3.63,DS,42,Nintendo,0.77,2009
3.80,Call of Duty: Modern Warfare 3,Shooter,10.60,0.35,4.66,PS3,43,Activision,1.79,2011
2.15,Super Mario All-Stars,Platform,10.55,2.12,5.99,SNES,44,Nintendo,0.29,1993
2.65,Pok?mon FireRed / LeafGreen Version,Role-Playing,10.49,3.15,4.34,GBA,45,Nintendo,0.35,2004
3.01,Super Mario Galaxy,Platform,10.17,1.20,4.97,Wii,46,Nintendo,1.00,2007
1.94,Mario Kart 64,Racing,9.87,2.23,5.55,N64,47,Nintendo,0.15,1996
3.21,Call of Duty: Modern Warfare 2,Shooter,9.83,0.37,4.74,PS3,48,Activision,1.51,2009
2.47,Final Fantasy VII,Role-Playing,9.72,3.28,3.01,PS,49,Sony Computer Entertainment,0.96,1997
2.84,Super Mario 64 DS,Platform,9.54,1.25,4.52,DS,50,Nintendo,0.93,2004
,462.06,70.32,,,,256.81,Total,932.83,,143.65
