APID,Language,Logo,Name,Norm,PCRPID
253,French,,Ado FM,{DVB-S MPEG-2},168
1946,Arabic,,BBC World Service Arabic,{DVB-S MPEG-2},169
1951,English,,BBC World Service English,{DVB-S MPEG-2},169
1945,French,,Beur FM,{DVB-S MPEG-2},169
1918,French,,BFM,{DVB-S MPEG-2},168
249,French,,Ch?rie FM,{DVB-S MPEG-2},168
245,French,,Contact FM,{DVB-S MPEG-2},168
1911,French,,Europe 1,{DVB-S MPEG-2},168
243,French,,FG DJ Radio,{DVB-S MPEG-2},168
1903,French,,FIP,{DVB-S MPEG-2},1904
1907,French,,France Bleu ?le de France,{DVB-S MPEG-2},1904
1906,French,,France Culture,{DVB-S MPEG-2},1904
1904,French,,France Info,{DVB-S MPEG-2},1904
1905,French,,France Inter,{DVB-S MPEG-2},1904
1901,French,,France Musique,{DVB-S MPEG-2},1904
240,French,,Fun Radio,{DVB-S MPEG-2},168
254,French,,Jazz Radio,{DVB-S MPEG-2},168
1944,French,,Juda?ques FM,{DVB-S MPEG-2},169
247,French,,Latina,{DVB-S MPEG-2},168
241,French,,Le Mouv',{DVB-S MPEG-2},1904
1949,French,,Medi 1 Radio M?diterran?e Int.,{DVB-S MPEG-2},169
1915,Arabic,,Monte Carlo Doualiya,{DVB-S MPEG-2},168
246,French,,Nostalgie,{DVB-S MPEG-2},168
236,French,,NRJ,{DVB-S MPEG-2},168
252,French,,OUI FM,{DVB-S MPEG-2},168
1943,Portuges,,Radio Alfa,{DVB-S MPEG-2},169
1909,French,,Radio Classique,{DVB-S MPEG-2},168
1952,French,,Radio Courtoisie,{DVB-S MPEG-2},169
1944,French,,Radio J,{DVB-S MPEG-2},169
1942,French,,Radio Notre Dame,{DVB-S MPEG-2},169
242,French,,Radio Nova,{DVB-S MPEG-2},168
1944,French,,Radio Shalom,{DVB-S MPEG-2},169
1944,French,,RCJ - Radio Communaut? Juive,{DVB-S MPEG-2},169
1908,French,,RFI,{DVB-S MPEG-2},168
1947,Multilingual,,RFI Multilingues,{DVB-S MPEG-2},169
248,French,,RFM,{DVB-S MPEG-2},168
1913,French,,Rire et Chansons,{DVB-S MPEG-2},168
1912,French,,RMC,{DVB-S MPEG-2},168
239,French,,Skyrock,{DVB-S MPEG-2},168
1914,French,,Sud Radio,{DVB-S MPEG-2},168
1916,French,,TSF Jazz,{DVB-S MPEG-2},168
244,French,,Vibration,{DVB-S MPEG-2},168
237,French,,Virgin Radio France,{DVB-S MPEG-2},168
251,French,,Voltage,{DVB-S MPEG-2},168
1932,French,,WRN Fran?ais,{DVB-S MPEG-2},169
