Facebook-Fans,Museum,RANG,Stadt,Tendenz
605.792,MoMA The Museum of Modern Art,1,New York,-
362.548,Metropolitan Museum of Art,2,New York,-
242.105,Acropolis Museum,3,Athen,-
208.070,Mus?e du Louvre,4,Paris,-
168.125,Guggenheim Museum,5,New York,-
130.878,Tate Modern,6,London,-
88.174,Design Museum,7,London,-
81.678,Museo del Prado,8,Madrid,+1
80.285,City Museum,9,St Louis,-1
72.599,Centre Pompidou,10,Paris,-
68.085,Victoria & Albert Museum,11,London,+1
64.608,Creation Museum,12,Petersburg,-1
63.234,British Museum,13,London,+2
62.875,Whitney Museum of American Art,14,New York,-1
61.899,The Getty Museum,15,Los Angeles,-1
52.376,New Museum,16,New York,-
46.610,Salvador Dali Museum,17,Saint Petersburg,-
33.477,Natural History Museum,18,London,-
33.060,American Museum of Natural History,19,New York,-
32.206,National Museum of the American Indian,20,Washington D.C.,-
