Abbreviation,Common Name,Species
ACHHYM,Indian ricegrass,Achnatherum hymenoides
ACHLET,Letterman needlegrass,Achnatherum lettermanii
ACHNEL,Columbia needlegrass,Achnatherum nelsonii
ACHRIC,Richardson needlegrass,Achnatherum richardsonii
ACHSPE,desert needlegrass,Achnatherum speciosa
ACHTHU,Thurber needlegrass,Achnatherum thurberianum
AGRCRI,crested wheatgrass,Agropyron cristatum
AGRDES,desert wheatgrass,Agropyron desertorum
AGREXA,spike bentgrass,Agrostis exarata
AGRGIG,redtop,Agrostis gigantea
AGRSCA,tickle grass,Agrostis scabra
AGRSTO,creeping bentgrass,Agrostis stolonifera
ANDCAB,firegrass,Andropogon cabanisii
ANDGER,big bluestem,Andropogon gerardii
ANDHAL,sand bluestem,Andropogon hallii
ANDTER,paintbrush bluestem,Andropogon ternarius
ANDVIR,broomsedge bluestem,Andropogon virginicus
ARCLAT,polargrass,Arctagrostis latifolia
ARIPUR,purple threeawn,Aristida purpurea
ARISTR,pineland threeawn,Aristida stricta
ARUDON,giant reed,Arundo donax
ARUGIG,cane,Arundinaria gigantea
ARUGIG,giant cane,Arundinaria gigantea subsp. gigantea
ARUGIG,switch cane,Arundinaria gigantea subsp. tecta
BOLROB,seacoast bulrush,Bolboschoenus robustus
BOTBAR,cane bluestem,Bothriochloa barbinodis
BOUBAR,sixweeks grama,Bouteloua barbata
BOUCUR,sideoats grama,Bouteloua curtipendula
BOUERI,black grama,Bouteloua eriopoda
BOUGRA,blue grama,Bouteloua gracilis
BOUHIR,hairy grama,Bouteloua hirsuta
BROCARC,California brome,Bromus carinatus var. carinatus
BROCARM,mountain brome,Bromus carinatus var. marginatus
BROCIL,fringed brome,Bromus ciliatus
BROHOR,soft chess,Bromus hordeaceus
BROINE,smooth brome,Bromus inermis
BROJAP,Japanese brome,Bromus japonicus
BROMAD,foxtail chess,Bromus madritensis
BROPUM,Pumpelly brome,Bromus pumpellianus
BRORUB,red brome,Bromus rubens
BROTEC,cheatgrass,Bromus tectorum
BROVUL,Columbia brome,Bromus vulgaris
BUCDAC,buffalo grass,Buchloe dactyloides
CALCAN,bluejoint reedgrass,Calamagrostis canadensis
CALLON,prairie sandreed,Calamovilfa longifolia
CALMON,plains reedgrass,Calamagrostis montanensis
CALPUR,purple pinegrass,Calamagrostis purpurascens
