#of Patients,Centre,Country
190,Institute of Psychiatry & Neurology,POLAND
118,Royal Hallamshire Hospital,UK
100,Uppsala University Hospital,SWEDEN
97,University Hospital of North Staffordshire,UK
94,Western General Hospital,UK
84,The National Hospital for Neurology & Neurosurgery,UK
83,Arrowe Park Hospital,UK
77,Southend University Hospital,UK
73,Cliniques Universitaires St Luc,BELGIUM
69,University Hospital Trondheim,NORWAY
67,Norfolk and Norwich University Hospital,UK
66,Ulleval Sykehus,NORWAY
63,Nottingham City Hospital,UK
62,Ospedale Di Citta' di Castello,ITALY
60,Guy's & St.Thomas Hospital,UK
56,Darlington and Bishop Auckland Hospitals,UK
51,Nambour General Hospital,AUSTRALIA
46,University Hospital Aintree,UK
46,Danderyd Hospital,SWEDEN
46,University Hospital of Wales,UK
43,SPZZOZ w Sandomierzu,POLAND
42,UAVC. Centro Hospitalar de Tr?s-os-Montes e Alto Douro,PORTUGAL
40,"Nuovo Ospedale Civile ""S.Agostino-Estense""",ITALY
37,Derby Royal Hospital,UK
36,Ospedale Beato Giacomo Villa - Citta' della Pieve,ITALY
36,Ospedale Di Branca,ITALY
35,Medical University of Gdansk,POLAND
34,Landesklinikum Donauregion Tulln,AUSTRIA
34,Addenbrookes Hospital,UK
34,St George's Healthcare NHS Trust,UK
30,Royal Devon & Exeter Hospital (Wonford),UK
29,Hassleholm Hospital,SWEDEN
29,John Hunter Hospital,AUSTRALIA
26,Aberdeen Royal Infirmary,UK
25,"1st Dept, Institute of Psychiatry & Neurology",POLAND
25,Karnsjukhuset,SWEDEN
25,A.O. Niguarda Ca'Granda,ITALY
24,Military Medical Institute,POLAND
24,Gosford Hospital,AUSTRALIA
24,Hammersmith Hospitals & Imperial College,UK
23,University Hospital North Norway,NORWAY
22,Universitatsspital Basel,SWITZERLAND
20,Koping Hospital,SWEDEN
20,William Harvey Hospital,UK
20,Northwick Park Hospital,UK
19,Hospital Pero da Covilh?,PORTUGAL
19,R.Guzzardi Hospital - Vittoria (RG),ITALY
17,Scarborough Hospital,UK
17,Mora Hospital,SWEDEN
17,Ospedale Regionale di Aosta,ITALY
17,Watford General Hospital,UK
17,Countess of Chester Hospital NHS Foundation Trust,UK
16,Westmead Hospital,AUSTRALIA
15,Royal Perth Hospital,AUSTRALIA
15,University Hospitals Coventry & Warwickshire NHS Trust,UK
14,Szpital Powiatowy,POLAND
13,Kongsvinger Sykehus,NORWAY
12,Royal Bournemouth & Christchurch NHS Trust,UK
12,The Canberra Hospital,AUSTRALIA
12,Queen Elizabeth Hospital (Gateshead),UK
12,Ospedale Sacro Cuore - Negrar Verona,ITALY
12,York Health Services NHS Trust,UK
12,Ospedale Maggiore - Bologna,ITALY
12,Hospital de Santo Ant?nio,PORTUGAL
12,Leeds General Infirmary,UK
11,Universita degli Studi di Genova,ITALY
11,Falu Hospital,SWEDEN
11,LidkopingHospital,SWEDEN
10,Royal Brisbane and Women's Hospital,AUSTRALIA
10,Worcestershire Royal Hospital,UK
10,Blackpool Victoria Hospital,UK
10,Queen Elizabeth The Queen Mother Hospital,UK
9,Basildon & Thurrock University Hospitals NHS FT,UK
9,Ospedale Civlle S.Andrea,ITALY
9,Krankenhaus Der Barmherzigen Bruder Wien,AUSTRIA
9,Hospital S.Marcos,PORTUGAL
9,Capio S: tGoran Hospital,SWEDEN
9,Sykehuset Levanger,NORWAY
9,Royal Infirmary of Edinburgh,UK
8,St Mary's Hospital,UK
8,Ospedale S. Giovanni Battista - Foligno,ITALY
8,QEII Health Sciences Centre,CANADA
8,Austin Health - Repatriation Campus,AUSTRALIA
8,"Solihull Hospital, Heart of England NHS Trust",UK
8,"Azienda Ospedaliero-Universitaria ""Ospedali Riuniti"" di Foggia",ITALY
8,University Hospital Northern - Norway,NORWAY
8,Yeovil District Hospital,UK
8,Ospedale a Vibo Valentia,ITALY
8,Szpital Specjalistyczny w Konskich,POLAND
8,Ospedale Valduce di Como,ITALY
8,Luton and Dunstable Hospital,UK
7,Royal United Hospital Bath,UK
7,Doncaster Royal Infirmary,UK
7,Central University Hospital,POLAND
7,Box Hill Hospital,AUSTRALIA
7,Nepean Hospital,AUSTRALIA
7,Harstad Sykehus,NORWAY
7,King's College Hospital,UK
6,Bristol Royal Infirmary,UK
6,Stepping Hill Hospital,UK
6,University Hospital North Durham,UK
6,Birmingham Heartlands Hospital,UK
6,Wansbeck General Hospital,UK
5,Royal Liverpool University Hospital,UK
5,University Hospital MAS,SWEDEN
5,Belfast City Hospital,UK
5,"City Hospital, Sandwell & West Birmingham Hospital",UK
5,Princess Royal Hospital Brighton & Sussex University Hospitals Trust,UK
5,Vastervik Hospital,SWEDEN
4,Sunderland Royal Hospital,UK
4,Royal Preston Hospital,UK
4,Royal London Hospital,UK
4,"Royal West Sussex NHS Trust, St Richard's Hospital",UK
4,The Royal Wolverhampton Hospitals NHS Trust,UK
4,Clinica Dr Pederzoli Spa,ITALY
4,University Hospital of Northern Sweden,SWEDEN
4,Alesund Sjukehus,NORWAY
4,Ospedale di Cattinara - Trieste,ITALY
4,Morriston Hospital,UK
4,Queen's Hospital Romford,UK
4,Visby Hospital,SWEDEN
4,Helsingborgs lasarett,SWEDEN
3,Leicester General Hospital,UK
3,Instituto Nacional de Neurologia y Neurojrugia MVS,MEXICO
3,Krankenhaus G?ttlicher Heiland,AUSTRIA
3,The Queen Elizabeth Hospital Birmingham,UK
3,Sundsvall Hospital,SWEDEN
3,Colchester Hospital University Foundation Trust,UK
3,Great Western Hospital,UK
3,"Nevill Hall Hospital, Aneurin Bevan Local Health",UK
3,"Darent Valley Hospital, Dartford & Gravesham NHS Trust",UK
3,Ulster Hospital,UK
2,Ospedale Civile San Matteo Degli Infermi - Spoleto,ITALY
2,**Leicester Royal Infirmary,UK
2,"Medisinsk Avdeling, Asher and Baerum Hospital",NORWAY
2,John Radcliffe Hospital,UK
2,Ospedale Silvestrini - Perugia,ITALY
2,Sykehuset Namsos,NORWAY
2,University Hospital Lund,SWEDEN
2,Derriford Hospital,UK
2,"Mater Salutis Hospital, Legnago VR",ITALY
2,Salford Royal Hospital Foundation NHS Trust,UK
2,Queen Elizabeth Hospital (Kings Lynn),UK
1,Karlstad Central Hospital,SWEDEN
1,Victoria Hospital,UK
1,Universit?tsspital Z?rich,SWITZERLAND
1,Medway Maritime Hospital,UK
1,Vasteras Hospital,SWEDEN
1,Sandwell General Hospital,UK
1,Southampton General Hospital,UK
1,West Cumberland Hospital,UK
1,SPSK im. Prof. W. Orlowskiego CMKP,POLAND
1,Volda sjukehus,NORWAY
1,Warrington & Halton Hospitals NHS Foundation Trust,UK
1,Torbay Hospital,UK
1,Ospedale Guglielmo da Saliceto - Piacenza,ITALY
