??,????,???O,???[?O,?N,?`?[??
.,07-18,Jeff Bagwell,NL,2001,Astros
??2,06-17,John Olerud,AL,2001,Mariners
.,07-05,Luis Gonzalez,?m?k,2000,Diamondbacks
.,06-21,Eric Chavez,?`?k,2000,Athletics
.,06-18,Mike Lansing,?m?k,2000,Rockies
.,05-19,Jason Kendall,?m?k,2000,Pirates
.,04-27,Jose Valentin,?`?k,2000,White Sox
.,07-06,Chris Singleton,?`?k,1999,White Sox
.,06-19,Todd Helton,?m?k,1999,Rockies
.,05-03,Jeff Kent,?m?k,1999,Giants
.,07-25,Neifi Perez,?m?k,1998,Rockies
.,06-10,Dante Bichette,?m?k,1998,Rockies
.,05-18,Mike Blowers,?`?k,1998,Athletics
??1,09-11,John Olerud,?m?k,1997,Mets
.,06-05,Alex Rodriguez,?`?k,1997,Mariners
.,07-03,Alex Ochoa,?m?k,1996,Mets
.,06-06,John Valentin,?`?k,1996,Red Sox
.,05-18,John Mabry,?m?k,1996,Cardinals
.,09-03,Tony Fernandez,?`?k,1995,Yankees
.,08-25,Gregg Jefferies,?m?k,1995,Phillies
.,06-11,Rondell White,?m?k,1995,Expos
.,04-12,Scott Cooper,?`?k,1994,Red Sox
.,07-28,Travis Fryman,?`?k,1993,Tigers
.,07-23,Jay Buhner,?`?k,1993,Mariners
.,05-09,Mark Grace,?m?k,1993,Cubs
.,08-25,Andujar Cedeno,?m?k,1992,Astros
.,09-15,Ray Lankford,?m?k,1991,Cardinals
.,06-24,Dave Winfield,?`?k,1991,Angels
.,05-15,Paul Molitor,?`?k,1991,Brewers
.,04-22,Robby Thompson,?m?k,1991,Giants
2,07-25,George Brett,?`?k,1990,Royals
.,08-25,Gary Redus,?m?k,1989,Pirates
.,08-01,Kevin McReynolds,?m?k,1989,Mets
.,06-02,Eric Davis,?m?k,1989,Reds
.,04-16,Kelly Gruber,?`?k,1989,Blue Jays
.,09-14,Mike Greenwell,?`?k,1988,Red Sox
2,07-09,Chris Speier,?m?k,1988,Giants
.,06-12,Robin Yount,?`?k,1988,Brewers
.,09-23,Albert Hall,?m?k,1987,Braves
.,08-16,Tim Raines,?m?k,1987,Expos
.,05-04,Candy Maldonado,?m?k,1987,Giants
.,04-29,Andre Dawson,?m?k,1987,Cubs
.,08-01,Kirby Puckett,?`?k,1986,Twins
.,05-16,Tony Phillips,?`?k,1986,Athletics
.,09-18,Rich Gedman,?`?k,1985,Red Sox
.,07-23,Oddibe McDowell,?`?k,1985,Rangers
.,07-04,Keith Hernandez,?m?k,1985,Mets
.,06-27,Jeff Leonard,?m?k,1985,Giants
.,06-28,Dwight Evans,?`?k,1984,Red Sox
.,06-23,Willie McGee,?m?k,1984,Cardinals
.,05-16,Carlton Fisk,?`?k,1984,White Sox
.,05-06,"Cal Ripken, Jr.",?`?k,1984,Orioles
2,08-03,Frank White,?`?k,1982,Royals
.,10-01,Charlie Moore,?`?k,1980,Brewers
.,09-18,Gary Ward,?`?k,1980,Twins
.,06-12,Mike Easler,?m?k,1980,Pirates
.,05-13,Fred Lynn,?`?k,1980,Red Sox
.,04-22,Ivan DeJesus,?m?k,1980,Cubs
1,09-26,Frank White,?`?k,1979,Royals
??2,09-15,Bob Watson,?`?k,1979,Red Sox
.,08-10,Dan Ford,?`?k,1979,Angels
1,05-28,George Brett,?`?k,1979,Royals
.,07-27,Mike Cubbage,?`?k,1978,Twins
1,07-20,Chris Speier,?m?k,1978,Expos
.,04-22,Andre Thornton,?`?k,1978,Indians
.,09-24,Jack Brohamer,?`?k,1977,White Sox
.,08-05,John Mayberry,?`?k,1977,Royals
??1,06-24,Bob Watson,?m?k,1977,Astros
.,09-03,Mike Hegan,?`?k,1976,Brewers
2,08-09,Cesar Cedeno,?m?k,1976,Astros
.,07-24,Lyman Bostock,?`?k,1976,Twins
.,06-25,Mike Phillips,?m?k,1976,Mets
.,06-04,Larry Hisle,?`?k,1976,Twins
.,04-22,Tim Foli,?m?k,1976,Expos
.,05-27,Lou Brock,?m?k,1975,Cardinals
.,06-09,Richie Zisk,?m?k,1974,Pirates
.,06-27,Joe Torre,?m?k,1973,Cardinals
.,09-19,Cesar Tovar,?`?k,1972,Twins
.,08-29,Bobby Murcer,?`?k,1972,Yankees
1,08-02,Cesar Cedeno,?m?k,1972,Astros
.,04-16,Dave Kingman,?m?k,1972,Giants
.,07-09,Freddie Patek,?`?k,1971,Royals
.,07-08,Jim Ray Hart,?m?k,1970,Giants
.,07-06,Tommie Agee,?m?k,1970,Mets
.,07-02,Tony Horton,?`?k,1970,Indians
.,05-20,Rod Carew,?`?k,1970,Twins
.,05-07,Wes Parker,?m?k,1970,Dodgers
2,05-20,Jim Fregosi,?`?k,1968,Angels
2,08-11,Randy Hundley,?m?k,1966,Cubs
2,07-17,Billy Williams,?m?k,1966,Cubs
2,05-14,Carl Yastrzemski,?`?k,1965,Red Sox
1,07-28,Jim Fregosi,?`?k,1964,Angels
.,07-22,Willie Stargell,?m?k,1964,Pirates
2,06-16,Ken Boyer,?m?k,1964,Cardinals
.,05-26,Jim King,?`?k,1964,Senators
.,08-07,Jim Hickman,?m?k,1963,Mets
.,06-27,Johnny Callison,?m?k,1963,Phillies
.,07-13,Lu Clinton,?`?k,1962,Red Sox
1,09-14,Ken Boyer,?m?k,1961,Cardinals
.,08-14,Bill White,?m?k,1960,Cardinals
.,07-15,Brooks Robinson,?`?k,1960,Orioles
.,05-02,Frank Robinson,?m?k,1959,Reds
.,07-23,Mickey Mantle,?`?k,1957,Yankees
.,07-02,Lee Walls,?m?k,1957,Cubs
.,07-11,Don Mueller,?m?k,1954,Giants
.,06-04,Larry Doby,?`?k,1952,Indians
.,06-04,Gus Bell,?m?k,1951,Pirates
.,09-07,Hoot Evers,?`?k,1950,Tigers
.,08-02,Elmer Valo,?`?k,1950,Athletics
.,06-28,Roy Smalley,?m?k,1950,Cubs
.,06-25,Ralph Kiner,?m?k,1950,Pirates
.,06-02,George Kell,?`?k,1950,Tigers
.,07-24,Stan Musial,?m?k,1949,Cardinals
.,06-25,Gil Hodges,?m?k,1949,Dodgers
2,06-14,Wally Westlake,?m?k,1949,Pirates
.,08-29,Jackie Robinson,?m?k,1948,Dodgers
1,07-30,Wally Westlake,?m?k,1948,Pirates
2,05-20,Joe DiMaggio,?`?k,1948,Yankees
.,09-14,Vic Wertz,?`?k,1947,Tigers
2,05-13,Bobby Doerr,?`?k,1947,Red Sox
.,07-21,Ted Williams,?`?k,1946,Red Sox
