#,% of World,Country,Country-Specific Search,Cumulative %,Population
1,21.1%,China,Safe Search for China,21.1%,"1,338,612,968"
2,18.2%,India,Safe Search for India,39.2%,"1,156,897,766"
3,4.8%,United States of America,Safe Search for United States of America,44.1%,"307,212,123"
4,3.8%,Indonesia,Safe Search for Indonesia,47.9%,"240,271,522"
5,3.1%,Brazil,Safe Search for Brazil,51.0%,"198,739,269"
6,2.7%,Pakistan,Safe Search for Pakistan,53.7%,"174,578,558"
7,2.5%,Bangladesh,Safe Search for Bangladesh,56.2%,"156,050,883"
8,2.3%,Nigeria,Safe Search for Nigeria,58.5%,"149,229,090"
9,2.2%,Russia,Safe Search for Russia,60.7%,"140,041,247"
10,2.0%,Japan,Safe Search for Japan,62.7%,"127,078,679"
11,1.7%,Mexico,Safe Search for Mexico,64.5%,"111,211,789"
12,1.5%,Philippines,Safe Search for Philippines,66.0%,"97,976,603"
13,1.4%,Viet Nam,Safe Search for Viet Nam,67.4%,"88,576,758"
14,1.3%,Ethiopia,Safe Search for Ethiopia,68.8%,"85,237,338"
15,1.3%,Germany,Safe Search for Germany,70.1%,"82,329,758"
16,1.2%,Egypt,Safe Search for Egypt,71.3%,"78,866,635"
17,1.2%,Turkey,Safe Search for Turkey,72.5%,"76,805,524"
18,1.1%,Congo (Democratic Republic),Safe Search for Congo (Democratic Republic),73.6%,"68,692,542"
19,1.0%,Thailand,Safe Search for Thailand,74.6%,"65,998,436"
20,1.0%,France,Safe Search for France,75.6%,"64,057,792"
21,0.91%,Italy,Safe Search for Italy,76.5%,"58,126,212"
22,0.77%,South Africa,Safe Search for South Africa,77.3%,"49,052,489"
23,0.76%,South Korea,Safe Search for South Korea,78.1%,"48,508,972"
24,0.69%,Colombia,Safe Search for Colombia,78.8%,"43,677,372"
25,0.65%,Tanzania,Safe Search for Tanzania,79.4%,"41,048,532"
26,0.64%,Argentina,Safe Search for Argentina,80.1%,"40,913,584"
27,0.64%,Spain,Safe Search for Spain,80.7%,"40,525,002"
28,0.61%,Kenya,Safe Search for Kenya,81.3%,"39,002,772"
29,0.61%,Poland,Safe Search for Poland,81.9%,"38,482,919"
30,0.54%,Algeria,Safe Search for Algeria,82.4%,"34,178,188"
31,0.53%,Canada,Safe Search for Canada,83.0%,"33,487,208"
32,0.49%,Morocco,Safe Search for Morocco,83.5%,"31,285,174"
33,0.46%,Peru,Safe Search for Peru,83.9%,"29,546,963"
34,0.46%,Iraq,Safe Search for Iraq,84.4%,"28,945,569"
35,0.45%,Saudi Arabia,Safe Search for Saudi Arabia,84.8%,"28,686,633"
36,0.45%,Nepal,Safe Search for Nepal,85.3%,"28,563,377"
37,0.45%,Afghanistan,Safe Search for Afghanistan,85.7%,"28,395,716"
38,0.43%,Uzbekistan,Safe Search for Uzbekistan,86.2%,"27,606,007"
39,0.42%,Venezuela,Safe Search for Venezuela,86.6%,"26,814,843"
40,0.40%,Malaysia,Safe Search for Malaysia,87.0%,"25,715,819"
41,0.36%,Taiwan,Safe Search for Taiwan,87.4%,"22,974,347"
42,0.36%,Yemen,Safe Search for Yemen,87.7%,"22,858,238"
43,0.34%,Mozambique,Safe Search for Mozambique,88.1%,"21,669,278"
44,0.34%,Sri Lanka,Safe Search for Sri Lanka,88.4%,"21,324,791"
45,0.33%,Australia,Safe Search for Australia,88.7%,"21,262,641"
46,0.32%,Madagascar,Safe Search for Madagascar,89.0%,"20,653,556"
47,0.32%,Cote d'Ivoire,Safe Search for Cote d'Ivoire,89.4%,"20,617,068"
48,0.30%,Cameroon,Safe Search for Cameroon,89.7%,"18,879,301"
49,0.26%,Netherlands,Safe Search for Netherlands,89.9%,"16,715,999"
50,0.26%,Chile,Safe Search for Chile,90.2%,"16,601,707"
51,0.25%,Burkina Faso,Safe Search for Burkina Faso,90.4%,"15,746,232"
52,0.24%,Kazakhstan,Safe Search for Kazakhstan,90.7%,"15,399,437"
53,0.24%,Niger,Safe Search for Niger,90.9%,"15,306,252"
54,0.24%,Malawi,Safe Search for Malawi,91.2%,"15,028,757"
55,0.23%,Ecuador,Safe Search for Ecuador,91.4%,"14,573,101"
56,0.23%,Cambodia,Safe Search for Cambodia,91.6%,"14,494,293"
57,0.22%,Senegal,Safe Search for Senegal,91.8%,"13,711,597"
58,0.21%,Mali,Safe Search for Mali,92.0%,"13,443,225"
59,0.21%,Guatemala,Safe Search for Guatemala,92.3%,"13,276,517"
60,0.20%,Angola,Safe Search for Angola,92.5%,"12,799,293"
61,0.19%,Zambia,Safe Search for Zambia,92.6%,"11,862,740"
62,0.18%,Zimbabwe,Safe Search for Zimbabwe,92.8%,"11,392,629"
63,0.17%,Rwanda,Safe Search for Rwanda,93.0%,"10,746,311"
64,0.17%,Greece,Safe Search for Greece,93.2%,"10,737,428"
65,0.17%,Portugal,Safe Search for Portugal,93.3%,"10,707,924"
66,0.16%,Tunisia,Safe Search for Tunisia,93.5%,"10,486,339"
67,0.16%,Belgium,Safe Search for Belgium,93.7%,"10,414,336"
68,0.16%,Chad,Safe Search for Chad,93.8%,"10,329,208"
69,0.16%,Czech Republic,Safe Search for Czech Republic,94.0%,"10,211,904"
70,0.16%,Guinea,Safe Search for Guinea,94.1%,"10,057,975"
71,0.16%,Hungary,Safe Search for Hungary,94.3%,"9,905,596"
72,0.15%,Somalia,Safe Search for Somalia,94.4%,"9,832,017"
73,0.15%,Bolivia,Safe Search for Bolivia,94.6%,"9,775,246"
74,0.15%,Dominican Republic,Safe Search for Dominican Republic,94.8%,"9,650,054"
75,0.15%,Belarus,Safe Search for Belarus,94.9%,"9,648,533"
76,0.15%,Burundi,Safe Search for Burundi,95.1%,"9,511,330"
77,0.14%,Sweden,Safe Search for Sweden,95.2%,"9,059,651"
78,0.14%,Haiti,Safe Search for Haiti,95.3%,"9,035,536"
79,0.14%,Benin,Safe Search for Benin,95.5%,"8,791,832"
80,0.13%,Azerbaijan,Safe Search for Azerbaijan,95.6%,"8,238,672"
81,0.13%,Austria,Safe Search for Austria,95.7%,"8,210,281"
82,0.13%,Serbia and Montenegro,Safe Search for Serbia and Montenegro,95.9%,"8,051,519"
83,0.12%,Honduras,Safe Search for Honduras,96.0%,"7,833,696"
84,0.12%,Switzerland,Safe Search for Switzerland,96.1%,"7,604,467"
85,0.12%,Tajikistan,Safe Search for Tajikistan,96.2%,"7,349,145"
86,0.11%,Israel,Safe Search for Israel,96.3%,"7,233,701"
87,0.11%,Bulgaria,Safe Search for Bulgaria,96.4%,"7,204,687"
88,0.11%,El Salvador,Safe Search for El Salvador,96.6%,"7,185,218"
89,0.11%,Hong Kong,Safe Search for Hong Kong,96.7%,"7,055,071"
90,0.11%,Paraguay,Safe Search for Paraguay,96.8%,"6,995,655"
91,0.11%,Laos,Safe Search for Laos,96.9%,"6,834,345"
92,0.099%,Libya,Safe Search for Libya,97.0%,"6,324,357"
93,0.099%,Jordan,Safe Search for Jordan,97.1%,"6,269,285"
94,0.095%,Togo,Safe Search for Togo,97.2%,"6,031,808"
95,0.093%,Papua New Guinea,Safe Search for Papua New Guinea,97.3%,"5,940,775"
96,0.093%,Nicaragua,Safe Search for Nicaragua,97.4%,"5,891,199"
97,0.089%,Eritrea,Safe Search for Eritrea,97.5%,"5,647,168"
98,0.087%,Denmark,Safe Search for Denmark,97.5%,"5,500,510"
99,0.086%,Slovakia,Safe Search for Slovakia,97.6%,"5,463,046"
100,0.085%,Kyrgyzstan,Safe Search for Kyrgyzstan,97.7%,"5,431,747"
101,0.083%,Finland,Safe Search for Finland,97.8%,"5,250,275"
102,0.081%,Sierra Leone,Safe Search for Sierra Leone,97.9%,"5,132,138"
103,0.077%,Turkmenistan,Safe Search for Turkmenistan,98.0%,"4,884,887"
104,0.075%,United Arab Emirates,Safe Search for United Arab Emirates,98.0%,"4,798,491"
105,0.073%,Norway,Safe Search for Norway,98.1%,"4,660,539"
106,0.073%,Singapore,Safe Search for Singapore,98.2%,"4,657,542"
107,0.073%,Bosnia and Herzegovina,Safe Search for Bosnia and Herzegovina,98.2%,"4,613,414"
108,0.071%,Central African Republic,Safe Search for Central African Republic,98.3%,"4,511,488"
109,0.071%,Croatia,Safe Search for Croatia,98.4%,"4,489,409"
110,0.068%,Moldova,Safe Search for Moldova,98.5%,"4,320,748"
111,0.067%,Costa Rica,Safe Search for Costa Rica,98.5%,"4,253,877"
112,0.066%,New Zealand,Safe Search for New Zealand,98.6%,"4,213,418"
113,0.066%,Ireland,Safe Search for Ireland,98.7%,"4,203,200"
114,0.063%,Lebanon,Safe Search for Lebanon,98.7%,"4,017,095"
115,0.063%,Congo,Safe Search for Congo,98.8%,"4,012,809"
116,0.062%,Puerto Rico,Safe Search for Puerto Rico,98.8%,"3,966,213"
117,0.057%,Albania,Safe Search for Albania,98.9%,"3,639,453"
118,0.056%,Lithuania,Safe Search for Lithuania,99.0%,"3,555,179"
119,0.055%,Uruguay,Safe Search for Uruguay,99.0%,"3,494,382"
120,0.054%,Liberia,Safe Search for Liberia,99.1%,"3,441,790"
121,0.054%,Oman,Safe Search for Oman,99.1%,"3,418,085"
122,0.053%,Panama,Safe Search for Panama,99.2%,"3,360,474"
123,0.049%,Mauritania,Safe Search for Mauritania,99.2%,"3,129,486"
124,0.048%,Mongolia,Safe Search for Mongolia,99.3%,"3,041,142"
