Board,Child Health,Med,Obs & Gyn,Psych,Site,Surg
NHS Ayrshire & Arran,,,,Yes,Ayrshire Central,
NHS Ayrshire & Arran,,Yes,,,The Ayr Hospital,Yes
NHS Ayrshire & Arran,Yes,Yes,Yes,,Crosshouse Hospital,Yes
NHS Greater Glasgow & Clyde,,,,Yes,Dykebar Hospital,
NHS Dumfries & Galloway,,Yes,,,Dumfries & Galloway Royal Infirmary,Yes
NHS Forth Valley,,Yes,Yes,,Forth Valley Royal Hospital,Yes
NHS Greater Glasgow & Clyde,,Yes,,,Gartnavel General,Yes
NHS Greater Glasgow & Clyde,,,,Yes,Gartnavel Royal Hospital,
NHS Greater Glasgow & Clyde,,Yes,,,Glasgow Royal Infirmary,Yes
NHS Greater Glasgow & Clyde,,,,,Golden Jubilee National Hospital,
NHS Lanarkshire,,Yes,,,Hairmyres Hospital,Yes
NHS Greater Glasgow & Clyde,,Yes,Yes,,Inverclyde Royal Hospital,Yes
NHS Greater Glasgow & Clyde,,,,Yes,Leverndale Hospital,
NHS Lanarkshire,,Yes,,,Monklands Hospital,Yes
NHS Greater Glasgow & Clyde,,,,Yes,Parkhead Hospital,
NHS Greater Glasgow & Clyde,,,Yes,,Princess Royal Maternity,
NHS Greater Glasgow & Clyde,,,Yes,,Queen Mothers Hospital,
NHS Greater Glasgow & Clyde,Yes,Yes,Yes,,Royal Alexandra Hospital,Yes
NHS Greater Glasgow & Clyde,,,,Yes,Ravenscraig,
NHS Greater Glasgow & Clyde,Yes,,,,Yorkhill,
NHS Greater Glasgow & Clyde,,Yes,Yes,Yes,Southern General Hospital,Yes
NHS Greater Glasgow & Clyde,,Yes,,Yes,Stobhill Hospital,Yes
NHS Greater Glasgow & Clyde,,Yes,,,Victoria Infirmary,Yes
NHS Lanarkshire,,Yes,Yes,,Wishaw General Hospital,Yes
NHS Greater Glasgow & Clyde,,Yes,,,Western Infirmary,Yes
